phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
quickly, ,5,8,13,21.74,29.63,0.297411123,0.585509984
deep, ,5,8,13,21.74,29.63,0.297411123,0.585509984
dignity, ,5,8,13,21.74,29.63,0.297411123,0.585509984
tax,economy/fiscal issues,18,25,43,78.26,92.59,0.296633337,0.586000755
day, ,23,23,46,100,85.19,0.296296296,0.586213681
hard, ,23,23,46,100,85.19,0.296296296,0.586213681
family, ,23,23,46,100,85.19,0.296296296,0.586213681
wanted, ,8,12,20,34.78,44.44,0.289855072,0.590313418
initiatives, ,8,12,20,34.78,44.44,0.289855072,0.590313418
creation, ,8,12,20,34.78,44.44,0.289855072,0.590313418
place, ,22,22,44,95.65,81.48,0.283413849,0.59447234
children, ,22,22,44,95.65,81.48,0.283413849,0.59447234
leadership, ,15,21,36,65.22,77.78,0.272141707,0.601898702
protect, ,15,21,36,65.22,77.78,0.272141707,0.601898702
department, ,15,21,36,65.22,77.78,0.272141707,0.601898702
home, ,21,21,42,91.3,77.78,0.270531401,0.602975527
service, ,21,21,42,91.3,77.78,0.270531401,0.602975527
change, ,21,21,42,91.3,77.78,0.270531401,0.602975527
great, ,19,26,45,82.61,96.3,0.258543568,0.611122513
cost,economy/fiscal issues,20,20,40,86.96,74.07,0.257648953,0.611739976
came, ,12,17,29,52.17,62.96,0.249264257,0.617593614
challenge, ,12,17,29,52.17,62.96,0.249264257,0.617593614
industry,economy/fiscal issues,12,17,29,52.17,62.96,0.249264257,0.617593614
private, ,12,17,29,52.17,62.96,0.249264257,0.617593614
reduce, ,12,17,29,52.17,62.96,0.249264257,0.617593614
criminal,crime/justice,12,17,29,52.17,62.96,0.249264257,0.617593614
meet, ,12,17,29,52.17,62.96,0.249264257,0.617593614
development, ,19,19,38,82.61,70.37,0.244766506,0.620784491
challenges, ,19,19,38,82.61,70.37,0.244766506,0.620784491
teachers,education,19,19,38,82.61,70.37,0.244766506,0.620784491
employees,economy/fiscal issues,19,19,38,82.61,70.37,0.244766506,0.620784491
sure, ,19,19,38,82.61,70.37,0.244766506,0.620784491
let clear, ,3,5,8,13.04,18.52,0.232689211,0.629536949
high speed internet, ,3,5,8,13.04,18.52,0.232689211,0.629536949
great progress, ,3,5,8,13.04,18.52,0.232689211,0.629536949
companies like, ,3,5,8,13.04,18.52,0.232689211,0.629536949
retain best, ,3,5,8,13.04,18.52,0.232689211,0.629536949
justices supreme, ,3,5,8,13.04,18.52,0.232689211,0.629536949
justices supreme court, ,3,5,8,13.04,18.52,0.232689211,0.629536949
generations come, ,3,5,8,13.04,18.52,0.232689211,0.629536949
second chance, ,3,5,8,13.04,18.52,0.232689211,0.629536949
speed internet, ,3,5,8,13.04,18.52,0.232689211,0.629536949
work legislature, ,3,5,8,13.04,18.52,0.232689211,0.629536949
distinguished guests, ,3,5,8,13.04,18.52,0.232689211,0.629536949
dollars year, ,3,5,8,13.04,18.52,0.232689211,0.629536949
place live, ,3,5,8,13.04,18.52,0.232689211,0.629536949
advanced manufacturing,economy/fiscal issues,3,5,8,13.04,18.52,0.232689211,0.629536949
additional funding,economy/fiscal issues,3,5,8,13.04,18.52,0.232689211,0.629536949
post secondary,education,3,5,8,13.04,18.52,0.232689211,0.629536949
middle school,education,3,5,8,13.04,18.52,0.232689211,0.629536949
working make, ,3,5,8,13.04,18.52,0.232689211,0.629536949
growing, ,16,22,38,69.57,81.48,0.232053564,0.630005305
grow, ,16,22,38,69.57,81.48,0.232053564,0.630005305
programs, ,16,22,38,69.57,81.48,0.232053564,0.630005305
investment, ,16,22,38,69.57,81.48,0.232053564,0.630005305
said, ,16,22,38,69.57,81.48,0.232053564,0.630005305
federal, ,18,18,36,78.26,66.67,0.231884058,0.630130333
means, ,18,18,36,78.26,66.67,0.231884058,0.630130333
dollar,economy/fiscal issues,9,13,22,39.13,48.15,0.229541795,0.631863789
debt,economy/fiscal issues,9,13,22,39.13,48.15,0.229541795,0.631863789
25, ,9,13,22,39.13,48.15,0.229541795,0.631863789
based, ,9,13,22,39.13,48.15,0.229541795,0.631863789
focused, ,9,13,22,39.13,48.15,0.229541795,0.631863789
outside, ,9,13,22,39.13,48.15,0.229541795,0.631863789
double, ,9,13,22,39.13,48.15,0.229541795,0.631863789
personal, ,9,13,22,39.13,48.15,0.229541795,0.631863789
life, ,20,27,47,86.96,100,0.224791859,0.635412769
live, ,17,17,34,73.91,62.96,0.21900161,0.639801696
open, ,17,17,34,73.91,62.96,0.21900161,0.639801696
water, ,17,17,34,73.91,62.96,0.21900161,0.639801696
passing, ,6,9,15,26.09,33.33,0.217391304,0.641034843
world class, ,6,9,15,26.09,33.33,0.217391304,0.641034843
west, ,6,9,15,26.09,33.33,0.217391304,0.641034843
situation, ,6,9,15,26.09,33.33,0.217391304,0.641034843
paying jobs,economy/fiscal issues,6,9,15,26.09,33.33,0.217391304,0.641034843
hire, ,6,9,15,26.09,33.33,0.217391304,0.641034843
global, ,6,9,15,26.09,33.33,0.217391304,0.641034843
look forward working, ,6,9,15,26.09,33.33,0.217391304,0.641034843
exactly, ,6,9,15,26.09,33.33,0.217391304,0.641034843
sustainable, ,6,9,15,26.09,33.33,0.217391304,0.641034843
elected officials, ,6,9,15,26.09,33.33,0.217391304,0.641034843
courts, ,6,9,15,26.09,33.33,0.217391304,0.641034843
pro, ,6,9,15,26.09,33.33,0.217391304,0.641034843
aid, ,6,9,15,26.09,33.33,0.217391304,0.641034843
record, ,13,18,31,56.52,66.67,0.206171108,0.649785147
comes, ,13,18,31,56.52,66.67,0.206171108,0.649785147
county, ,13,18,31,56.52,66.67,0.206171108,0.649785147
student, ,16,16,32,69.57,59.26,0.206119163,0.64982632
tell, ,16,16,32,69.57,59.26,0.206119163,0.64982632
early, ,16,16,32,69.57,59.26,0.206119163,0.64982632
weeks, ,16,16,32,69.57,59.26,0.206119163,0.64982632
12, ,16,16,32,69.57,59.26,0.206119163,0.64982632
seen, ,16,16,32,69.57,59.26,0.206119163,0.64982632
address, ,17,23,40,73.91,85.19,0.19726248,0.656939627
pay, ,17,23,40,73.91,85.19,0.19726248,0.656939627
week, ,15,15,30,65.22,55.56,0.193236715,0.660236271
coming, ,15,15,30,65.22,55.56,0.193236715,0.660236271
class, ,15,15,30,65.22,55.56,0.193236715,0.660236271
technology, ,15,15,30,65.22,55.56,0.193236715,0.660236271
statewide, ,15,15,30,65.22,55.56,0.193236715,0.660236271
honored, ,10,14,24,43.48,51.85,0.181427805,0.670149068
struggling, ,10,14,24,43.48,51.85,0.181427805,0.670149068
vision, ,10,14,24,43.48,51.85,0.181427805,0.670149068
greatest, ,10,14,24,43.48,51.85,0.181427805,0.670149068
increasing, ,10,14,24,43.48,51.85,0.181427805,0.670149068
impact, ,14,14,28,60.87,51.85,0.180354267,0.671068965
economic development,economy/fiscal issues,14,14,28,60.87,51.85,0.180354267,0.671068965
stay, ,14,14,28,60.87,51.85,0.180354267,0.671068965
got, ,14,14,28,60.87,51.85,0.180354267,0.671068965
path, ,14,14,28,60.87,51.85,0.180354267,0.671068965
rest, ,13,13,26,56.52,48.15,0.16747182,0.682368525
living, ,13,13,26,56.52,48.15,0.16747182,0.682368525
close, ,13,13,26,56.52,48.15,0.16747182,0.682368525
little, ,13,13,26,56.52,48.15,0.16747182,0.682368525
really, ,13,13,26,56.52,48.15,0.16747182,0.682368525
sector, ,13,13,26,56.52,48.15,0.16747182,0.682368525
able, ,13,13,26,56.52,48.15,0.16747182,0.682368525
moving, ,13,13,26,56.52,48.15,0.16747182,0.682368525
senate, ,13,13,26,56.52,48.15,0.16747182,0.682368525
support, ,18,24,42,78.26,88.89,0.167011732,0.682781347
ago, ,18,24,42,78.26,88.89,0.167011732,0.682781347
safety, ,18,24,42,78.26,88.89,0.167011732,0.682781347
business,economy/fiscal issues,23,24,47,100,88.89,0.163120567,0.686299587
care, ,23,24,47,100,88.89,0.163120567,0.686299587
want, ,23,24,47,100,88.89,0.163120567,0.686299587
general assembly, ,7,10,17,30.43,37.04,0.159230842,0.689865651
grateful, ,7,10,17,30.43,37.04,0.159230842,0.689865651
levels, ,7,10,17,30.43,37.04,0.159230842,0.689865651
60, ,7,10,17,30.43,37.04,0.159230842,0.689865651
billion dollars,economy/fiscal issues,7,10,17,30.43,37.04,0.159230842,0.689865651
substance,mental health/substance abuse,7,10,17,30.43,37.04,0.159230842,0.689865651
began, ,7,10,17,30.43,37.04,0.159230842,0.689865651
capacity, ,7,10,17,30.43,37.04,0.159230842,0.689865651
dedicated, ,12,12,24,52.17,44.44,0.154589372,0.694187611
fall, ,12,12,24,52.17,44.44,0.154589372,0.694187611
expect, ,12,12,24,52.17,44.44,0.154589372,0.694187611
pass, ,12,12,24,52.17,44.44,0.154589372,0.694187611
spent, ,12,12,24,52.17,44.44,0.154589372,0.694187611
asked, ,12,12,24,52.17,44.44,0.154589372,0.694187611
treatment, ,12,12,24,52.17,44.44,0.154589372,0.694187611
lower, ,12,12,24,52.17,44.44,0.154589372,0.694187611
requires, ,12,12,24,52.17,44.44,0.154589372,0.694187611
priorities, ,12,12,24,52.17,44.44,0.154589372,0.694187611
past years, ,12,12,24,52.17,44.44,0.154589372,0.694187611
free, ,12,12,24,52.17,44.44,0.154589372,0.694187611
used, ,12,12,24,52.17,44.44,0.154589372,0.694187611
past, ,22,23,45,95.65,85.19,0.151189837,0.697400891
communities, ,22,23,45,95.65,85.19,0.151189837,0.697400891
inaugural address, ,4,6,10,17.39,22.22,0.144927536,0.703430697
math,education,4,6,10,17.39,22.22,0.144927536,0.703430697
professional, ,4,6,10,17.39,22.22,0.144927536,0.703430697
sat, ,4,6,10,17.39,22.22,0.144927536,0.703430697
bond, ,4,6,10,17.39,22.22,0.144927536,0.703430697
mistakes, ,4,6,10,17.39,22.22,0.144927536,0.703430697
price, ,4,6,10,17.39,22.22,0.144927536,0.703430697
opioid crisis,mental health/substance abuse,4,6,10,17.39,22.22,0.144927536,0.703430697
certificate, ,4,6,10,17.39,22.22,0.144927536,0.703430697
held, ,4,6,10,17.39,22.22,0.144927536,0.703430697
outlined, ,4,6,10,17.39,22.22,0.144927536,0.703430697
hub, ,4,6,10,17.39,22.22,0.144927536,0.703430697
headed, ,4,6,10,17.39,22.22,0.144927536,0.703430697
oil,energy/environment,4,6,10,17.39,22.22,0.144927536,0.703430697
90, ,4,6,10,17.39,22.22,0.144927536,0.703430697
justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
activity, ,4,6,10,17.39,22.22,0.144927536,0.703430697
stem,education,4,6,10,17.39,22.22,0.144927536,0.703430697
agenda, ,4,6,10,17.39,22.22,0.144927536,0.703430697
demands, ,4,6,10,17.39,22.22,0.144927536,0.703430697
salaries,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
digital, ,4,6,10,17.39,22.22,0.144927536,0.703430697
local school,education,4,6,10,17.39,22.22,0.144927536,0.703430697
walk, ,4,6,10,17.39,22.22,0.144927536,0.703430697
earning, ,4,6,10,17.39,22.22,0.144927536,0.703430697
watching, ,4,6,10,17.39,22.22,0.144927536,0.703430697
enhance, ,4,6,10,17.39,22.22,0.144927536,0.703430697
criminal justice reform,crime/justice,4,6,10,17.39,22.22,0.144927536,0.703430697
dramatically, ,4,6,10,17.39,22.22,0.144927536,0.703430697
good people, ,4,6,10,17.39,22.22,0.144927536,0.703430697
felt, ,4,6,10,17.39,22.22,0.144927536,0.703430697
hiring,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
travel, ,4,6,10,17.39,22.22,0.144927536,0.703430697
supply,economy/fiscal issues,4,6,10,17.39,22.22,0.144927536,0.703430697
street, ,4,6,10,17.39,22.22,0.144927536,0.703430697
simply, ,11,15,26,47.83,55.56,0.142697882,0.705613548
districts, ,11,15,26,47.83,55.56,0.142697882,0.705613548
sense, ,11,15,26,47.83,55.56,0.142697882,0.705613548
generations, ,11,15,26,47.83,55.56,0.142697882,0.705613548
truly, ,11,15,26,47.83,55.56,0.142697882,0.705613548
priority, ,11,15,26,47.83,55.56,0.142697882,0.705613548
2017, ,11,15,26,47.83,55.56,0.142697882,0.705613548
recent, ,11,11,22,47.83,40.74,0.141706924,0.706589961
proposal, ,11,11,22,47.83,40.74,0.141706924,0.706589961
rates, ,11,11,22,47.83,40.74,0.141706924,0.706589961
united states, ,11,11,22,47.83,40.74,0.141706924,0.706589961
expanding, ,11,11,22,47.83,40.74,0.141706924,0.706589961
major, ,11,11,22,47.83,40.74,0.141706924,0.706589961
policies, ,11,11,22,47.83,40.74,0.141706924,0.706589961
game, ,11,11,22,47.83,40.74,0.141706924,0.706589961
opioid,mental health/substance abuse,11,11,22,47.83,40.74,0.141706924,0.706589961
risk, ,11,11,22,47.83,40.74,0.141706924,0.706589961
spend,economy/fiscal issues,11,11,22,47.83,40.74,0.141706924,0.706589961
million, ,19,25,44,82.61,92.59,0.140682184,0.707603769
program, ,19,25,44,82.61,92.59,0.140682184,0.707603769
fund,economy/fiscal issues,21,22,43,91.3,81.48,0.139347639,0.708930411
states, ,21,22,43,91.3,81.48,0.139347639,0.708930411
times, ,15,20,35,65.22,74.07,0.139176444,0.709101115
administration, ,15,20,35,65.22,74.07,0.139176444,0.709101115
seeing, ,10,10,20,43.48,37.04,0.128824477,0.719653989
educators,education,10,10,20,43.48,37.04,0.128824477,0.719653989
fight, ,10,10,20,43.48,37.04,0.128824477,0.719653989
state employees, ,10,10,20,43.48,37.04,0.128824477,0.719653989
want thank, ,10,10,20,43.48,37.04,0.128824477,0.719653989
send, ,10,10,20,43.48,37.04,0.128824477,0.719653989
joined, ,10,10,20,43.48,37.04,0.128824477,0.719653989
strengthen, ,10,10,20,43.48,37.04,0.128824477,0.719653989
goals, ,10,10,20,43.48,37.04,0.128824477,0.719653989
serving, ,10,10,20,43.48,37.04,0.128824477,0.719653989
air, ,10,10,20,43.48,37.04,0.128824477,0.719653989
young, ,20,21,41,86.96,77.78,0.127606928,0.720926276
quality, ,20,21,41,86.96,77.78,0.127606928,0.720926276
government, ,20,26,46,86.96,96.3,0.117762375,0.731474161
rising, ,8,11,19,34.78,40.74,0.116026782,0.733384369
taken, ,8,11,19,34.78,40.74,0.116026782,0.733384369
data, ,8,11,19,34.78,40.74,0.116026782,0.733384369
hands, ,8,11,19,34.78,40.74,0.116026782,0.733384369
mission, ,8,11,19,34.78,40.74,0.116026782,0.733384369
manufacturing,economy/fiscal issues,8,11,19,34.78,40.74,0.116026782,0.733384369
talking, ,8,11,19,34.78,40.74,0.116026782,0.733384369
ensure, ,19,20,39,82.61,74.07,0.115983319,0.733432409
believe, ,19,20,39,82.61,74.07,0.115983319,0.733432409
colleges,education,9,9,18,39.13,33.33,0.115942029,0.733478056
supreme court, ,9,9,18,39.13,33.33,0.115942029,0.733478056
addition, ,9,9,18,39.13,33.33,0.115942029,0.733478056
supreme, ,9,9,18,39.13,33.33,0.115942029,0.733478056
ones, ,9,9,18,39.13,33.33,0.115942029,0.733478056
daughter, ,9,9,18,39.13,33.33,0.115942029,0.733478056
vulnerable, ,9,9,18,39.13,33.33,0.115942029,0.733478056
careers,economy/fiscal issues,9,9,18,39.13,33.33,0.115942029,0.733478056
solution, ,9,9,18,39.13,33.33,0.115942029,0.733478056
speed, ,9,9,18,39.13,33.33,0.115942029,0.733478056
son, ,9,9,18,39.13,33.33,0.115942029,0.733478056
hope, ,16,21,37,69.57,77.78,0.113200157,0.736529809
increase, ,16,21,37,69.57,77.78,0.113200157,0.736529809
took, ,16,21,37,69.57,77.78,0.113200157,0.736529809
high school,education,16,21,37,69.57,77.78,0.113200157,0.736529809
committed, ,12,16,28,52.17,59.26,0.111341155,0.738622386
elected, ,12,16,28,52.17,59.26,0.111341155,0.738622386
level, ,12,16,28,52.17,59.26,0.111341155,0.738622386
moment, ,12,16,28,52.17,59.26,0.111341155,0.738622386
medicaid,health care,12,16,28,52.17,59.26,0.111341155,0.738622386
far, ,12,16,28,52.17,59.26,0.111341155,0.738622386
rate, ,18,19,37,78.26,70.37,0.1044958,0.746499782
national, ,18,19,37,78.26,70.37,0.1044958,0.746499782
21st century, ,8,8,16,34.78,29.63,0.103059581,0.748188459
21st, ,8,8,16,34.78,29.63,0.103059581,0.748188459
regardless, ,8,8,16,34.78,29.63,0.103059581,0.748188459
secure, ,8,8,16,34.78,29.63,0.103059581,0.748188459
groups, ,8,8,16,34.78,29.63,0.103059581,0.748188459
bad, ,8,8,16,34.78,29.63,0.103059581,0.748188459
internet, ,8,8,16,34.78,29.63,0.103059581,0.748188459
november, ,8,8,16,34.78,29.63,0.103059581,0.748188459
land, ,8,8,16,34.78,29.63,0.103059581,0.748188459
governors, ,8,8,16,34.78,29.63,0.103059581,0.748188459
learned, ,8,8,16,34.78,29.63,0.103059581,0.748188459
maintain, ,8,8,16,34.78,29.63,0.103059581,0.748188459
creates, ,8,8,16,34.78,29.63,0.103059581,0.748188459
let make, ,8,8,16,34.78,29.63,0.103059581,0.748188459
workforce,economy/fiscal issues,17,18,35,73.91,66.67,0.093167702,0.760188055
middle, ,17,18,35,73.91,66.67,0.093167702,0.760188055
efforts, ,17,22,39,73.91,81.48,0.091209381,0.762645272
proud, ,17,22,39,73.91,81.48,0.091209381,0.762645272
response, ,5,7,12,21.74,25.93,0.090713902,0.763271531
took office, ,5,7,12,21.74,25.93,0.090713902,0.763271531
victims,crime/justice,5,7,12,21.74,25.93,0.090713902,0.763271531
final, ,5,7,12,21.74,25.93,0.090713902,0.763271531
providers, ,5,7,12,21.74,25.93,0.090713902,0.763271531
announced, ,5,7,12,21.74,25.93,0.090713902,0.763271531
announcing, ,5,7,12,21.74,25.93,0.090713902,0.763271531
worse, ,5,7,12,21.74,25.93,0.090713902,0.763271531
unprecedented, ,5,7,12,21.74,25.93,0.090713902,0.763271531
members general assembly, ,5,7,12,21.74,25.93,0.090713902,0.763271531
constitution, ,5,7,12,21.74,25.93,0.090713902,0.763271531
decided, ,5,7,12,21.74,25.93,0.090713902,0.763271531
reduced, ,5,7,12,21.74,25.93,0.090713902,0.763271531
terms, ,5,7,12,21.74,25.93,0.090713902,0.763271531
daily, ,5,7,12,21.74,25.93,0.090713902,0.763271531
members general, ,5,7,12,21.74,25.93,0.090713902,0.763271531
regional, ,5,7,12,21.74,25.93,0.090713902,0.763271531
legislative session, ,5,7,12,21.74,25.93,0.090713902,0.763271531
speak, ,5,7,12,21.74,25.93,0.090713902,0.763271531
public school,education,5,7,12,21.74,25.93,0.090713902,0.763271531
highway, ,5,7,12,21.74,25.93,0.090713902,0.763271531
sign, ,5,7,12,21.74,25.93,0.090713902,0.763271531
stepped, ,5,7,12,21.74,25.93,0.090713902,0.763271531
push, ,7,7,14,30.43,25.93,0.090177134,0.763952088
wasn, ,7,7,14,30.43,25.93,0.090177134,0.763952088
worst, ,7,7,14,30.43,25.93,0.090177134,0.763952088
delivered, ,7,7,14,30.43,25.93,0.090177134,0.763952088
representatives, ,7,7,14,30.43,25.93,0.090177134,0.763952088
ve seen, ,7,7,14,30.43,25.93,0.090177134,0.763952088
construction, ,7,7,14,30.43,25.93,0.090177134,0.763952088
trying, ,7,7,14,30.43,25.93,0.090177134,0.763952088
yes, ,7,7,14,30.43,25.93,0.090177134,0.763952088
partisan, ,7,7,14,30.43,25.93,0.090177134,0.763952088
conditions, ,7,7,14,30.43,25.93,0.090177134,0.763952088
extend, ,7,7,14,30.43,25.93,0.090177134,0.763952088
centers, ,7,7,14,30.43,25.93,0.090177134,0.763952088
classes, ,7,7,14,30.43,25.93,0.090177134,0.763952088
choose, ,7,7,14,30.43,25.93,0.090177134,0.763952088
university,education,13,17,30,56.52,62.96,0.085882984,0.769477828
credit, ,13,17,30,56.52,62.96,0.085882984,0.769477828
goal, ,13,17,30,56.52,62.96,0.085882984,0.769477828
action, ,13,17,30,56.52,62.96,0.085882984,0.769477828
facilities, ,9,12,21,39.13,44.44,0.083505866,0.772601415
using, ,9,12,21,39.13,44.44,0.083505866,0.772601415
require, ,9,12,21,39.13,44.44,0.083505866,0.772601415
task, ,9,12,21,39.13,44.44,0.083505866,0.772601415
later, ,9,12,21,39.13,44.44,0.083505866,0.772601415
agriculture, ,9,12,21,39.13,44.44,0.083505866,0.772601415
ask, ,16,17,33,69.57,62.96,0.08202801,0.774567698
taking, ,16,17,33,69.57,62.96,0.08202801,0.774567698
potential, ,16,17,33,69.57,62.96,0.08202801,0.774567698
single, ,16,17,33,69.57,62.96,0.08202801,0.774567698
state country, ,6,6,12,26.09,22.22,0.077294686,0.780997606
visit, ,6,6,12,26.09,22.22,0.077294686,0.780997606
state agencies, ,6,6,12,26.09,22.22,0.077294686,0.780997606
rely, ,6,6,12,26.09,22.22,0.077294686,0.780997606
education funding,education,6,6,12,26.09,22.22,0.077294686,0.780997606
entrepreneurs,economy/fiscal issues,6,6,12,26.09,22.22,0.077294686,0.780997606
burden, ,6,6,12,26.09,22.22,0.077294686,0.780997606
white, ,6,6,12,26.09,22.22,0.077294686,0.780997606
beginning, ,6,6,12,26.09,22.22,0.077294686,0.780997606
implement, ,6,6,12,26.09,22.22,0.077294686,0.780997606
deserves, ,6,6,12,26.09,22.22,0.077294686,0.780997606
read, ,6,6,12,26.09,22.22,0.077294686,0.780997606
substance abuse,mental health/substance abuse,6,6,12,26.09,22.22,0.077294686,0.780997606
summer, ,6,6,12,26.09,22.22,0.077294686,0.780997606
acknowledge, ,6,6,12,26.09,22.22,0.077294686,0.780997606
suffering, ,6,6,12,26.09,22.22,0.077294686,0.780997606
states america, ,6,6,12,26.09,22.22,0.077294686,0.780997606
2015, ,6,6,12,26.09,22.22,0.077294686,0.780997606
promises, ,6,6,12,26.09,22.22,0.077294686,0.780997606
thinking, ,6,6,12,26.09,22.22,0.077294686,0.780997606
source, ,6,6,12,26.09,22.22,0.077294686,0.780997606
charge, ,6,6,12,26.09,22.22,0.077294686,0.780997606
mike, ,6,6,12,26.09,22.22,0.077294686,0.780997606
father, ,6,6,12,26.09,22.22,0.077294686,0.780997606
traffic, ,6,6,12,26.09,22.22,0.077294686,0.780997606
70, ,6,6,12,26.09,22.22,0.077294686,0.780997606
billion, ,18,23,41,78.26,85.19,0.072620871,0.787558331
funding,economy/fiscal issues,18,23,41,78.26,85.19,0.072620871,0.787558331
cities towns, ,2,3,5,8.7,11.11,0.072463768,0.787782743
help children, ,2,3,5,8.7,11.11,0.072463768,0.787782743
tax increase,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
attract retain,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
solve problems, ,2,3,5,8.7,11.11,0.072463768,0.787782743
balance budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
year plan, ,2,3,5,8.7,11.11,0.072463768,0.787782743
balanced budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
cabinet members, ,2,3,5,8.7,11.11,0.072463768,0.787782743
local school districts,education,2,3,5,8.7,11.11,0.072463768,0.787782743
campaign trail, ,2,3,5,8.7,11.11,0.072463768,0.787782743
trump administration, ,2,3,5,8.7,11.11,0.072463768,0.787782743
president pro, ,2,3,5,8.7,11.11,0.072463768,0.787782743
happening state, ,2,3,5,8.7,11.11,0.072463768,0.787782743
good thing, ,2,3,5,8.7,11.11,0.072463768,0.787782743
work ensure, ,2,3,5,8.7,11.11,0.072463768,0.787782743
work good, ,2,3,5,8.7,11.11,0.072463768,0.787782743
state governor, ,2,3,5,8.7,11.11,0.072463768,0.787782743
recidivism rate,crime/justice,2,3,5,8.7,11.11,0.072463768,0.787782743
state employee, ,2,3,5,8.7,11.11,0.072463768,0.787782743
000 jobs, ,2,3,5,8.7,11.11,0.072463768,0.787782743
new england, ,2,3,5,8.7,11.11,0.072463768,0.787782743
new state, ,2,3,5,8.7,11.11,0.072463768,0.787782743
new technology, ,2,3,5,8.7,11.11,0.072463768,0.787782743
nation let, ,2,3,5,8.7,11.11,0.072463768,0.787782743
playing field, ,2,3,5,8.7,11.11,0.072463768,0.787782743
speed broadband, ,2,3,5,8.7,11.11,0.072463768,0.787782743
state people, ,2,3,5,8.7,11.11,0.072463768,0.787782743
work budget,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
vulnerable children, ,2,3,5,8.7,11.11,0.072463768,0.787782743
200 000, ,2,3,5,8.7,11.11,0.072463768,0.787782743
high speed broadband, ,2,3,5,8.7,11.11,0.072463768,0.787782743
places like, ,2,3,5,8.7,11.11,0.072463768,0.787782743
20 million, ,2,3,5,8.7,11.11,0.072463768,0.787782743
going come, ,2,3,5,8.7,11.11,0.072463768,0.787782743
going forward, ,2,3,5,8.7,11.11,0.072463768,0.787782743
17 000, ,2,3,5,8.7,11.11,0.072463768,0.787782743
want come, ,2,3,5,8.7,11.11,0.072463768,0.787782743
doesn make, ,2,3,5,8.7,11.11,0.072463768,0.787782743
oil gas,energy/environment,2,3,5,8.7,11.11,0.072463768,0.787782743
mr speaker mr, ,2,3,5,8.7,11.11,0.072463768,0.787782743
students like,education,2,3,5,8.7,11.11,0.072463768,0.787782743
just week, ,2,3,5,8.7,11.11,0.072463768,0.787782743
just years, ,2,3,5,8.7,11.11,0.072463768,0.787782743
farmers ranchers, ,2,3,5,8.7,11.11,0.072463768,0.787782743
best way, ,2,3,5,8.7,11.11,0.072463768,0.787782743
family services, ,2,3,5,8.7,11.11,0.072463768,0.787782743
paying job,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
team work, ,2,3,5,8.7,11.11,0.072463768,0.787782743
business climate,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
just people, ,2,3,5,8.7,11.11,0.072463768,0.787782743
just need, ,2,3,5,8.7,11.11,0.072463768,0.787782743
improve access, ,2,3,5,8.7,11.11,0.072463768,0.787782743
right time, ,2,3,5,8.7,11.11,0.072463768,0.787782743
job growth,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
second chances, ,2,3,5,8.7,11.11,0.072463768,0.787782743
capital investment,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
sure people, ,2,3,5,8.7,11.11,0.072463768,0.787782743
safety net, ,2,3,5,8.7,11.11,0.072463768,0.787782743
jobs know,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
open new, ,2,3,5,8.7,11.11,0.072463768,0.787782743
new industries,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
business owner,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
record breaking, ,2,3,5,8.7,11.11,0.072463768,0.787782743
budget proposes,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
tonight proud, ,2,3,5,8.7,11.11,0.072463768,0.787782743
apprenticeship programs,education,2,3,5,8.7,11.11,0.072463768,0.787782743
ll make, ,2,3,5,8.7,11.11,0.072463768,0.787782743
ll tell, ,2,3,5,8.7,11.11,0.072463768,0.787782743
local communities, ,2,3,5,8.7,11.11,0.072463768,0.787782743
year state, ,2,3,5,8.7,11.11,0.072463768,0.787782743
violent offenders,crime/justice,2,3,5,8.7,11.11,0.072463768,0.787782743
future let, ,2,3,5,8.7,11.11,0.072463768,0.787782743
bond rating,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
governor committed, ,2,3,5,8.7,11.11,0.072463768,0.787782743
12 schools,education,2,3,5,8.7,11.11,0.072463768,0.787782743
single day, ,2,3,5,8.7,11.11,0.072463768,0.787782743
especially rural, ,2,3,5,8.7,11.11,0.072463768,0.787782743
single person, ,2,3,5,8.7,11.11,0.072463768,0.787782743
proud announce, ,2,3,5,8.7,11.11,0.072463768,0.787782743
college degree,education,2,3,5,8.7,11.11,0.072463768,0.787782743
