Owner,Team,League,Recipient,Amount,Election Year,Party
Micky Arison,Miami Heat,NBA,"COUNTRY FIRST POLITICAL ACTION COMMITTEE, INC. (COUNTRY FIRST PAC)","$2,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,FRIENDS OF DAVE JOYCE,"$2,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,MAST FOR CONGRESS,"$2,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,RON JOHNSON FOR SENATE INC,"$2,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,CITIZENS TO ELECT RICK LARSEN,"$2,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,KAINE FOR VIRGINIA,"$2,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,BILIRAKIS FOR CONGRESS,"$2,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,GIBBS FOR CONGRESS,"$2,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,LISA MURKOWSKI FOR US SENATE,"$2,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,VAL DEMINGS FOR CONGRESS,"$1,800 ",2020,Democrat
Micky Arison,Miami Heat,NBA,HASTINGS FOR CONGRESS,"$1,500 ",2016,Democrat
Micky Arison,Miami Heat,NBA,ALAMO PAC,"$1,500 ",2018,Republican
Micky Arison,Miami Heat,NBA,JIM RISCH FOR U S SENATE COMMITTEE,"$1,500 ",2018,Republican
Micky Arison,Miami Heat,NBA,MARCO RUBIO FOR SENATE,"$1,500 ",2018,Republican
Micky Arison,Miami Heat,NBA,AL LAWSON FOR CONGRESS,"$1,500 ",2018,Democrat
Micky Arison,Miami Heat,NBA,CONTINUING AMERICA'S STRENGTH AND SECURITY PAC,"$1,500 ",2020,Republican
Micky Arison,Miami Heat,NBA,DEB FISCHER FOR US SENATE,"$1,500 ",2020,Republican
Micky Arison,Miami Heat,NBA,MORAN RUBIO VICTORY COMMITTEE,"$1,500 ",2020,Republican
Micky Arison,Miami Heat,NBA,RUBIO VICTORY COMMITTEE,"$1,500 ",2020,Republican
Micky Arison,Miami Heat,NBA,STEVE DAINES FOR MONTANA,"$1,500 ",2020,Republican
Micky Arison,Miami Heat,NBA,HAWAII PAC,"$1,500 ",2020,Democrat
Micky Arison,Miami Heat,NBA,MADISON PAC; THE,"$1,500 ",2020,Democrat
Micky Arison,Miami Heat,NBA,Peters for Michigan,"$1,500 ",2020,Democrat
Micky Arison,Miami Heat,NBA,PRICE FOR CONGRESS,"$1,500 ",2020,Democrat
Micky Arison,Miami Heat,NBA,COMSTOCK FOR CONGRESS,"$1,000 ",2016,Republican
Micky Arison,Miami Heat,NBA,DEVIN NUNES CAMPAIGN COMMITTEE,"$1,000 ",2016,Republican
Micky Arison,Miami Heat,NBA,RESPONSIBILITY AND FREEDOM WORK PAC (RFWPAC),"$1,000 ",2016,Republican
Micky Arison,Miami Heat,NBA,SANFORD FOR CONGRESS,"$1,000 ",2016,Republican
Micky Arison,Miami Heat,NBA,FREDERICA S. WILSON FOR CONGRESS,"$1,000 ",2016,Democrat
Micky Arison,Miami Heat,NBA,HUFFMAN FOR CONGRESS 2014,"$1,000 ",2016,Democrat
Micky Arison,Miami Heat,NBA,SCHATZ FOR SENATE,"$1,000 ",2016,Democrat
Micky Arison,Miami Heat,NBA,STABENOW FOR US SENATE,"$1,000 ",2016,Democrat
Micky Arison,Miami Heat,NBA,CITIZENS FOR JOHN RUTHERFORD,"$1,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,GIBBS FOR CONGRESS,"$1,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,GRASSLEY COMMITTEE INC,"$1,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,LISA MURKOWSKI FOR US SENATE,"$1,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,TED YOHO FOR CONGRESS,"$1,000 ",2018,Republican
Micky Arison,Miami Heat,NBA,COMMITTEE TO RE-ELECT LINDA SANCHEZ,"$1,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,HUFFMAN FOR CONGRESS,"$1,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,MIKE THOMPSON FOR CONGRESS,"$1,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,MONTANANS FOR TESTER,"$1,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,TITUS FOR CONGRESS,"$1,000 ",2018,Democrat
Micky Arison,Miami Heat,NBA,COLLINS FOR SENATOR,"$1,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,HEARTLAND VALUES PAC,"$1,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,TED YOHO FOR CONGRESS,"$1,000 ",2020,Republican
Micky Arison,Miami Heat,NBA,AL LAWSON FOR CONGRESS,"$1,000 ",2020,Democrat
Micky Arison,Miami Heat,NBA,ANTHONY BROWN FOR CONGRESS,"$1,000 ",2020,Democrat
Micky Arison,Miami Heat,NBA,CITIZENS TO ELECT RICK LARSEN,"$1,000 ",2020,Democrat
Micky Arison,Miami Heat,NBA,FRIENDS OF BENNIE THOMPSON,"$1,000 ",2020,Democrat
Micky Arison,Miami Heat,NBA,LEAHY FOR U.S. SENATOR COMMITTEE,"$1,000 ",2020,Democrat
Micky Arison,Miami Heat,NBA,TAMMY FOR ILLINOIS,"$1,000 ",2020,Democrat
Mike Brown,Cincinnati Bengals,NFL,Trump Victory ,"$30,000 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,NRSC ,"$25,000 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,Republican National Committee,"$24,400 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,Team Graham,"$5,600 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,Friends of Todd Young,"$5,400 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Portman for Senate Committee,"$5,400 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Wenstrup For Congress,"$5,400 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Wenstrup For Congress,"$5,400 ",2018,Republican
Mike Brown,Cincinnati Bengals,NFL,Wenstrup For Congress,"$5,400 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,Portman for Senate Committee,"$2,800 ",2020,Republican
Mike Brown,Cincinnati Bengals,NFL,Kasich For America,"$2,700 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Lindsey Graham 2016,"$2,700 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Paul Brown For Congress,"$2,700 ",2016,Republican
Mike Brown,Cincinnati Bengals,NFL,Wenstrup For Congress ,"$2,700 ",2018,Republican
Neil Leibman,Texas Rangers,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2020,Bipartisan
Paul Dolan,Cleveland Indians,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2016,Bipartisan
Paul Dolan,Cleveland Indians,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2018,Bipartisan
Paul Dolan,Cleveland Indians,MLB,PORTMAN FOR SENATE COMMITTEE,"$5,400 ",2016,Republican
Paul Dolan,Cleveland Indians,MLB,PORTMAN VICTORY COMMITTEE,"$5,000 ",2016,Republican
Paul Dolan,Cleveland Indians,MLB,TEAM RYAN,"$5,000 ",2016,Republican
Paul Dolan,Cleveland Indians,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,"$5,000 ",2018,Republican
Paul Dolan,Cleveland Indians,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan
Paul Dolan,Cleveland Indians,MLB,FRIENDS OF SHERROD BROWN,"$3,000 ",2016,Democrat
Paul Dolan,Cleveland Indians,MLB,ALASKANS FOR DAN SULLIVAN,"$2,800 ",2020,Republican
Paul Dolan,Cleveland Indians,MLB,PORTMAN FOR SENATE COMMITTEE,"$2,500 ",2020,Republican
Paul Dolan,Cleveland Indians,MLB,FRIENDS OF DAVE JOYCE,"$1,000 ",2016,Republican
Paul Dolan,Cleveland Indians,MLB,KASICH FOR AMERICA INC,"$1,000 ",2016,Republican
Paul Dolan,Cleveland Indians,MLB,ANTHONY GONZALEZ FOR CONGRESS,"$1,000 ",2018,Republican
Paul Dolan,Cleveland Indians,MLB,OHIO GRASSROOTS VICTORY FUND,"$1,000 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,HOUSE MAJORITY PAC,"$750,000 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,SMP,"$750,000 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,DRAFT BIDEN 2016,"$272,000 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,HILLARY VICTORY FUND,"$108,572 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,COMMITTEE FOR MARYLAND'S PROGRESS,"$50,000 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,DCCC,"$33,900 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,DCCC,"$33,400 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,DSCC,"$32,400 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,DEMOCRATIC STATE CENTRAL COMMITTEE OF MARYLAND,"$20,000 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,JAMIE RASKIN FOR CONGRESS,"$5,400 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,LEAHY FOR U.S. SENATOR COMMITTEE,"$5,400 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,VAN HOLLEN FOR SENATE,"$5,400 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,GREEN MOUNTAIN PAC,"$5,000 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2016,Bipartisan
Peter Angelos,Baltimore Orioles,MLB,GREEN MOUNTAIN PAC,"$5,000 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2018,Bipartisan
Peter Angelos,Baltimore Orioles,MLB,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,"$3,700 ",2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,HEIDI FOR SENATE,"$2,000 ",2018,Democrat
Peter Angelos,Baltimore Orioles,MLB,JOSELINE PENA-MELNYK FOR CONGRESS,$500 ,2016,Democrat
Peter Angelos,Baltimore Orioles,MLB,ACTBLUE,$100 ,2020,Democrat
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",De Leon Victory Fund,"$10,000 ",2018,Democrat
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",NEAL SIMON FOR U.S. SENATE,"$5,400 ",2018,Independent
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",FEINSTEIN FOR SENATE 2024,"$5,400 ",2018,Democrat
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",OMAR QUDRAT FOR CONGRESSS,"$3,700 ",2018,Republican
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",MARK RIDLEY-THOMAS FOR SUPERVISOR 2016,"$1,475 ",2016,Democrat
Peter Guber,"Golden State Warriors, Los Angeles Dodgers","NBA, MLB",Biden for President,"$1,000 ",2020,Democrat
Peter Karmanos Jr.,Carolina Hurricanes,NHL,REPUBLICAN NATIONAL COMMITTEE,"$130,600 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,REPUBLICAN NATIONAL COMMITTEE,"$127,700 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,REPUBLICAN NATIONAL COMMITTEE,"$70,000 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,TEAM RYAN,"$50,000 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,TEAM RYAN,"$50,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MICHIGAN SENATE VICTORY 2020,"$36,100 ",2020,Democrat
Peter Karmanos Jr.,Carolina Hurricanes,NHL,DSCC,"$33,400 ",2016,Democrat
Peter Karmanos Jr.,Carolina Hurricanes,NHL,OUTSIDER PAC,"$25,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MICHIGAN REPUBLICAN PARTY,"$20,000 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,NRCC,"$20,000 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MICHIGAN REPUBLICAN PARTY,"$10,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MICHIGAN REPUBLICAN PARTY,"$10,000 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,ESSHAKI FOR CONGRESS,"$5,600 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,"JOHN JAMES FOR SENATE, INC.","$5,600 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,ELBERT GUILLORY'S AMERICA,"$5,500 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MIKE BISHOP FOR CONGRESS,"$5,400 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,JEFF FLAKE FOR US SENATE INC,"$5,400 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,JOHN JAMES FOR SENATE INC,"$5,400 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MIKE BISHOP FOR CONGRESS,"$5,200 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,WALBERG VICTORY FUND,"$5,000 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MIMI WALTERS VICTORY FUND,"$5,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MARYOTT FOR CONGRESS,"$2,800 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MARCO RUBIO FOR PRESIDENT,"$2,700 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MOOLENAAR FOR CONGRESS,"$2,700 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,UPTON FOR ALL OF US,"$2,700 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,WALTERS FOR CONGRESS,"$2,700 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,MAKING INVESTMENTS MAJORITY INSURED PAC,"$2,300 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,BLACK AMERICANS TO RE-ELECT THE PRESIDENT,"$2,002 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,CARSON AMERICA,"$1,600 ",2016,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,PENSLER FOR SENATE,"$1,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,"TROTT FOR CONGRESS, INC.","$1,000 ",2018,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,FRIENDS OF SESSIONS SENATE COMMITTEE INC,"$1,000 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,HUCK PAC,"$1,000 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,STARS AND STRIPES FOREVER PAC,"$1,000 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,UPTON FOR ALL OF US,"$1,000 ",2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,DEVIN NUNES CAMPAIGN COMMITTEE,$500 ,2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,FREE AT LAST PAC,$500 ,2020,Republican
Peter Karmanos Jr.,Carolina Hurricanes,NHL,LYNN AFENDOULIS FOR CONGRESS,$500 ,2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,SENATE LEADERSHIP FUND,"$500,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,NRSC TARGETED STATE VICTORY COMMITTEE,"$250,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,TEAM RYAN,"$150,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,NRSC TARGETED STATE VICTORY FUND,"$150,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,"$150,000 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,MCCARTHY VICTORY FUND,"$150,000 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,"$125,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,TEAM RYAN,"$125,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,MCCARTHY VICTORY FUND,"$25,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,CORNYN MAJORITY TEXAS,"$20,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,JOHN BOLTON SUPER PAC,"$20,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,PERDUE VICTORY INC,"$10,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,HATCH ELECTION COMMITTEE INC,"$8,100 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,COLLINS FOR SENATOR,"$5,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,COLLINS VICTORY COMMITTEE,"$5,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,FRIENDS OF JIM INHOFE,"$5,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,GEORGIANS FOR KELLY LOEFFLER,"$5,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,MORAN FOR KANSAS,"$5,600 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,LIZ CHENEY FOR WYOMING,"$5,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,MORAN FOR KANSAS,"$5,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,PORTMAN FOR SENATE COMMITTEE,"$5,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,RON JOHNSON FOR SENATE INC,"$5,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,VOTETIPTON.COM,"$5,400 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,VOTETIPTON.COM,"$5,400 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,PROMOTING OUR REPUBLICAN TEAM PAC,"$5,000 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,"COLORADANS FOR FAMILY, MILITARY, AND NATION PAC","$5,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,COMMON VALUES PAC,"$5,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,JOHN BOLTON PAC,"$5,000 ",2018,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,VOTETIPTON.COM,"$2,800 ",2020,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,COMMITTEE TO ELECT DARRYL GLENN,"$2,700 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,FRIENDS OF JOHN THUNE,"$2,700 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,LUMMIS FOR CONGRESS,"$2,500 ",2016,Republican
Philip F. Anschutz,Los Angeles Kings,NHL,FRIENDS OF PAT TOOMEY,"$1,500 ",2016,Republican
Ray C. Davis,Texas Rangers,MLB,Right to Rise USA,"$100,000 ",2016,Republican
Ray C. Davis,Texas Rangers,MLB,Brady Victory Fund,"$10,000 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,Team Ryan,"$10,000 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,The Congressman Joe Barton Committee,"$5,400 ",2016,Republican
Ray C. Davis,Texas Rangers,MLB,"Ryan for Congress, Inc.","$5,400 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,Scott Taylor for Congress,"$5,400 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,The Congressman Joe Barton Committee,"$5,000 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,Scott Taylor for Senate,"$5,000 ",2020,Republican
Ray C. Davis,Texas Rangers,MLB,Roger Williams for U.S. Congress Committee,"$2,800 ",2020,Republican
Ray C. Davis,Texas Rangers,MLB,Jeb 2016. Inc.,"$2,700 ",2016,Republican
Ray C. Davis,Texas Rangers,MLB,Texans for Senator John Cornyn Inc.,"$2,700 ",2018,Republican
Ray C. Davis,Texas Rangers,MLB,Taylor for Congress 2020,"$2,200 ",2020,Republican
Richard Childress,Richard Childress Racing,NASCAR,GROWTH ENERGY PAC,"$10,000 ",2020,Bipartisan
Richard Childress,Richard Childress Racing,NASCAR,POET PAC,"$10,000 ",2020,Bipartisan
Richard Childress,Richard Childress Racing,NASCAR,GROWTH ENERGY PAC,"$7,500 ",2016,Bipartisan
Richard Childress,Richard Childress Racing,NASCAR,GROWTH ENERGY PAC,"$7,500 ",2018,Bipartisan
Richard Childress,Richard Childress Racing,NASCAR,HUDSON FOR CONGRESS,"$5,600 ",2020,Republican
Richard Childress,Richard Childress Racing,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2016,Republican
Richard Childress,Richard Childress Racing,NASCAR,SCOTT WALKER INC,"$5,400 ",2016,Republican
Richard Childress,Richard Childress Racing,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,NORTH CAROLINA REPUBLICAN PARTY,"$5,000 ",2016,Republican
Richard Childress,Richard Childress Racing,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,Team Ryan,"$5,000 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,TED BUDD FOR CONGRESS,"$5,000 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2020,Republican
Richard Childress,Richard Childress Racing,NASCAR,VIRGINIA FOXX FOR CONGRESS,"$4,700 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,FRIENDS OF KIP TOM,"$2,700 ",2016,Republican
Richard Childress,Richard Childress Racing,NASCAR,GREG FOR MONTANA,"$2,700 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,TROY DOWNING FOR US SENATE,"$2,700 ",2018,Republican
Richard Childress,Richard Childress Racing,NASCAR,BISHOP FOR CONGRESS,"$1,000 ",2020,Republican
Richard Childress,Richard Childress Racing,NASCAR,MARINO FOR CONGRESS,$500 ,2016,Republican
Richard L. Monfort,Colorado Rockies,MLB,Colorado Republican Committee,"$10,000 ",2016,Republican
Richard L. Monfort,Colorado Rockies,MLB,Colorado Republican Committee,"$10,000 ",2018,Republican
Richard L. Monfort,Colorado Rockies,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan
Richard L. Monfort,Colorado Rockies,MLB,JON KEYSER FOR SENATE,"$3,700 ",2016,Republican
Richard L. Monfort,Colorado Rockies,MLB,DEB FISCHER FOR US SENATE,"$2,700 ",2018,Republican
Richard L. Monfort,Colorado Rockies,MLB,FRIENDS OF JOHN MCCAIN INC,"$1,000 ",2016,Republican
Richard L. Monfort,Colorado Rockies,MLB,Brady for Congress,"$1,000 ",2018,Republican
Richard L. Monfort,Colorado Rockies,MLB,Cory Gardner for Senate,"$1,000 ",2018,Republican
Richard L. Monfort,Colorado Rockies,MLB,HOUSE CD6,"$1,000 ",2020,Republican
Richard Petty,Richard Petty Motorsports,NASCAR,North Carolina Republican Party,"$1,000 ",2016,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,HUDSON FREEDOM FUND,"$25,000 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,TEAM RYAN,"$25,000 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,TEAM HUDSON,"$25,000 ",2020,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,NRCC,"$14,600 ",2016,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,HUDSON FREEDOM FUND,"$10,000 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,THOM TILLIS COMMITTEE,"$5,600 ",2020,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2016,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$5,000 ",2016,"Bipartisan, but mostly Republican"
Rick Hendrick,Hendrick Motorsports,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican
Rick Hendrick,Hendrick Motorsports,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2018,"Bipartisan, but mostly Republican"
Rick Hendrick,Hendrick Motorsports,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2020,"Bipartisan, but mostly Republican"
Rick Hendrick,Hendrick Motorsports,NASCAR,FRIENDS OF PATRICK MURPHY,"$1,000 ",2016,Democrat
Rob Manfred,Commissioner,MLB,AUGUST WOLF FOR SENATE,"$2,700 ",2016,Republican
Rob Manfred,Commissioner,MLB,STAPLETON VICTORY FUND,"$2,500 ",2018,Republican
Robert H. Castellini,Cincinnati Reds,MLB,SENATE LEADERSHIP FUND,"$225,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,OUR PRINCIPLES PAC,"$150,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,REPUBLICAN NATIONAL COMMITTEE,"$112,400 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,CONGRESSIONAL LEADERSHIP FUND,"$100,000 ",2018,Republican
Robert H. Castellini,Cincinnati Reds,MLB,SENATE LEADERSHIP FUND,"$75,000 ",2018,Republican
Robert H. Castellini,Cincinnati Reds,MLB,REPUBLICAN NATIONAL COMMITTEE,"$70,000 ",2018,Republican
Robert H. Castellini,Cincinnati Reds,MLB,REPUBLICAN NATIONAL COMMITTEE,"$70,000 ",2020,Republican
Robert H. Castellini,Cincinnati Reds,MLB,BOEHNER FOR SPEAKER,"$50,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,CONGRESSIONAL LEADERSHIP FUND,"$50,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,AYOTTE VICTORY COMMITTEE,"$25,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,FIGHTING FOR OHIO FUND,"$25,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,RUBIO VICTORY COMMITTEE,"$25,000 ",2016,Republican
Robert H. Castellini,Cincinnati Reds,MLB,TAKE BACK THE HOUSE 2020,"$25,000 ",2020,Republican
