Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Curtis D. Vaughn,Male,White,,,No,No,Missouri,8/2/22,Senator,N/A,"3,451",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Steven Jordan,Male,Unknown,,,No,No,Missouri,8/2/22,Representative,1,"5,153",32%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Jones,Male,Black,,,No,No,Missouri,8/2/22,Representative,1,"6,937",42%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laura Mitchell-Riley,Female,Unknown,,,No,No,Missouri,8/2/22,Representative,1,"4,260",26%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ann Wagner,Female,White,,,Yes,No,Missouri,8/2/22,Representative,2,"54,440",67%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Tony Salvatore,Male,White,,,No,Yes,Missouri,8/2/22,Representative,2,"12,516",15%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Wesley Smith,Male,White,,,No,Yes,Missouri,8/2/22,Representative,2,"7,317",9%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Paul Berry III,Male,Black,,,No,Yes,Missouri,8/2/22,Representative,2,"6,888",8%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Brandon Wilkinson,Male,White,,,No,Yes,Missouri,8/2/22,Representative,3,"15,796",17%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Blaine Luetkemeyer,Male,White,,,Yes,No,Missouri,8/2/22,Representative,3,"66,430",70%,Won,N/A,N/A,N/A,Fully denied,Yes,7/30/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dustin Hill,Male,White,,,No,Yes,Missouri,8/2/22,Representative,3,"11,610",12%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Richard Skwira Jr.,Male,White,,,No,Yes,Missouri,8/2/22,Representative,3,"1,616",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jim ""Soupy"" Campbell",Male,White,,,No,No,Missouri,8/2/22,Representative,4,"4,642",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Rick Brattin,Male,White,,,No,No,Missouri,8/2/22,Representative,4,"22,509",21%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
"William ""Bill"" Irwin",Male,White,,,No,No,Missouri,8/2/22,Representative,4,"9,648",9%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Mark Alford,Male,White,,,No,No,Missouri,8/2/22,Representative,4,"36,981",35%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Kalena Bruce,Female,White,,,No,No,Missouri,8/2/22,Representative,4,"16,677",16%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A
Taylor Burks,Male,White,,,No,No,Missouri,8/2/22,Representative,4,"10,624",10%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Kyle Stonner LaBrue,Male,White,,,No,No,Missouri,8/2/22,Representative,4,"4,026",4%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Jerry W. Barham,Male,White,,,No,No,Missouri,8/2/22,Representative,5,"13,246",33%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Herschel L. Young,Male,White,,,No,No,Missouri,8/2/22,Representative,5,"5,833",15%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Turk,Male,White,,,No,No,Missouri,8/2/22,Representative,5,"20,475",52%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Kleinmeyer,Male,White,,,No,Yes,Missouri,8/2/22,Representative,6,"7,414",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dakota Shultz,Male,White,,,No,Yes,Missouri,8/2/22,Representative,6,"5,902",6%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Graves,Male,White,,,Yes,No,Missouri,8/2/22,Representative,6,"72,996",76%,Won,N/A,N/A,N/A,Fully denied,Yes,7/30/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Dady,Male,White,,,No,Yes,Missouri,8/2/22,Representative,6,"2,309",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christopher Ryan,Male,White,,,No,Yes,Missouri,8/2/22,Representative,6,"7,848",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay Wasson,Male,White,,,No,No,Missouri,8/2/22,Representative,7,"23,253",23%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Eric Burlison,Male,White,,,No,No,Missouri,8/2/22,Representative,7,"39,443",38%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Audrey Richards,Female,White,,,No,No,Missouri,8/2/22,Representative,7,"3,095",3%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Camille Lombardi-Olive,Female,White,,,No,No,Missouri,8/2/22,Representative,7,"1,363",1%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Sam Alexander,Male,White,,,No,No,Missouri,8/2/22,Representative,7,"5,665",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Alex Bryant,Male,Black,,,No,No,Missouri,8/2/22,Representative,7,"18,522",18%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Paul Walker,Male,White,,,No,No,Missouri,8/2/22,Representative,7,"3,028",3%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Mike Moon,Male,White,,,No,No,Missouri,8/2/22,Representative,7,"8,957",9%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Jason Smith,Male,White,,,Yes,No,Missouri,8/2/22,Representative,8,"78,342",82%,Won,N/A,N/A,N/A,Fully denied,Yes,7/30/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Turner,Male,White,,,No,Yes,Missouri,8/2/22,Representative,8,"17,242",18%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Guenther,Male,White,,,No,No,Washington,8/2/22,Senator,N/A,"55,426",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Tiffany Smiley,Female,White,,,No,No,Washington,8/2/22,Senator,N/A,"646,917",81%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes
Dave Saulibio,Male,Asian,,,No,No,Washington,8/2/22,Senator,N/A,"19,341",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Bill Hirt,Male,White,,,No,No,Washington,8/2/22,Senator,N/A,"15,276",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Leon Lawson,Male,White,,,No,No,Washington,8/2/22,Senator,N/A,"59,134",7%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Matthew Heines,Male,White,,,No,No,Washington,8/2/22,Representative,1,"13,634",23%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek K. Chartrand,Male,White,,,No,No,Washington,8/2/22,Representative,1,"11,536",20%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vincent J. Cavaleri,Male,White,,,No,No,Washington,8/2/22,Representative,1,"32,998",57%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody Hart,Male,White,,,No,No,Washington,8/2/22,Representative,2,"22,176",26%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Matthews,Male,White,,,No,No,Washington,8/2/22,Representative,2,"37,393",44%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Wheeler,Male,White,,,No,No,Washington,8/2/22,Representative,2,"9,124",11%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Lee Stalnaker,Male,Unknown,,,No,No,Washington,8/2/22,Representative,2,"1,366",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leif Johnson,Male,White,,,No,No,Washington,8/2/22,Representative,2,"5,582",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carrie R. Kennedy,Female,White,,,No,No,Washington,8/2/22,Representative,2,"8,802",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jaime Herrera Beutler,Female,White,Latino (Mexican),,Yes,No,Washington,8/2/22,Representative,3,"49,001",34%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,Yes,N/A,Yes,Yes,N/A
Vicki Kraft,Female,White,,,No,Yes,Washington,8/2/22,Representative,3,"7,033",5%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,No,No,N/A
Heidi St. John,Female,White,,,No,Yes,Washington,8/2/22,Representative,3,"35,219",25%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,No,No,N/A
Leslie L. French,Male,White,,,No,Yes,Washington,8/2/22,Representative,3,"1,100",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,No,N/A,No,No,N/A
Joe Kent,Male,White,,,No,Yes,Washington,8/2/22,Representative,3,"50,097",35%,Won,N/A,N/A,N/A,Fully denied,Yes,9/1/21,N/A,N/A,No,N/A,No,No,N/A
Corey Gibson,Male,White,,,No,Yes,Washington,8/2/22,Representative,4,"5,080",5%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Loren Culp,Male,White,,,No,Yes,Washington,8/2/22,Representative,4,"32,497",29%,Lost,N/A,N/A,N/A,Fully denied,Yes,2/9/22,N/A,N/A,No,N/A,N/A,N/A,N/A
Brad Klippert,Male,White,,,No,Yes,Washington,8/2/22,Representative,4,"15,430",14%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Jacek Kobiesa,Male,White,,,No,Yes,Washington,8/2/22,Representative,4,490,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
"Benancio ""Benny"" Garcia III",Male,Latino,,,No,Yes,Washington,8/2/22,Representative,4,"2,148",2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Jerrod Sessler,Male,White,,,No,Yes,Washington,8/2/22,Representative,4,"18,495",16%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Dan Newhouse,Male,White,,,Yes,No,Washington,8/2/22,Representative,4,"38,331",34%,Won,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A
Cathy McMorris Rodgers,Female,White,,,Yes,No,Washington,8/2/22,Representative,5,"106,072",86%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Sean Clynch,Male,White,,,No,Yes,Washington,8/2/22,Representative,5,"16,831",14%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Chris Binns,Male,White,,,No,No,Washington,8/2/22,Representative,6,"11,074",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Todd A. Bloom,Male,White,,,No,No,Washington,8/2/22,Representative,6,"24,036",27%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth Kreiselmaier,Female,White,,,No,No,Washington,8/2/22,Representative,6,"54,621",61%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cliff Moon,Male,White,,,No,No,Washington,8/2/22,Representative,7,"15,834",59%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paul Glumaz,Male,Latino (Mexican),,,No,No,Washington,8/2/22,Representative,7,"10,982",41%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reagan Dunn,Male,White,,,No,No,Washington,8/2/22,Representative,8,"29,494",29%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matt Larkin,Male,White,,,No,No,Washington,8/2/22,Representative,8,"34,684",35%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dave Chapman,Male,Unknown,,,No,No,Washington,8/2/22,Representative,8,"1,811",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jesse Jensen,Male,White,,,No,No,Washington,8/2/22,Representative,8,"26,350",26%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Stephenson,Male,White,,,No,No,Washington,8/2/22,Representative,8,"7,954",8%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doug Basler,Male,White,,,No,No,Washington,8/2/22,Representative,9,"29,144",74%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sea M. Chan,Male,Asian (Chinese),,,No,No,Washington,8/2/22,Representative,9,"5,338",14%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seth D. Pedersen,Male,White,,,No,No,Washington,8/2/22,Representative,9,"4,781",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith R. Swank,Male,White,,,No,No,Washington,8/2/22,Representative,10,"55,231",84%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Earnest Gordon,Male,White,,,No,No,Washington,8/2/22,Representative,10,"10,315",16%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Diana Lynn Harshbarger,Female,White,,,Yes,No,Tennessee,8/4/22,Representative,1,"43,761",100%,Won,N/A,N/A,N/A,Fully denied,Yes,9/19/21,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Tim Burchett,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,2,"56,880",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandy Casey,Female,White,,,No,Yes,Tennessee,8/4/22,Representative,3,"13,609",21%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chuck Fleischmann,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,3,"52,073",79%,Won,N/A,N/A,N/A,Fully denied,Yes,11/9/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott DesJarlais,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,4,"60,699",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Geni Batchelor,Female,White,,,No,No,Tennessee,8/4/22,Representative,5,"1,017",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Jeff Beierlein,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,"4,093",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Natisha Brooks,Female,Black,,,No,No,Tennessee,8/4/22,Representative,5,"1,747",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Beth Harwell,Female,White,,,No,No,Tennessee,8/4/22,Representative,5,"15,021",25%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Timothy Bruce Lee,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,845,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Andy Ogles,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,"21,325",35%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Stewart T. Parks,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,586,1%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Kurt Winstead,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,"12,721",21%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Tres Wittum,Male,White,,,No,No,Tennessee,8/4/22,Representative,5,398,1%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
John Rose,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,6,"57,162",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark E. Green,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,7,"48,968",100%,Won,N/A,N/A,N/A,Raised questions,Yes,7/5/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danny Ray Bridger Jr.,Male,White,,,No,Yes,Tennessee,8/4/22,Representative,8,"4,233",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gary Dean Clouse,Male,White,,,No,Yes,Tennessee,8/4/22,Representative,8,"2,291",3%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bob Hendry,Male,White,,,No,Yes,Tennessee,8/4/22,Representative,8,"6,990",8%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Kustoff,Male,White,,,Yes,No,Tennessee,8/4/22,Representative,8,"69,538",84%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Leo AwGoWhat,Male,White,,,No,No,Tennessee,8/4/22,Representative,9,"1,000",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charlotte Bergmann,Female,Black,,,No,No,Tennessee,8/4/22,Representative,9,"10,380",52%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brown Dudley,Male,White,,,No,No,Tennessee,8/4/22,Representative,9,"8,760",43%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Lee,Male,White,,,Yes,No,Tennessee,8/4/22,Governor,N/A,"494,362",100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,8/13/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Themis Klarides,Female,White,,,No,No,Connecticut,8/9/22,Senator,N/A,"37,003",40%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Leora R. Levy,Female,Latino (Cuban),,,No,No,Connecticut,8/9/22,Senator,N/A,"46,774",51%,Won,N/A,N/A,N/A,Raised questions,Yes,8/4/22,N/A,N/A,N/A,N/A,Yes,N/A,N/A
Peter Lumaj,Male,White,,,No,No,Connecticut,8/9/22,Senator,N/A,"8,665",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Larry Lazor,Male,White,,,No,No,Connecticut,8/9/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike France,Male,White,,,No,No,Connecticut,8/9/22,Representative,2,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lesley DeNardis,Female,White,,,No,No,Connecticut,8/9/22,Representative,3,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jayme Stevenson,Female,White,,,No,No,Connecticut,8/9/22,Representative,4,"9,962",60%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Ted Goldstein,Male,White,,,No,No,Connecticut,8/9/22,Representative,4,"6,555",40%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
George Logan,Male,Black,,,No,No,Connecticut,8/9/22,Representative,5,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Stefanowski,Male,White,,,No,No,Connecticut,8/9/22,Governor,N/A,1,100%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad Finstad,Male,White,,,No,No,Minnesota,8/9/22,Representative,1,"48,252",76%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremy Munson,Male,White,,,No,No,Minnesota,8/9/22,Representative,1,"15,207",24%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyler Kistner,Male,White,,,No,No,Minnesota,8/9/22,Representative,2,1,100%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Tom Weiler,Male,White,,,No,No,Minnesota,8/9/22,Representative,3,1,100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gene Rechtzigel,Male,White,,,No,No,Minnesota,8/9/22,Representative,4,"4,753",22%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jerry Silver,Male,White,,,No,No,Minnesota,8/9/22,Representative,4,"7,399",34%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
May Lor Xiong,Female,Asian (Vietnamese / Hmong),,,No,No,Minnesota,8/9/22,Representative,4,"9,574",44%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cicely Davis,Female,Black,,,No,No,Minnesota,8/9/22,Representative,5,"4,765",48%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guy T. Gaskin,Male,Unknown,,,No,No,Minnesota,8/9/22,Representative,5,"1,476",15%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Royce White,Male,Black,,,No,No,Minnesota,8/9/22,Representative,5,"3,689",37%,Lost,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Emmer,Male,White,,,Yes,No,Minnesota,8/9/22,Representative,6,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,8/9/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michelle Fischbach,Female,White,,,Yes,No,Minnesota,8/9/22,Representative,7,"59,429",100%,Won,N/A,N/A,N/A,Fully denied,Yes,8/9/22,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Pete Stauber,Male,White,,,Yes,No,Minnesota,8/9/22,Representative,8,"51,410",91%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,8/9/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harry Robb Welty,Male,White,,,No,Yes,Minnesota,8/9/22,Representative,8,"5,075",9%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bob ""Again"" Carney Jr.",Male,White,,,No,No,Minnesota,8/9/22,Governor,N/A,"13,213",4%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Jensen,Male,White,,,No,No,Minnesota,8/9/22,Governor,N/A,"288,499",89%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joyce Lynne Lacey,Female,White,,,No,No,Minnesota,8/9/22,Governor,N/A,"21,308",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerald Malloy,Male,White,,,No,No,Vermont,8/9/22,Senator,N/A,"12,169",40%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Myers Mermel,Male,White,,,No,No,Vermont,8/9/22,Senator,N/A,"5,227",17%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Christina Nolan,Female,White,,,No,No,Vermont,8/9/22,Senator,N/A,"10,825",35%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A
