Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
"Michael J. ""Mike"" Barkley",Male,White,,,No,No,California,6/7/22,Representative,5,"64,285",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ami Bera,Male,Asian (Indian),,,Yes,No,California,6/7/22,Representative,6,"76,317",91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Gorman,Male,White,,,No,Yes,California,6/7/22,Representative,6,"7,528",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Fremgen,Male,White,,,No,Yes,California,6/7/22,Representative,7,"12,550",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Doris Matsui,Female,Asian (Japanese),,,Yes,No,California,6/7/22,Representative,7,"94,896",88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Garamendi,Male,White,,,Yes,No,California,6/7/22,Representative,8,"72,333",80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christopher Riley,Male,Latino (Salvadoran),White,,No,Yes,California,6/7/22,Representative,8,"3,926",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edwin Rutsch,Male,White,,,No,Yes,California,6/7/22,Representative,8,"3,268",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cheryl Sudduth,Female,Black,,,No,Yes,California,6/7/22,Representative,8,"11,378",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Harpreet Singh Chima,Male,Asian,,,No,Yes,California,6/7/22,Representative,9,"8,433",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karena Apple Feng,Female,Asian,,,No,Yes,California,6/7/22,Representative,9,"2,632",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Josh Harder,Male,White,,,Yes,No,California,6/7/22,Representative,9,"39,026",73%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khalid Jeffrey Jafri,Male,Asian (Indian),,,No,Yes,California,6/7/22,Representative,9,"3,174",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark DeSaulnier,Male,White,,,Yes,No,California,6/7/22,Representative,10,"124,787",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shahid Buttar,Male,Asian (Pakistani),,,No,Yes,California,6/7/22,Representative,11,"19,471",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nancy Pelosi,Female,White,,,Yes,No,California,6/7/22,Representative,11,"133,798",84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeffrey Phillips,Male,White,,,No,Yes,California,6/7/22,Representative,11,"3,595",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bianca Von Krieg,Female,White,,,No,Yes,California,6/7/22,Representative,11,"2,499",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbara Lee,Female,Black,,,Yes,No,California,6/7/22,Representative,12,"135,892",97%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Wilson,Male,Black,,,No,Yes,California,6/7/22,Representative,12,"3,753",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phil Arballo,Male,Latino,,,No,No,California,6/7/22,Representative,13,"13,099",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam Gray,Male,White,,,No,No,California,6/7/22,Representative,13,"23,784",64%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Andrew Peters,Male,White,,,No,Yes,California,6/7/22,Representative,14,"6,216",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Swalwell,Male,White,,,Yes,No,California,6/7/22,Representative,14,"77,120",93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emily Beach,Female,White,,,No,No,California,6/7/22,Representative,15,"20,816",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David J. Canepa,Male,White,,,No,No,California,6/7/22,Representative,15,"34,488",30%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Mullin,Male,White,,,No,No,California,6/7/22,Representative,15,"58,806",51%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew G. Watters,Male,White,,,No,No,California,6/7/22,Representative,15,"1,551",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anna G. Eshoo,Female,Middle Eastern (Armenian),,,Yes,No,California,6/7/22,Representative,16,"81,100",62%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rishi Kumar,Male,Asian (Indian),,,No,Yes,California,6/7/22,Representative,16,"26,438",20%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ajwang Rading,Male,Black,,,No,Yes,California,6/7/22,Representative,16,"11,418",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Lin Tanaka,Male,Asian,,,No,Yes,California,6/7/22,Representative,16,"11,107",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Forbes,Male,White,,,No,Yes,California,6/7/22,Representative,17,"5,694",7%,Lost,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ro Khanna,Male,Asian (Indian),,,Yes,No,California,6/7/22,Representative,17,"74,892",90%,Won,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rao Ravul,Male,Asian,,,No,Yes,California,6/7/22,Representative,17,"2,394",3%,Lost,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luis Acevedo-Arreguin,Male,Latino (Mexican),,,No,Yes,California,6/7/22,Representative,18,"11,253",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zoe Lofgren,Female,White,,,Yes,No,California,6/7/22,Representative,18,"50,104",82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Douglas Deitch,Male,White,,,No,Yes,California,6/7/22,Representative,19,"5,700",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Panetta,Male,White,,,Yes,No,California,6/7/22,Representative,19,"127,545",96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Dewell,Male,White,,,No,No,California,6/7/22,Representative,20,"8,757",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marisa Wood,Female,White,,,No,No,California,6/7/22,Representative,20,"33,511",79%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Costa,Male,White,,,Yes,No,California,6/7/22,Representative,21,"33,850",82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Garcia,Male,Latino (Mexican),,,No,Yes,California,6/7/22,Representative,21,"7,239",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rudy Salas,Male,Latino,,,No,No,California,6/7/22,Representative,22,"25,337",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Blanca A. Gómez,Female,Latino,,,No,No,California,6/7/22,Representative,23,"16,516",44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Derek Marshall,Male,White,,,No,No,California,6/7/22,Representative,23,"20,776",56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salud Carbajal,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,24,"111,199",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raul Ruiz,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,25,"55,315",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julia Brownley,Female,White,,,Yes,No,California,6/7/22,Representative,26,"91,535",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ruth Luevanos,Female,Latino,,,No,No,California,6/7/22,Representative,27,"6,668",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quaye Quartey,Male,Black,,,No,No,California,6/7/22,Representative,27,"8,303",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Christy Smith,Female,White,,,No,No,California,6/7/22,Representative,27,"45,675",75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dorothy Caronna,Female,White,,,No,Yes,California,6/7/22,Representative,28,"7,993",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Judy Chu,Female,Asian (Chinese),,,Yes,No,California,6/7/22,Representative,28,"90,395",92%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Cardenas,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,29,"47,941",71%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angélica María Dueñas,Female,Latino (Mexican),,,No,Yes,California,6/7/22,Representative,29,"19,321",29%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sal Genovese,Male,White,,,No,Yes,California,6/7/22,Representative,30,"2,612",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"G ""Maebe A. Girl"" Pudlo",Female,White,,,No,Yes,California,6/7/22,Representative,30,"21,053",17%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adam B. Schiff,Male,White,,,Yes,No,California,6/7/22,Representative,30,"102,290",81%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rocco Anthony De Luca,Male,White,,,No,Yes,California,6/7/22,Representative,31,"6,948",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Grace F. Napolitano,Female,Latino,,,Yes,No,California,6/7/22,Representative,31,"49,415",88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shervin Aazami,Male,Middle Eastern (Iranian),,,No,Yes,California,6/7/22,Representative,32,"15,035",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jason Potell,Male,White,,,No,Yes,California,6/7/22,Representative,32,"2,943",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raji Rab,Male,Asian,,,No,Yes,California,6/7/22,Representative,32,"2,938",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aarika Samone Rhodes,Female,Black,,,No,Yes,California,6/7/22,Representative,32,"8,744",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad Sherman,Male,White,,,Yes,No,California,6/7/22,Representative,32,"88,063",75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pete Aguilar,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,33,"41,046",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Gomez,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,34,"45,376",57%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Kim,Male,Asian (Korean),,,No,Yes,California,6/7/22,Representative,34,"34,921",43%,Made runoff,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lloyd A. Stevens,Male,White,,,No,Yes,California,6/7/22,Representative,35,"3,022",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norma J. Torres,Female,Latino (Guatemalan),,,Yes,No,California,6/7/22,Representative,35,"37,554",93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ted W. Lieu,Male,Asian (Taiwanese),,,Yes,No,California,6/7/22,Representative,36,"122,969",95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colin Kilpatrick Obrien,Male,Unknown,,,No,Yes,California,6/7/22,Representative,36,"6,221",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sydney Kamlager,Female,Black,White,,No,No,California,6/7/22,Representative,37,"42,628",48%,Made runoff,,,,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel W. Lee,Male,Black,,,No,No,California,6/7/22,Representative,37,"17,414",20%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandra Mendoza,Female,Latino,,,No,No,California,6/7/22,Representative,37,"8,017",9%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jan C. Perry,Female,Black,,,No,No,California,6/7/22,Representative,37,"17,993",20%,Made runoff,,,,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Shure,Male,White,,,No,No,California,6/7/22,Representative,37,"2,469",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linda T. Sánchez,Female,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,38,"58,586",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mark Takano,Male,Asian (Japanese),,,Yes,No,California,6/7/22,Representative,39,"44,067",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asif Mahmood,Male,Asian (Pakistani),,,No,No,California,6/7/22,Representative,40,"74,607",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shrina Kurani,Female,Asian (Indian),,,No,No,California,6/7/22,Representative,41,"23,483",34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Will Rollins,Male,White,,,No,No,California,6/7/22,Representative,41,"45,923",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joaquín Beltrán,Male,Latino (Mexican),,,No,No,California,6/7/22,Representative,42,"2,254",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cristina Garcia,Female,Latino,,,No,No,California,6/7/22,Representative,42,"11,685",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Garcia,Male,Latino (Peruvian),,,No,No,California,6/7/22,Representative,42,"43,406",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
J. Nicole Lopez,Female,Latino (Mexican),,,No,No,California,6/7/22,Representative,42,"3,164",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peter Mathews,Male,Asian (Indian),,,No,No,California,6/7/22,Representative,42,"3,415",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
William Moses Summerville,Male,Black,,,No,No,California,6/7/22,Representative,42,"2,301",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jean M. Monestime,Male,Unknown,,,No,Yes,California,6/7/22,Representative,43,"2,952",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maxine Waters,Female,Black,,,Yes,No,California,6/7/22,Representative,43,"55,889",95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nanette Diaz Barragan,Female,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,44,"58,594",91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morris Falls Griffin,Male,Black,,,No,Yes,California,6/7/22,Representative,44,"6,110",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jay F. Chen,Male,Asian (Taiwanese),,,No,No,California,6/7/22,Representative,45,"58,721",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Lou Correa,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,46,"37,311",80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A
Mike Ortega,Male,Latino (Puerto Rican / Ecuadorian),,,No,Yes,California,6/7/22,Representative,46,"9,311",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A
Katie Porter,Female,White,,,Yes,No,California,6/7/22,Representative,47,"86,742",100%,Won,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Stephen Houlahan,Male,White,,,No,No,California,6/7/22,Representative,48,"45,740",75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew G. Rascon,Male,White,,,No,No,California,6/7/22,Representative,48,"14,983",25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Levin,Male,White,,,Yes,No,California,6/7/22,Representative,49,"92,211",95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Nadia Bahia Smalley,Female,Black,,,No,Yes,California,6/7/22,Representative,49,"4,804",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Scott Peters,Male,White,,,Yes,No,California,6/7/22,Representative,50,"89,894",85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kylie Louie Vie Benitez Taitano,Female,Asian (Filipino),,,No,Yes,California,6/7/22,Representative,50,"16,065",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sara Jacobs,Female,White,,,Yes,No,California,6/7/22,Representative,51,"91,329",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Juan Vargas,Male,Latino (Mexican),,,Yes,No,California,6/7/22,Representative,52,"56,827",85%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joaquín Vázquez,Male,Latino (Mexican),,,No,Yes,California,6/7/22,Representative,52,"9,965",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Anthony ""Tony"" Fanara",Male,White,,,No,Yes,California,6/7/22,Governor,N/A,"25,086",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Gavin Newsom,Male,White,,,Yes,No,California,6/7/22,Governor,N/A,"3,945,728",97%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
"Armando ""Mando"" Perez-Serrato",Male,Latino (Mexican),,,No,Yes,California,6/7/22,Governor,N/A,"45,474",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Joel Ventresca,Male,White,,,No,Yes,California,6/7/22,Governor,N/A,"66,885",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Jennifer Lewis,Female,White,,,No,No,Virginia,6/11/22,Representative,6,N/A,N/A,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chellie Pingree,Female,White,,,Yes,No,Maine,6/14/22,Representative,1,"43,007",94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jared Golden,Male,White,,,Yes,No,Maine,6/14/22,Representative,2,"25,684",90%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Janet Mills,Female,White,,,Yes,No,Maine,6/14/22,Governor,N/A,"69,422",93%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Catherine Cortez Masto,Female,White,Latino (Mexican),,Yes,No,Nevada,6/14/22,Senator,N/A,"159,694",91%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephanie Kasheta,Female,White,,,No,Yes,Nevada,6/14/22,Senator,N/A,"3,487",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corey Reid,Male,White,,,No,Yes,Nevada,6/14/22,Senator,N/A,"4,491",3%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Allen Rheinhart,Male,Black,,,No,Yes,Nevada,6/14/22,Senator,N/A,"3,852",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dina Titus,Female,White,,,Yes,No,Nevada,6/14/22,Representative,1,"33,565",80%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,No,N/A,N/A
Amy Vilela,Female,White,,,No,Yes,Nevada,6/14/22,Representative,1,"8,482",20%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A
Joseph Edward Afzal,Male,White,Native American (Pomo),,No,No,Nevada,6/14/22,Representative,2,"3,117",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Doucette,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"5,478",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerold Lee Gorman,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"1,034",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tim Hanifan,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"6,440",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian J. Hansen,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"3,276",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rahul A. Joshi,Male,Asian,,,No,No,Nevada,6/14/22,Representative,2,"3,613",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Elizabeth Mercedes Krause,Female,Native American (Lakota),,,No,No,Nevada,6/14/22,Representative,2,"22,072",49%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Randell ""Randy"" Hynes",Male,White,,,No,Yes,Nevada,6/14/22,Representative,3,"4,265",10%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Susie Lee,Female,White,,,Yes,No,Nevada,6/14/22,Representative,3,"37,069",90%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven A. Horsford,Male,Black,,,Yes,No,Nevada,6/14/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Collins,Male,White,,,No,Yes,Nevada,6/14/22,Governor,N/A,"12,051",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No
Steve Sisolak,Male,White,,,Yes,No,Nevada,6/14/22,Governor,N/A,"157,283",90%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes
Catherine Fleming Bruce,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"59,777",35%,Made runoff,20064,44%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angela Geter,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"55,281",32%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Krystle Matthews,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"57,278",33%,Made runoff,25300,56%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Annie Andrews,Female,White,,,No,No,South Carolina,6/14/22,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Judd Larkins,Male,White,,,No,No,South Carolina,6/14/22,Representative,2,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ken Hill,Male,White,,,No,No,South Carolina,6/14/22,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kevin Eckert,Male,White,,,No,No,South Carolina,6/14/22,Representative,5,"8,274",42%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Evangeline Hundley,Female,Black,,,No,No,South Carolina,6/14/22,Representative,5,"11,257",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Addison,Male,Black,,,No,Yes,South Carolina,6/14/22,Representative,6,"4,203",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
