StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 18:29,7/9/14 18:31,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Community and Social Service Occupations,,Female,30-44,"$100,000 - $149,999",Graduate degree,West North Central
7/9/14 18:29,7/9/14 18:32,Married,More than 20 years,Every night,On the couch/chair,,Separate bedroom,,,,,We are no longer physically intimate,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly agree,Strongly disagree,Other (please specify),ret.,Male,> 60,"$50,000 - $99,999",,East North Central
7/9/14 18:29,7/9/14 18:30,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,18-29,"$0 - $24,999",Bachelor degree,Mountain
7/9/14 18:29,7/9/14 18:30,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Community and Social Service Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 18:29,7/9/14 18:30,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,> 60,"$150,000+",Graduate degree,East North Central
7/9/14 18:29,7/9/14 18:30,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,> 60,"$100,000 - $149,999",Graduate degree,Mountain
7/9/14 18:29,7/9/14 18:31,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,Not enough space,,,,,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Other (please specify),Financial advisor,Female,30-44,"$150,000+",Bachelor degree,East North Central
7/9/14 18:28,7/9/14 18:30,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 18:28,7/9/14 18:33,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Community and Social Service Occupations,,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 18:29,7/9/14 18:29,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,,,,,
7/9/14 18:28,7/9/14 18:31,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,,,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
7/9/14 18:28,7/9/14 18:29,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,West South Central
7/9/14 18:27,7/9/14 18:29,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central
7/9/14 18:27,7/9/14 18:28,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,> 60,,Graduate degree,New England
7/9/14 18:27,7/9/14 18:28,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Social science researcher,Female,18-29,,Bachelor degree,South Atlantic
7/9/14 18:26,7/9/14 18:34,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,We have different temperature preferences for the room,,,,,,,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Healthcare Support Occupations,,Male,> 60,,Graduate degree,East North Central
7/9/14 18:27,7/9/14 18:29,Married,11-15 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,45-60,"$150,000+",Graduate degree,West North Central
7/9/14 18:27,7/9/14 18:28,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:27,7/9/14 18:29,Married,More than 20 years,A few times per month,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,45-60,,Bachelor degree,West North Central
7/9/14 18:27,7/9/14 18:27,Divorced,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,"$150,000+",Graduate degree,South Atlantic
7/9/14 18:26,7/9/14 18:29,Married,6-10 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Shared bedroom, different bed",,,,,,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Other (please specify),homemake and homeschool teacher,Female,18-29,"$0 - $24,999",Bachelor degree,East South Central
7/9/14 18:26,7/9/14 18:28,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,On the couch/chair,,On the couch/chair,,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Other (please specify),"Government, public sector, Dept. of Motor Vehicles clerk",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 18:26,7/9/14 18:27,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
7/9/14 18:26,7/9/14 18:28,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 18:26,7/9/14 18:27,In a domestic partnership or civil union,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Female,30-44,"$150,000+",Some college or Associate degree,South Atlantic
7/9/14 18:26,7/9/14 18:27,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,One of us is sick,,,,,,,,,Within 11-15 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Protective Service Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 18:26,7/9/14 18:27,Married,1-5 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,We are no longer physically intimate,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Construction and Extraction Occupations,,Male,30-44,"$150,000+",Graduate degree,South Atlantic
7/9/14 18:26,7/9/14 18:27,Married,11-15 years,Every night,"Shared bedroom, different bed",,"Shared bedroom, different bed",,One of us snores,,,,,,,Do not want to share the covers,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
7/9/14 18:25,7/9/14 18:30,Married,More than 20 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,One of us is sick,,,,,,,,,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Other (please specify),retired engineer,Male,> 60,"$150,000+",Graduate degree,New England
7/9/14 18:26,7/9/14 18:26,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 18:25,7/9/14 18:30,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,We have different temperature preferences for the room,,,,,Night working/very different sleeping times,Other (please specify),Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Somewhat disagree,Community and Social Service Occupations,,Female,45-60,"$100,000 - $149,999",Graduate degree,West South Central
7/9/14 18:25,7/9/14 18:27,Married,More than 20 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Within 16-20 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Other (please specify),Retired,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific
7/9/14 18:25,7/9/14 18:25,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,45-60,"$150,000+",Graduate degree,East North Central
7/9/14 18:25,7/9/14 18:29,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,,,,,We have different temperature preferences for the room,,,,,Night working/very different sleeping times,,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Other (please specify),retired,Male,> 60,"$25,000 - $49,999",,West North Central
7/9/14 18:24,7/9/14 18:29,Married,More than 20 years,Every night,Other (please specify),I sleep on the floor in a different room,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,We've had an argument or fight,,,,Night working/very different sleeping times,Other (please specify),Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,45-60,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 18:24,7/9/14 18:27,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,We've had an argument or fight,,,,,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,45-60,"$0 - $24,999",Some college or Associate degree,Pacific
7/9/14 18:24,7/9/14 18:25,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Carpentry,Male,18-29,,Less than high school degree,New England
7/9/14 18:23,7/9/14 18:25,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:24,7/9/14 18:25,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,> 60,"$150,000+",Graduate degree,West South Central
7/9/14 18:24,7/9/14 18:26,Married,11-15 years,Once a month or less,On the couch/chair,,On the couch/chair,,One of us snores,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Other (please specify),Mom and housewife,Female,18-29,,Bachelor degree,East South Central
7/9/14 18:24,7/9/14 18:26,Married,More than 20 years,Once a year or less,On the couch/chair,,On the couch/chair,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Installation, Maintenance, and Repair Occupations",,Male,45-60,"$100,000 - $149,999",High school degree,New England
7/9/14 18:24,7/9/14 18:25,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 18:24,7/9/14 18:27,Married,16-20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Somewhat disagree,Sales and Related Occupations,,Male,> 60,"$150,000+",Bachelor degree,East North Central
7/9/14 18:24,7/9/14 18:25,Married,11-15 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,,Female,45-60,,Bachelor degree,East North Central
7/9/14 18:24,7/9/14 18:25,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),"disabled,  unemployed",Female,45-60,"$25,000 - $49,999",Some college or Associate degree,East North Central
7/9/14 18:24,7/9/14 18:24,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:23,7/9/14 18:25,Married,6-10 years,A few times per week,Separate bedroom,,On the couch/chair,,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 18:23,7/9/14 18:26,Married,6-10 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Neither agree nor disagree,Community and Social Service Occupations,,Female,30-44,"$25,000 - $49,999",High school degree,East North Central
7/9/14 18:23,7/9/14 18:24,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Practitioners and Technical Occupations,,Female,30-44,"$50,000 - $99,999",High school degree,South Atlantic
7/9/14 18:23,7/9/14 18:24,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),veterinary,Male,18-29,,Some college or Associate degree,Pacific
7/9/14 18:23,7/9/14 18:25,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,One of us is sick,,We have different temperature preferences for the room,,,,,,,After 20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,,Graduate degree,Middle Atlantic
7/9/14 18:23,7/9/14 18:23,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,,,,,
7/9/14 18:23,7/9/14 18:23,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,,,,,
7/9/14 18:23,7/9/14 18:25,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly disagree,Strongly agree,Somewhat disagree,Computer and Mathematical Occupations,,Male,30-44,,Some college or Associate degree,Pacific
7/9/14 18:22,7/9/14 18:25,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,45-60,,High school degree,Middle Atlantic
7/9/14 18:23,7/9/14 18:24,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Female,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 18:22,7/9/14 18:23,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,> 60,"$150,000+",Graduate degree,Pacific
7/9/14 18:22,7/9/14 18:24,Married,More than 20 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Legal Occupations,,Female,45-60,"$50,000 - $99,999",Graduate degree,New England
7/9/14 18:22,7/9/14 18:22,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
7/9/14 18:22,7/9/14 18:23,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Other (please specify),Retired,Male,> 60,,High school degree,East North Central
7/9/14 18:21,7/9/14 18:23,Married,More than 20 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,We are no longer physically intimate,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,,Graduate degree,Middle Atlantic
7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$150,000+",Graduate degree,East North Central
7/9/14 18:21,7/9/14 18:22,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 18:21,7/9/14 18:22,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Airlines,Male,18-29,"$25,000 - $49,999",Bachelor degree,West South Central
7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,,Some college or Associate degree,West South Central
7/9/14 18:21,7/9/14 18:22,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,> 60,"$150,000+",Graduate degree,East North Central
7/9/14 18:21,7/9/14 18:23,Married,More than 20 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Personal Care and Service Occupations,,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England
7/9/14 18:20,7/9/14 18:21,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic
7/9/14 18:20,7/9/14 18:23,Married,More than 20 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Healthcare Support Occupations,,Female,45-60,,Graduate degree,Middle Atlantic
7/9/14 18:20,7/9/14 18:22,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,One of us is sick,We are no longer physically intimate,,,,,,,,After 20 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,Other (please specify),retired,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central
7/9/14 18:20,7/9/14 18:22,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,,,,,
7/9/14 18:19,7/9/14 18:20,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),unemployed,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
7/9/14 18:19,7/9/14 18:24,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,,Separate bedroom,,,,,We are no longer physically intimate,We have different temperature preferences for the room,,Not enough space,Do not want to share the covers,,,,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Somewhat disagree,Computer and Mathematical Occupations,,Male,30-44,"$0 - $24,999",Bachelor degree,South Atlantic
7/9/14 18:19,7/9/14 18:20,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic
7/9/14 18:19,7/9/14 18:22,Married,11-15 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,Not enough space,,,,,Within 6-10 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Business and Financial Operations Occupations,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
7/9/14 18:19,7/9/14 18:21,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,,,,,,,Within 16-20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Other (please specify),homemaker,Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 18:19,7/9/14 18:23,Married,11-15 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,45-60,"$25,000 - $49,999",Graduate degree,West South Central
7/9/14 18:18,7/9/14 18:20,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 18:18,7/9/14 18:21,Married,11-15 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Female,45-60,,Some college or Associate degree,Middle Atlantic
7/9/14 18:18,7/9/14 18:21,Married,6-10 years,Once a year or less,On the couch/chair,,"Shared bedroom, different bed",,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
7/9/14 18:18,7/9/14 18:21,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Planning,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
7/9/14 18:18,7/9/14 18:22,Married,6-10 years,Once a month or less,Separate bedroom,,Separate bedroom,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Legal Occupations,,Male,45-60,"$150,000+",Bachelor degree,
7/9/14 18:18,7/9/14 18:19,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 18:17,7/9/14 18:19,Married,16-20 years,Every night,"Shared bedroom, different bed",,Separate bedroom,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly agree,Neither agree nor disagree,Other (please specify),Housekeeper,Female,45-60,"$0 - $24,999",Less than high school degree,South Atlantic
7/9/14 18:17,7/9/14 18:18,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Female,18-29,"$0 - $24,999",Some college or Associate degree,East South Central
7/9/14 18:16,7/9/14 18:18,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,,,,,,,,,,,Other (please specify),Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),retired,Female,> 60,,Graduate degree,South Atlantic
7/9/14 18:17,7/9/14 18:17,Married,More than 20 years,Once a month or less,Separate bedroom,,On the couch/chair,,One of us snores,,One of us is sick,,,,,,,,,After 20 years of our relationship,Strongly disagree,Strongly agree,Strongly disagree,Office and Administrative Support Occupations,,,,,,
7/9/14 18:16,7/9/14 18:22,Married,More than 20 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,Other (please specify),retired,Female,> 60,,Bachelor degree,West South Central
7/9/14 18:16,7/9/14 18:17,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Food Preparation and Serving Related Occupations,,Female,18-29,,Bachelor degree,Middle Atlantic
7/9/14 18:16,7/9/14 18:16,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Female,45-60,,Graduate degree,Mountain
7/9/14 18:15,7/9/14 18:17,Married,More than 20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,One of us snores,,,,,We've had an argument or fight,,,,,,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Legal Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
7/9/14 18:15,7/9/14 18:16,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,45-60,"$150,000+",Graduate degree,South Atlantic
7/9/14 18:15,7/9/14 18:16,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,,Bachelor degree,Middle Atlantic
7/9/14 18:15,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,Mountain
7/9/14 18:15,7/9/14 18:18,Married,More than 20 years,A few times per month,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,45-60,,Some college or Associate degree,East North Central
7/9/14 18:15,7/9/14 18:15,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 18:14,7/9/14 18:16,Married,More than 20 years,Once a year or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Healthcare Support Occupations,,Female,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 18:14,7/9/14 18:15,In a domestic partnership or civil union,Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Female,18-29,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 18:14,7/9/14 18:15,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
7/9/14 18:14,7/9/14 18:15,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 18:14,7/9/14 18:16,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,One of us is sick,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Community and Social Service Occupations,,Female,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 18:14,7/9/14 18:16,Married,16-20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,Within 11-15 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Female,45-60,,Bachelor degree,Middle Atlantic
