RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3877673406,Yes,A specific website or app (please provide the answer),Iphone weather app,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877673386,Yes,Local TV News,-,Very likely,60+,Female,"$175,000 to $199,999",Pacific
3877671160,No,A specific website or app (please provide the answer),desktop icon,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Pacific
3877668804,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",-
3877668573,Yes,A specific website or app (please provide the answer),The one that comes on your iphone,Very likely,18 - 29,Female,"$0 to $9,999",New England
3877668518,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,"$125,000 to $149,999",New England
3877668411,Yes,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$150,000 to $174,999",New England
3877666795,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877666179,Yes,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,West South Central
3877665489,Yes,A specific website or app (please provide the answer),weather bug,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877661347,Yes,Radio weather,-,Somewhat likely,60+,Male,"$75,000 to $99,999",Mountain
3877660370,Yes,A specific website or app (please provide the answer),the weather channel and local TV kxan,Very likely,60+,Female,"$200,000 and up",West South Central
3877660042,Yes,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877656203,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",Pacific
3877654524,Yes,Internet search,-,Very unlikely,18 - 29,Female,Prefer not to answer,-
3877654523,Yes,A specific website or app (please provide the answer),Accuweather,Very likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3877653871,Yes,A specific website or app (please provide the answer),weather bug,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
3877653260,Yes,Local TV News,-,Somewhat likely,60+,Female,"$200,000 and up",West South Central
3877652718,Yes,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,Mountain
3877652362,Yes,A specific website or app (please provide the answer),Wunderground,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877651261,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
3877650432,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877649523,Yes,A specific website or app (please provide the answer),weatherbug,Very unlikely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877649260,Yes,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",Pacific
3877648807,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$200,000 and up",South Atlantic
3877648261,Yes,Newspaper,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",New England
3877648193,Yes,Internet search,-,Very likely,30 - 44,Female,"$25,000 to $49,999",West South Central
3877647762,Yes,Local TV News,-,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877647733,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$200,000 and up",Pacific
3877647589,Yes,Internet search,-,Very likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877647198,Yes,Local TV News,-,Very unlikely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877646688,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3877646493,Yes,Newspaper,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",West North Central
3877646443,Yes,Local TV News,-,Somewhat likely,45 - 59,Female,"$175,000 to $199,999",South Atlantic
3877644027,Yes,The Weather Channel,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3877642069,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877640956,Yes,A specific website or app (please provide the answer),accuweather,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877640569,Yes,A specific website or app (please provide the answer),the weather channel app,Very unlikely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877640059,Yes,Local TV News,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",East South Central
3877639651,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877639599,Yes,Internet search,-,Somewhat likely,60+,Male,"$25,000 to $49,999",West South Central
3877639207,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
3877638685,Yes,A specific website or app (please provide the answer),Intellicast (site) & WUnderground (app) ,Very likely,45 - 59,Male,"$25,000 to $49,999",New England
3877638200,No,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,Prefer not to answer,West North Central
3877637740,Yes,A specific website or app (please provide the answer),Weather Bug App,Very likely,18 - 29,Female,"$10,000 to $24,999",East South Central
3877637463,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3877637448,Yes,A specific website or app (please provide the answer),myphone,Very unlikely,60+,Female,Prefer not to answer,West South Central
3877637119,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$175,000 to $199,999",-
3877635198,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,East North Central
3877635161,Yes,Internet search,-,Very likely,30 - 44,Female,"$10,000 to $24,999",New England
3877633592,No,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,East North Central
3877633421,Yes,A specific website or app (please provide the answer),weather.com,Very unlikely,30 - 44,Female,"$100,000 to $124,999",Mountain
3877632920,Yes,A specific website or app (please provide the answer),weather.gov,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West North Central
3877632727,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Female,Prefer not to answer,Pacific
3877631626,Yes,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3877630928,Yes,Radio weather,-,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877627989,Yes,Local TV News,-,Very likely,60+,Male,Prefer not to answer,Mountain
3877627031,Yes,Internet search,-,Very likely,18 - 29,Female,Prefer not to answer,New England
3877626831,Yes,Newsletter,-,Somewhat unlikely,45 - 59,Female,Prefer not to answer,Pacific
3877626301,No,A specific website or app (please provide the answer),accuweather,Somewhat likely,18 - 29,Female,Prefer not to answer,Mountain
3877625001,Yes,Internet search,-,Very likely,30 - 44,Female,"$75,000 to $99,999",Pacific
3877624927,Yes,Internet search,-,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3877623695,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877623020,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3877622336,No,A specific website or app (please provide the answer),my phone has a pre-loaded app,Very likely,45 - 59,Female,"$200,000 and up",Pacific
3877622039,Yes,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West North Central
3877621290,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",West North Central
3877620916,No,A specific website or app (please provide the answer),www.weather.gov,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",East North Central
3877620216,Yes,Internet search,-,Very unlikely,60+,Female,"$200,000 and up",Mountain
3877619244,Yes,Local TV News,-,Very unlikely,60+,Female,"$25,000 to $49,999",Middle Atlantic
3877618703,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
3877617187,Yes,A specific website or app (please provide the answer),weather.com,Somewhat unlikely,60+,Female,"$75,000 to $99,999",New England
3877617097,Yes,Local TV News,-,Somewhat unlikely,30 - 44,Female,"$50,000 to $74,999",Mountain
3877615523,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$50,000 to $74,999",Mountain
3877614060,Yes,A specific website or app (please provide the answer),Weather Underground,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877613803,Yes,The Weather Channel,-,Very likely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877613602,No,-,-,-,-,-,-,-
3877612849,Yes,Internet search,-,Somewhat likely,60+,Female,"$150,000 to $174,999",Pacific
3877612172,Yes,Local TV News,-,Very unlikely,45 - 59,Female,"$50,000 to $74,999",East South Central
3877611589,Yes,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,East South Central
3877611244,Yes,Internet search,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3877608503,No,Local TV News,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3877608111,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$75,000 to $99,999",West South Central
3877607322,Yes,Local TV News,-,Very unlikely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877606832,No,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",Mountain
3877606205,Yes,A specific website or app (please provide the answer),The Weather Channel app,Very likely,45 - 59,Male,Prefer not to answer,South Atlantic
3877606053,Yes,Newspaper,-,Somewhat likely,60+,Female,"$75,000 to $99,999",South Atlantic
3877605415,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",New England
3877605085,Yes,A specific website or app (please provide the answer),Weather & Clock widget,Very likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877604945,Yes,Local TV News,-,Very likely,45 - 59,Female,"$0 to $9,999",Mountain
3877604719,Yes,Internet search,-,Somewhat likely,45 - 59,Female,Prefer not to answer,West North Central
3877603245,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Mountain
3877602149,Yes,A specific website or app (please provide the answer),Weather.com,Very likely,60+,Male,"$175,000 to $199,999",East North Central
3877602108,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",East South Central
3877601790,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$75,000 to $99,999",West South Central
3877600406,Yes,The Weather Channel,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877599363,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$25,000 to $49,999",East North Central
3877599184,No,Internet search,-,Very unlikely,30 - 44,Female,"$125,000 to $149,999",South Atlantic
3877598945,Yes,The Weather Channel,-,Very likely,30 - 44,Female,"$125,000 to $149,999",West South Central
3877598520,Yes,Local TV News,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3877595167,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3877594682,Yes,Radio weather,-,Somewhat likely,60+,Male,"$25,000 to $49,999",East North Central
3877592670,Yes,Local TV News,-,Very likely,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
3877591670,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",West South Central
3877591495,Yes,Local TV News,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",West North Central
3877591297,No,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877586222,Yes,A specific website or app (please provide the answer),Weather.com,Very likely,30 - 44,Female,"$100,000 to $124,999",West North Central
3877585955,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,Prefer not to answer,New England
3877584768,Yes,A specific website or app (please provide the answer),yahoo weather app,Very likely,45 - 59,Female,"$75,000 to $99,999",West South Central
3877584496,No,A specific website or app (please provide the answer),Www.weather.com,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
3877580938,Yes,Newspaper,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Mountain
3877579781,Yes,The Weather Channel,-,Very unlikely,30 - 44,Male,"$25,000 to $49,999",East South Central
3877579062,Yes,The Weather Channel,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877576778,No,Local TV News,-,Very likely,45 - 59,Female,"$10,000 to $24,999",East North Central
3877573011,Yes,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$25,000 to $49,999",East South Central
3877572488,Yes,A specific website or app (please provide the answer),weather app on iphone,Very likely,30 - 44,Female,"$125,000 to $149,999",South Atlantic
3877572480,No,The default weather app on your phone,-,Very likely,18 - 29,Female,"$100,000 to $124,999",South Atlantic
3877571848,No,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",East North Central
3877568315,Yes,The Weather Channel,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877568116,No,Internet search,-,Very unlikely,60+,Female,"$100,000 to $124,999",West South Central
3877568054,Yes,The Weather Channel,-,Very likely,45 - 59,Female,Prefer not to answer,Pacific
3877568053,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877566926,Yes,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3877551536,No,-,-,-,-,-,-,-
3877548893,Yes,-,-,-,-,-,-,-
