Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Long Stick Goes Boom,Krokus,,Long Stick Goes Boom by Krokus,1,0,1,0
Screaming In The Night,Krokus,,Screaming In The Night by Krokus,1,0,3,0
Stayed Awake All Night,Krokus,,Stayed Awake All Night by Krokus,1,0,1,0
Sex Action,L.A. Guns,,Sex Action by L.A. Guns,1,0,1,0
Key To The Rhyme,Lake,,Key To The Rhyme by Lake,1,0,1,0
All My Love,Led Zeppelin,1979,All My Love by Led Zeppelin,1,1,83,83
Babe I'm Gonna Leave You,Led Zeppelin,1969,Babe I'm Gonna Leave You by Led Zeppelin,1,1,24,24
Black Dog,Led Zeppelin,1971,Black Dog by Led Zeppelin,1,1,105,105
Black Mountain Side,Led Zeppelin,1969,Black Mountain Side by Led Zeppelin,1,1,1,1
Bonzo's Montreaux,Led Zeppelin,1982,Bonzo's Montreaux by Led Zeppelin,1,1,3,3
Boogie With Stu,Led Zeppelin,1975,Boogie With Stu by Led Zeppelin,1,1,4,4
Bring It On Home,Led Zeppelin,1969,Bring It On Home by Led Zeppelin,1,1,1,1
Bron-y-aur Stomp,Led Zeppelin,1970,Bron-y-aur Stomp by Led Zeppelin,1,1,2,2
Celebration Day,Led Zeppelin,1970,Celebration Day by Led Zeppelin,1,1,4,4
Communication Breakdown,Led Zeppelin,1969,Communication Breakdown by Led Zeppelin,1,1,18,18
Custard Pie,Led Zeppelin,1975,Custard Pie by Led Zeppelin,1,1,6,6
D'Yer Mak'er,Led Zeppelin,1973,D'Yer Mak'er by Led Zeppelin,1,1,88,88
Dancing Days,Led Zeppelin,1973,Dancing Days by Led Zeppelin,1,1,28,28
Darlene,Led Zeppelin,1982,Darlene by Led Zeppelin,1,1,2,2
Dazed and Confused,Led Zeppelin,1969,Dazed and Confused by Led Zeppelin,1,1,15,15
Down By The Seaside,Led Zeppelin,1975,Down By The Seaside by Led Zeppelin,1,1,1,1
Fool In the Rain,Led Zeppelin,1979,Fool In the Rain by Led Zeppelin,1,1,69,69
For Your Life,Led Zeppelin,1976,For Your Life by Led Zeppelin,1,1,1,1
Four Sticks,Led Zeppelin,1971,Four Sticks by Led Zeppelin,1,1,5,5
Friends,Led Zeppelin,1970,Friends by Led Zeppelin,1,1,2,2
Gallows Pole,Led Zeppelin,1970,Gallows Pole by Led Zeppelin,1,1,4,4
Going to California,Led Zeppelin,1971,Going to California by Led Zeppelin,1,1,42,42
Good Times Bad Times,Led Zeppelin,1969,Good Times Bad Times by Led Zeppelin,1,1,43,43
Hats Off To {roy} Harper,Led Zeppelin,1970,Hats Off To {roy} Harper by Led Zeppelin,1,1,8,8
Heartbreaker/living Loving Maid {she's Just A Woman},Led Zeppelin,1969,Heartbreaker/living Loving Maid {she's Just A Woman} by Led Zeppelin,1,1,35,35
Hey Hey What Can I Do,Led Zeppelin,1970,Hey Hey What Can I Do by Led Zeppelin,1,1,32,32
Hot Dog,Led Zeppelin,1979,Hot Dog by Led Zeppelin,1,1,4,4
Houses of the Holy,Led Zeppelin,1975,Houses of the Holy by Led Zeppelin,1,1,45,45
How Many More Times,Led Zeppelin,1969,How Many More Times by Led Zeppelin,1,1,2,2
I Can't Quit You Baby,Led Zeppelin,1969,I Can't Quit You Baby by Led Zeppelin,1,1,1,1
Immigrant Song,Led Zeppelin,1970,Immigrant Song by Led Zeppelin,1,1,87,87
In My Time of Dying,Led Zeppelin,1975,In My Time of Dying by Led Zeppelin,1,1,2,2
In the Evening,Led Zeppelin,1979,In the Evening by Led Zeppelin,1,1,11,11
In the Light,Led Zeppelin,1975,In the Light by Led Zeppelin,1,1,4,4
Kashmir,Led Zeppelin,1975,Kashmir by Led Zeppelin,1,1,64,64
Living Loving Maid (She's Just a Woman),Led Zeppelin,1969,Living Loving Maid (She's Just a Woman) by Led Zeppelin,1,1,7,7
Misty Mountain Hop,Led Zeppelin,1971,Misty Mountain Hop by Led Zeppelin,1,1,31,31
Moby Dick,Led Zeppelin,1969,Moby Dick by Led Zeppelin,1,1,5,5
NIGHT FLIGHT,Led Zeppelin,1975,NIGHT FLIGHT by Led Zeppelin,1,1,1,1
No Quarter,Led Zeppelin,1973,No Quarter by Led Zeppelin,1,1,3,3
Nobody's Fault But Mine,Led Zeppelin,,Nobody's Fault But Mine by Led Zeppelin,1,0,10,0
Out On The Tiles,Led Zeppelin,1970,Out On The Tiles by Led Zeppelin,1,1,6,6
Over the Hills and Far Away,Led Zeppelin,1973,Over the Hills and Far Away by Led Zeppelin,1,1,94,94
Ramble On,Led Zeppelin,1969,Ramble On by Led Zeppelin,1,1,90,90
Rock and Roll,Led Zeppelin,1971,Rock and Roll by Led Zeppelin,1,1,92,92
Royal Orleans,Led Zeppelin,1976,Royal Orleans by Led Zeppelin,1,1,2,2
Since I've Been Loving You,Led Zeppelin,1970,Since I've Been Loving You by Led Zeppelin,1,1,11,11
South Bound Saurez,Led Zeppelin,1979,South Bound Saurez by Led Zeppelin,1,1,1,1
Stairway to Heaven,Led Zeppelin,1971,Stairway to Heaven by Led Zeppelin,1,1,79,79
TANGERINE,Led Zeppelin,1970,TANGERINE by Led Zeppelin,1,1,1,1
Ten Years Gone,Led Zeppelin,1975,Ten Years Gone by Led Zeppelin,1,1,5,5
Thank You,Led Zeppelin,1969,Thank You by Led Zeppelin,1,1,8,8
That's the Way,Led Zeppelin,1970,That's the Way by Led Zeppelin,1,1,1,1
The Battle Of Evermore,Led Zeppelin,1971,The Battle Of Evermore by Led Zeppelin,1,1,11,11
The Crunge,Led Zeppelin,1973,The Crunge by Led Zeppelin,1,1,1,1
The Lemon Song,Led Zeppelin,1969,The Lemon Song by Led Zeppelin,1,1,3,3
The Ocean,Led Zeppelin,1973,The Ocean by Led Zeppelin,1,1,54,54
The Rain Song,Led Zeppelin,1973,The Rain Song by Led Zeppelin,1,1,3,3
The Rover,Led Zeppelin,1975,The Rover by Led Zeppelin,1,1,2,2
The Song Remains the Same,Led Zeppelin,1973,The Song Remains the Same by Led Zeppelin,1,1,2,2
THE WANTON SONG,Led Zeppelin,1975,THE WANTON SONG by Led Zeppelin,1,1,1,1
Trampled Under Foot,Led Zeppelin,1975,Trampled Under Foot by Led Zeppelin,1,1,35,35
Traveling Riverside Blues,Led Zeppelin,1982,Traveling Riverside Blues by Led Zeppelin,1,1,9,9
What Is and What Should Never Be,Led Zeppelin,1969,What Is and What Should Never Be by Led Zeppelin,1,1,40,40
When The Levee Breaks,Led Zeppelin,1971,When The Levee Breaks by Led Zeppelin,1,1,17,17
Whole Lotta Love,Led Zeppelin,1969,Whole Lotta Love by Led Zeppelin,1,1,72,72
You Shook Me,Led Zeppelin,1969,You Shook Me by Led Zeppelin,1,1,3,3
Your Time Is Gonna Come,Led Zeppelin,1969,Your Time Is Gonna Come by Led Zeppelin,1,1,10,10
Do You Know What I Mean,Lee Michaels,,Do You Know What I Mean by Lee Michaels,1,0,3,0
Woman,Legs Diamond,,Woman by Legs Diamond,1,0,2,0
American Woman,Lenny Kravitz,1998,American Woman by Lenny Kravitz,1,1,4,4
Are You Gonna Go My Way,Lenny Kravitz,1993,Are You Gonna Go My Way by Lenny Kravitz,1,1,11,11
Fly Away,Lenny Kravitz,1998,Fly Away by Lenny Kravitz,1,1,10,10
Stranger In A Strange Land,Leon Russell,,Stranger In A Strange Land by Leon Russell,1,0,1,0
My Own Worst Enemy,Lit,1999,My Own Worst Enemy by Lit,1,1,2,2
Close My Eyes Forever,Lita Ford,1988,Close My Eyes Forever by Lita Ford,1,1,5,5
Kiss Me Deadly,Lita Ford,1988,Kiss Me Deadly by Lita Ford,1,1,1,1
All That You Dream,Little Feat,,All That You Dream by Little Feat,1,0,1,0
Dixie Chicken,Little Feat,1973,Dixie Chicken by Little Feat,1,1,20,20
I Alone,Live,,I Alone by Live,1,0,3,0
Lightning Crashes,Live,1994,Lightning Crashes by Live,1,1,4,4
Cult Of Personality,Living Colour,1988,Cult Of Personality by Living Colour,1,1,12,12
Bound for the Floor,Local H,1996,Bound for the Floor by Local H,1,1,2,2
Conquistador,London Symphony Orchestra,1967,Conquistador by London Symphony Orchestra,1,1,2,2
Midnight Blue,Lou Gramm,,Midnight Blue by Lou Gramm,1,0,1,0
Sweet Jane (Live),Lou Reed,1970,Sweet Jane (Live) by Lou Reed,1,1,1,1
Walk On The Wild Side,Lou Reed,1972,Walk On The Wild Side by Lou Reed,1,1,31,31
Lovin' Every Minute of It,Loverboy,,Lovin' Every Minute of It by Loverboy,1,0,8,0
The Kid Is Hot Tonite,Loverboy,1980,The Kid Is Hot Tonite by Loverboy,1,1,2,2
Turn Me Loose,Loverboy,1980,Turn Me Loose by Loverboy,1,1,16,16
Working for the Weekend,Loverboy,1981,Working for the Weekend by Loverboy,1,1,27,27
Wicked Sensation,Lynch Mob,,Wicked Sensation by Lynch Mob,1,0,1,0
Call Me the Breeze,Lynyrd Skynyrd,1974,Call Me the Breeze by Lynyrd Skynyrd,1,1,25,25
Dixie/Sweet Home Alabama,Lynyrd Skynyrd,1974,Dixie/Sweet Home Alabama by Lynyrd Skynyrd,1,1,33,33
Don't Ask Me No Questions,Lynyrd Skynyrd,1974,Don't Ask Me No Questions by Lynyrd Skynyrd,1,1,14,14
Free Bird,Lynyrd Skynyrd,1973,Free Bird by Lynyrd Skynyrd,1,1,75,75
Gimme Back My Bullets,Lynyrd Skynyrd,1976,Gimme Back My Bullets by Lynyrd Skynyrd,1,1,4,4
Gimme Three Steps,Lynyrd Skynyrd,1973,Gimme Three Steps by Lynyrd Skynyrd,1,1,47,47
I Know a Little,Lynyrd Skynyrd,1977,I Know a Little by Lynyrd Skynyrd,1,1,4,4
Saturday Night Special,Lynyrd Skynyrd,1975,Saturday Night Special by Lynyrd Skynyrd,1,1,21,21
Simple Man,Lynyrd Skynyrd,1973,Simple Man by Lynyrd Skynyrd,1,1,47,47
Sweet Home Alabama,Lynyrd Skynyrd,1974,Sweet Home Alabama by Lynyrd Skynyrd,1,1,95,95
That Smell,Lynyrd Skynyrd,1977,That Smell by Lynyrd Skynyrd,1,1,24,24
The Ballad Of Curtis Loew,Lynyrd Skynyrd,1974,The Ballad Of Curtis Loew by Lynyrd Skynyrd,1,1,8,8
Tuesday's Gone,Lynyrd Skynyrd,1973,Tuesday's Gone by Lynyrd Skynyrd,1,1,31,31
What's Your Name,Lynyrd Skynyrd,1977,What's Your Name by Lynyrd Skynyrd,1,1,64,64
You Got That Right,Lynyrd Skynyrd,,You Got That Right by Lynyrd Skynyrd,1,0,13,0
Merry-Go-Round,Mama's Pride,,Merry-Go-Round by Mama's Pride,1,0,1,0
Blinded by the Light,Manfred Mann,1976,Blinded by the Light by Manfred Mann,1,1,114,114
Do Wah Diddy Diddy,Manfred Mann,1964,Do Wah Diddy Diddy by Manfred Mann,1,1,2,2
Sex and Candy,Marcy Playground,,Sex and Candy by Marcy Playground,1,0,2,0
Paradise By The Dashboard Light,Meat Loaf,1977,Paradise By The Dashboard Light by Meat Loaf,1,1,10,10
TWO OUT OF THREE AIN'T BAD,Meat Loaf,1977,TWO OUT OF THREE AIN'T BAD by Meat Loaf,1,1,1,1
You Took The Words Right Out Of My Mouth,Meat Loaf,1977,You Took The Words Right Out Of My Mouth by Meat Loaf,1,1,9,9
I'm the Only One,Melissa Etheridge,1993,I'm the Only One by Melissa Etheridge,1,1,1,1
Down Under,Men At Work,1982,Down Under by Men At Work,1,1,5,5
Who Can It Be Now?,Men At Work,1982,Who Can It Be Now? by Men At Work,1,1,6,6
Breadfan,Metallica,1998,Breadfan by Metallica,1,1,2,2
Enter Sandman,Metallica,1991,Enter Sandman by Metallica,1,1,34,34
Fade To Black,Metallica,1984,Fade To Black by Metallica,1,1,4,4
For Whom The Bell Tolls,Metallica,1984,For Whom The Bell Tolls by Metallica,1,1,1,1
Fuel,Metallica,1997,Fuel by Metallica,1,1,2,2
Harvester Of Sorrow,Metallica,1988,Harvester Of Sorrow by Metallica,1,1,1,1
Hero of the Day,Metallica,1996,Hero of the Day by Metallica,1,1,1,1
Lords of Summer (First Pass Version),Metallica,,Lords of Summer (First Pass Version) by Metallica,1,0,1,0
Master of Puppets,Metallica,1986,Master of Puppets by Metallica,1,1,2,2
No Leaf Clover,Metallica,1999,No Leaf Clover by Metallica,1,1,1,1
Nothing Else Matters,Metallica,1991,Nothing Else Matters by Metallica,1,1,10,10
One,Metallica,1988,One by Metallica,1,1,1,1
Sad But True,Metallica,1991,Sad But True by Metallica,1,1,4,4
Seek & Destroy,Metallica,1983,Seek & Destroy by Metallica,1,1,1,1
The Memory Remains,Metallica,1997,The Memory Remains by Metallica,1,1,3,3
The Unforgiven,Metallica,1991,The Unforgiven by Metallica,1,1,19,19
Turn The Page,Metallica,,Turn The Page by Metallica,1,0,13,0
Until It Sleeps,Metallica,1996,Until It Sleeps by Metallica,1,1,2,2
Wherever I May Roam,Metallica,1991,Wherever I May Roam by Metallica,1,1,3,3
Whiskey In The Jar,Metallica,,Whiskey In The Jar by Metallica,1,0,1,0
Cruisin',Michael Nesmith,,Cruisin' by Michael Nesmith,1,0,1,0
Drinkin' in the Driveway,Michael Stanley,,Drinkin' in the Driveway by Michael Stanley,1,0,1,0
He Can't Love You,Michael Stanley,,He Can't Love You by Michael Stanley,1,0,1,0
Let's Get the Show on the Road,Michael Stanley,,Let's Get the Show on the Road by Michael Stanley,1,0,1,0
My Town,Michael Stanley,,My Town by Michael Stanley,1,0,1,0
Rosewood Bitters,Michael Stanley,,Rosewood Bitters by Michael Stanley,1,0,1,0
Strike up the Band,Michael Stanley,,Strike up the Band by Michael Stanley,1,0,1,0
Beds Are Burning,Midnight Oil,1988,Beds Are Burning by Midnight Oil,1,1,6,6
Devil With the Blue Dress On,Mitch Ryder,1966,Devil With the Blue Dress On by Mitch Ryder,1,1,1,1
I Melt With You,Modern English,1982,I Melt With You by Modern English,1,1,15,15
Sugar Boogie,Molkie Cole,,Sugar Boogie by Molkie Cole,1,0,1,0
Dreams I'll Never See,Molly Hatchet,,Dreams I'll Never See by Molly Hatchet,1,0,3,0
Flirtin' With Disaster,Molly Hatchet,,Flirtin' With Disaster by Molly Hatchet,1,0,35,0
What Do All The People Know,Monroes,,What Do All The People Know by Monroes,1,0,2,0
Bad Motor Scooter,Montrose,1973,Bad Motor Scooter by Montrose,1,1,30,30
Rock Candy,Montrose,1973,Rock Candy by Montrose,1,1,19,19
Space Station #5,Montrose,1973,Space Station #5 by Montrose,1,1,1,1
Don't Go Away Mad (Just Go Away),Motley Crue,1989,Don't Go Away Mad (Just Go Away) by Motley Crue,1,1,4,4
Dr. Feelgood,Motley Crue,1989,Dr. Feelgood by Motley Crue,1,1,17,17
"Girls, Girls, Girls",Motley Crue,1987,"Girls, Girls, Girls by Motley Crue",1,1,25,25
Home Sweet Home,Motley Crue,1985,Home Sweet Home by Motley Crue,1,1,29,29
Kickstart My Heart,Motley Crue,1989,Kickstart My Heart by Motley Crue,1,1,25,25
Looks That Kill,Motley Crue,,Looks That Kill by Motley Crue,1,0,8,0
Piece of Your Action,Motley Crue,,Piece of Your Action by Motley Crue,1,0,1,0
Same Ol' Situation,Motley Crue,1989,Same Ol' Situation by Motley Crue,1,1,4,4
Shout at the Devil,Motley Crue,1983,Shout at the Devil by Motley Crue,1,1,4,4
Smokin' in the Boys Room,Motley Crue,,Smokin' in the Boys Room by Motley Crue,1,0,28,0
Wild Side,Motley Crue,1987,Wild Side by Motley Crue,1,1,11,11
All the Young Dudes,Mott the Hoople,1972,All the Young Dudes by Mott the Hoople,1,1,12,12
Mississippi Queen,Mountain,1970,Mississippi Queen by Mountain,1,1,25,25
Moon Rider,Moxy,,Moon Rider by Moxy,1,0,1,0
Addicted To That Rush,Mr. Big,,Addicted To That Rush by Mr. Big,1,0,1,0
In the Summertime,Mungo Jerry,1970,In the Summertime by Mungo Jerry,1,1,2,2
Hair Of The Dog,Nazareth,1975,Hair Of The Dog by Nazareth,1,1,53,53
Love Hurts,Nazareth,1976,Love Hurts by Nazareth,1,1,26,26
Cinnamon Girl,Neil Young,1969,Cinnamon Girl by Neil Young,1,1,29,29
Down by the River,Neil Young,1969,Down by the River by Neil Young,1,1,2,2
Everybody Knows This Is Nowhere,Neil Young,,Everybody Knows This Is Nowhere by Neil Young,1,0,1,0
Heart of Gold,Neil Young,1972,Heart of Gold by Neil Young,1,1,17,17
"Hey Hey, My My",Neil Young,1978,"Hey Hey, My My by Neil Young",1,1,14,14
Like a Hurricane,Neil Young,1977,Like a Hurricane by Neil Young,1,1,2,2
"My My, Hey Hey",Neil Young,1979,"My My, Hey Hey by Neil Young",1,1,3,3
Old Man,Neil Young,1972,Old Man by Neil Young,1,1,13,13
Powderfinger,Neil Young,1978,Powderfinger by Neil Young,1,1,2,2
Rockin' In the Free World,Neil Young,1989,Rockin' In the Free World by Neil Young,1,1,38,38
Southern Man,Neil Young,1970,Southern Man by Neil Young,1,1,16,16
Sugar Mountain,Neil Young,1969,Sugar Mountain by Neil Young,1,1,2,2
The Needle and the Damage Done,Neil Young,1972,The Needle and the Damage Done by Neil Young,1,1,4,4
When You Dance I Can Really Love,Neil Young,,When You Dance I Can Really Love by Neil Young,1,0,1,0
Show Me The Way,Nektar,,Show Me The Way by Nektar,1,0,1,0
How You Remind Me,Nickelback,2001,How You Remind Me by Nickelback,1,1,4,4
Photograph,Nickelback,2005,Photograph by Nickelback,1,1,1,1
Rockstar,Nickelback,2005,Rockstar by Nickelback,1,1,10,10
Someday (Single Mix),Nickelback,,Someday (Single Mix) by Nickelback,1,0,1,0
(You Can Still) Rock in America,Night Ranger,1983,(You Can Still) Rock in America by Night Ranger,1,1,3,3
Don't Tell Me You Love Me,Night Ranger,1982,Don't Tell Me You Love Me by Night Ranger,1,1,2,2
Rumors In The Air,Night Ranger,,Rumors In The Air by Night Ranger,1,0,1,0
Sister Christian,Night Ranger,1983,Sister Christian by Night Ranger,1,1,32,32
When You Close Your Eyes,Night Ranger,1983,When You Close Your Eyes by Night Ranger,1,1,1,1
About a Girl,Nirvana,1989,About a Girl by Nirvana,1,1,2,2
All Apologies,Nirvana,1993,All Apologies by Nirvana,1,1,15,15
Come As You Are,Nirvana,1991,Come As You Are by Nirvana,1,1,39,39
Dumb,Nirvana,1993,Dumb by Nirvana,1,1,1,1
In Bloom,Nirvana,1991,In Bloom by Nirvana,1,1,11,11
Lithium,Nirvana,1991,Lithium by Nirvana,1,1,10,10
On a Plain,Nirvana,1991,On a Plain by Nirvana,1,1,2,2
Polly,Nirvana,1991,Polly by Nirvana,1,1,2,2
Smells Like Teen Spirit,Nirvana,1991,Smells Like Teen Spirit by Nirvana,1,1,24,24
The Man Who Sold the World,Nirvana,,The Man Who Sold the World by Nirvana,1,0,4,0
Spirit In The Sky,Norman Greenbaum,1969,Spirit In The Sky by Norman Greenbaum,1,1,31,31
This Is The Time,Nothing More,,This Is The Time by Nothing More,1,0,3,0
Wonderwall,Oasis,1995,Wonderwall by Oasis,1,1,3,3
STILL THE ONE,Orleans,1976,STILL THE ONE by Orleans,1,1,1,1
(Sittin' On) The Dock of the Bay,Otis Redding,1968,(Sittin' On) The Dock of the Bay by Otis Redding,1,1,5,5
If You Wanna Get to Heaven,Ozark Mountain Daredevils,1973,If You Wanna Get to Heaven by Ozark Mountain Daredevils,1,1,2,2
Jackie Blue,Ozark Mountain Daredevils,1975,Jackie Blue by Ozark Mountain Daredevils,1,1,2,2
Bark At The Moon,Ozzy Osbourne,1983,Bark At The Moon by Ozzy Osbourne,1,1,6,6
Changes,Ozzy Osbourne,,Changes by Ozzy Osbourne,1,0,1,0
Crazy Train,Ozzy Osbourne,1980,Crazy Train by Ozzy Osbourne,1,1,79,79
Diary Of A Madman,Ozzy Osbourne,1981,Diary Of A Madman by Ozzy Osbourne,1,1,1,1
Flying High Again,Ozzy Osbourne,1981,Flying High Again by Ozzy Osbourne,1,1,44,44
Goodbye To Romance,Ozzy Osbourne,1980,Goodbye To Romance by Ozzy Osbourne,1,1,2,2
I Don't Know,Ozzy Osbourne,1980,I Don't Know by Ozzy Osbourne,1,1,8,8
"Mama, I'm Coming Home",Ozzy Osbourne,1991,"Mama, I'm Coming Home by Ozzy Osbourne",1,1,31,31
Mr. Crowley,Ozzy Osbourne,1980,Mr. Crowley by Ozzy Osbourne,1,1,5,5
Mr. Tinkertrain,Ozzy Osbourne,1992,Mr. Tinkertrain by Ozzy Osbourne,1,1,1,1
No More Tears,Ozzy Osbourne,1991,No More Tears by Ozzy Osbourne,1,1,8,8
Over the Mountain,Ozzy Osbourne,1981,Over the Mountain by Ozzy Osbourne,1,1,16,16
Perry Mason,Ozzy Osbourne,1995,Perry Mason by Ozzy Osbourne,1,1,2,2
Purple Haze,Ozzy Osbourne,,Purple Haze by Ozzy Osbourne,1,0,1,0
Road To Nowhere,Ozzy Osbourne,1991,Road To Nowhere by Ozzy Osbourne,1,1,1,1
Rocky Mountain Way,Ozzy Osbourne,,Rocky Mountain Way by Ozzy Osbourne,1,0,1,0
See You on the Other Side,Ozzy Osbourne,,See You on the Other Side by Ozzy Osbourne,1,0,3,0
Shot in the Dark,Ozzy Osbourne,1986,Shot in the Dark by Ozzy Osbourne,1,1,10,10
Time After Time,Ozzy Osbourne,,Time After Time by Ozzy Osbourne,1,0,2,0
Fire and Ice,Pat Benatar,,Fire and Ice by Pat Benatar,1,0,1,0
Heartbreaker,Pat Benatar,1979,Heartbreaker by Pat Benatar,1,1,80,80
Hell Is for Children,Pat Benatar,1980,Hell Is for Children by Pat Benatar,1,1,1,1
Hit Me With Your Best Shot,Pat Benatar,1980,Hit Me With Your Best Shot by Pat Benatar,1,1,62,62
Invincible,Pat Benatar,1985,Invincible by Pat Benatar,1,1,1,1
Love Is A Battlefield,Pat Benatar,1983,Love Is A Battlefield by Pat Benatar,1,1,28,28
Shadows Of The Night,Pat Benatar,1982,Shadows Of The Night by Pat Benatar,1,1,8,8
Treat Me Right,Pat Benatar,,Treat Me Right by Pat Benatar,1,0,1,0
We Belong,Pat Benatar,1984,We Belong by Pat Benatar,1,1,14,14
You Better Run,Pat Benatar,1980,You Better Run by Pat Benatar,1,1,1,1
Boom Boom/,Pat Travers,,Boom Boom/ by Pat Travers,1,0,1,0
Snortin Whiskey,Pat Travers,,Snortin Whiskey by Pat Travers,1,0,1,0
The Back Seat Of My Car,Paul McCartney & Linda McCartney,1971,The Back Seat Of My Car by Paul McCartney & Linda McCartney,1,1,1,1
Too Many People,Paul McCartney & Linda McCartney,1971,Too Many People by Paul McCartney & Linda McCartney,1,1,1,1
Uncle Albert/Admiral Halsey,Paul McCartney & Linda McCartney,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Linda McCartney,1,1,2,2
Another Day,Paul McCartney & Wings,,Another Day by Paul McCartney & Wings,1,0,2,0
Band on the Run,Paul McCartney & Wings,1973,Band on the Run by Paul McCartney & Wings,1,1,50,50
Birthday (Live),Paul McCartney & Wings,,Birthday (Live) by Paul McCartney & Wings,1,0,1,0
Coming Up,Paul McCartney & Wings,1980,Coming Up by Paul McCartney & Wings,1,1,3,3
Day Tripper,Paul McCartney & Wings,,Day Tripper by Paul McCartney & Wings,1,0,1,0
Helen Wheels,Paul McCartney & Wings,1973,Helen Wheels by Paul McCartney & Wings,1,1,4,4
Hello Goodbye,Paul McCartney & Wings,,Hello Goodbye by Paul McCartney & Wings,1,0,1,0
Helter Skelter,Paul McCartney & Wings,,Helter Skelter by Paul McCartney & Wings,1,0,1,0
Hey Jude (Live),Paul McCartney & Wings,,Hey Jude (Live) by Paul McCartney & Wings,1,0,1,0
Hi Hi Hi,Paul McCartney & Wings,,Hi Hi Hi by Paul McCartney & Wings,1,0,6,0
Jet,Paul McCartney & Wings,1973,Jet by Paul McCartney & Wings,1,1,12,12
Junior's Farm,Paul McCartney & Wings,1974,Junior's Farm by Paul McCartney & Wings,1,1,3,3
Let 'Em In,Paul McCartney & Wings,,Let 'Em In by Paul McCartney & Wings,1,0,1,0
Let Me Roll It,Paul McCartney & Wings,1973,Let Me Roll It by Paul McCartney & Wings,1,1,1,1
Listen To What The Man Says,Paul McCartney & Wings,,Listen To What The Man Says by Paul McCartney & Wings,1,0,3,0
Live and Let Die,Paul McCartney & Wings,1973,Live and Let Die by Paul McCartney & Wings,1,1,85,85
Maybe I'm Amazed,Paul McCartney & Wings,1970,Maybe I'm Amazed by Paul McCartney & Wings,1,1,53,53
My Love,Paul McCartney & Wings,1973,My Love by Paul McCartney & Wings,1,1,1,1
Nineteen Hundred and Eighty Five,Paul McCartney & Wings,,Nineteen Hundred and Eighty Five by Paul McCartney & Wings,1,0,4,0
Silly Love Songs,Paul McCartney & Wings,1976,Silly Love Songs by Paul McCartney & Wings,1,1,3,3
Uncle Albert/Admiral Halsey,Paul McCartney & Wings,1971,Uncle Albert/Admiral Halsey by Paul McCartney & Wings,1,1,4,4
Venus and Mars/Rock Show,Paul McCartney & Wings,1975,Venus and Mars/Rock Show by Paul McCartney & Wings,1,1,2,2
With a Little Luck,Paul McCartney & Wings,,With a Little Luck by Paul McCartney & Wings,1,0,2,0
50 Ways to Leave Your Lover,Paul Simon,1975,50 Ways to Leave Your Lover by Paul Simon,1,1,1,1
Kodachrome,Paul Simon,1973,Kodachrome by Paul Simon,1,1,2,2
Loves Me Like a Rock,Paul Simon,1973,Loves Me Like a Rock by Paul Simon,1,1,1,1
Me And Julio Down By The Schoolyard,Paul Simon,1972,Me And Julio Down By The Schoolyard by Paul Simon,1,1,6,6
You Can Call Me Al,Paul Simon,1986,You Can Call Me Al by Paul Simon,1,1,1,1
Alive,Pearl Jam,1991,Alive by Pearl Jam,1,1,16,16
Better Man,Pearl Jam,1994,Better Man by Pearl Jam,1,1,17,17
Black,Pearl Jam,1991,Black by Pearl Jam,1,1,11,11
Daughter,Pearl Jam,1993,Daughter by Pearl Jam,1,1,10,10
Dissident,Pearl Jam,1994,Dissident by Pearl Jam,1,1,2,2
Elderly Woman Behind the Counter in a Small Town,Pearl Jam,1993,Elderly Woman Behind the Counter in a Small Town by Pearl Jam,1,1,2,2
Even Flow,Pearl Jam,1991,Even Flow by Pearl Jam,1,1,16,16
Jeremy,Pearl Jam,1991,Jeremy by Pearl Jam,1,1,16,16
Last Kiss,Pearl Jam,1999,Last Kiss by Pearl Jam,1,1,3,3
Lightning Bolt,Pearl Jam,2013,Lightning Bolt by Pearl Jam,1,1,4,4
Not for You,Pearl Jam,1994,Not for You by Pearl Jam,1,1,1,1
Sirens,Pearl Jam,2013,Sirens by Pearl Jam,1,1,3,3
Yellow Ledbetter,Pearl Jam,1992,Yellow Ledbetter by Pearl Jam,1,1,2,2
GONNA GET YA,Pete Townshend,,GONNA GET YA by Pete Townshend,1,0,1,0
Let My Love Open the Door,Pete Townshend,1980,Let My Love Open the Door by Pete Townshend,1,1,38,38
Rough Boys,Pete Townshend,1980,Rough Boys by Pete Townshend,1,1,2,2
"Baby, I Love Your Way",Peter Frampton,1975,"Baby, I Love Your Way by Peter Frampton",1,1,41,41
Do You Feel Like We Do,Peter Frampton,1973,Do You Feel Like We Do by Peter Frampton,1,1,37,37
Show Me the Way,Peter Frampton,1975,Show Me the Way by Peter Frampton,1,1,30,30
Something's Happening/,Peter Frampton,,Something's Happening/ by Peter Frampton,1,0,1,0
Big Time,Peter Gabriel,1986,Big Time by Peter Gabriel,1,1,24,24
Games Without Frontiers,Peter Gabriel,1980,Games Without Frontiers by Peter Gabriel,1,1,3,3
In Your Eyes,Peter Gabriel,1986,In Your Eyes by Peter Gabriel,1,1,28,28
Red Rain,Peter Gabriel,1986,Red Rain by Peter Gabriel,1,1,8,8
SHOCK THE MONKEY,Peter Gabriel,1982,SHOCK THE MONKEY by Peter Gabriel,1,1,2,2
