person,dept,eow,cause
Police Officer Nicholas R. DeMutiis,"New York City Police Department, NY","EOW: Tuesday, January 25, 1994",Cause of Death: Vehicle pursuit
Deputy Sheriff Ricky A. Yates,"Harris County Sheriff's Office, TX","EOW: Tuesday, January 25, 1994",Cause of Death: Motorcycle accident
Deputy Sheriff John Lester Beck,"Rowan County Sheriff's Office, NC","EOW: Thursday, January 27, 1994",Cause of Death: Heart attack
Deputy Sheriff Ronald L. Coen,"Franklin County Sheriff's Office, OH","EOW: Thursday, January 27, 1994",Cause of Death: Automobile accident
Agent Daniel Allen Ross,"Texas Judicial District Narcotics Task Force, TX","EOW: Thursday, January 27, 1994",Cause of Death: Automobile accident
Police Officer Guy P. Gaddis,"Houston Police Department, TX","EOW: Monday, January 31, 1994",Cause of Death: Gunfire
Chief of Police Robert J. Mortell,"Paxton Police Department, MA","EOW: Tuesday, February 1, 1994",Cause of Death: Gunfire
Sergeant Steven M. Shaw,"Providence Police Department, RI","EOW: Thursday, February 3, 1994",Cause of Death: Gunfire
Detective Deputy Sheriff Robin Ann Arnold,"Manistee County Sheriff's Department, MI","EOW: Friday, February 4, 1994",Cause of Death: Automobile accident
Police Officer Berisford Wayne Anderson,"Boston Police Department, MA","EOW: Saturday, February 5, 1994",Cause of Death: Gunfire
"Deputy William J. ""Bill"" Urban","Comal County Sheriff's Office, TX","EOW: Monday, February 7, 1994",Cause of Death: Heart attack
Captain Michael Wayne Tracy,"Palos Verdes Estates Police Department, CA","EOW: Monday, February 14, 1994",Cause of Death: Gunfire
Sergeant Vernon T. Vanderpool,"Palos Verdes Estates Police Department, CA","EOW: Monday, February 14, 1994",Cause of Death: Gunfire
"Patrolman David C. Douglass, Sr.","Lower Township Police Department, NJ","EOW: Friday, February 18, 1994",Cause of Death: Gunfire
Police Officer Christy Lynn Hamilton,"Los Angeles Police Department, CA","EOW: Tuesday, February 22, 1994",Cause of Death: Gunfire
Deputy Sheriff Michael Scott Welcker,"Salt Lake County Sheriff's Office, UT","EOW: Thursday, February 24, 1994",Cause of Death: Gunfire
Officer George Dawson,"Atlanta Police Department, GA","EOW: Friday, February 25, 1994",Cause of Death: Motorcycle accident
Sergeant John Edward Holbrook,"Clarkston Police Department, GA","EOW: Friday, February 25, 1994",Cause of Death: Automobile accident
Officer Kenneth Wallace,"Hampton Police Department, VA","EOW: Friday, February 25, 1994",Cause of Death: Gunfire
Sergeant John Louis Bagileo,"Prince George's County Police Department, MD","EOW: Monday, February 28, 1994",Cause of Death: Automobile accident
Officer Wesley L. Silas,"Florida Department of Agriculture and Consumer Services - Office of Agricultural Law Enforcement, FL","EOW: Tuesday, March 1, 1994",Cause of Death: Struck by vehicle
Major Cecil Spencer Guerry,"Georgetown Police Department, SC","EOW: Wednesday, March 9, 1994",Cause of Death: Gunfire
Sergeant Patrick Joseph Riley,"Maricopa County Sheriff's Office, AZ","EOW: Friday, March 11, 1994",Cause of Death: Struck by vehicle
Police Officer Willie Samuel Smith,"Savannah Police Department, GA","EOW: Friday, March 11, 1994",Cause of Death: Vehicular assault
Deputy Sheriff Terry Francis Hanson,"Rice County Sheriff's Department, MN","EOW: Friday, March 11, 1994",Cause of Death: Heart attack
Police Officer Sean A. McDonald,"New York City Police Department, NY","EOW: Tuesday, March 15, 1994",Cause of Death: Gunfire
Deputy Sheriff Billy Keith Roberts,"Hardin County Sheriff's Department, TX","EOW: Friday, March 18, 1994",Cause of Death: Automobile accident
"Deputy William James ""Bill"" Marie","Lake County Sheriff's Office, FL","EOW: Saturday, March 19, 1994",Cause of Death: Aircraft accident
Police Officer Benjamin Louis Short,"Detroit Police Department, MI","EOW: Friday, March 25, 1994",Cause of Death: Gunfire
Police Officer Steven A. Hodge,"Virgin Islands Police Department, VI","EOW: Sunday, March 27, 1994",Cause of Death: Gunfire
Special Agent David Elliott Sullivan,"United States Department of the Treasury - Bureau of Alcohol, Tobacco and Firearms, US","EOW: Thursday, March 31, 1994",Cause of Death: Automobile accident
Officer Jesse Don Moorman,"Fort Worth Police Department, TX","EOW: Thursday, March 31, 1994",Cause of Death: Heart attack
Group Supervisor Arnold Castilleja Garcia,"Los Angeles County Probation Department, CA","EOW: Tuesday, April 5, 1994",Cause of Death: Assault
Deputy Craig Allen Dorwart,"Morgan County Sheriff's Department, IL","EOW: Tuesday, April 5, 1994",Cause of Death: Automobile accident
Corporal James Joseph Silva,"Shreveport Police Department, LA","EOW: Sunday, April 10, 1994",Cause of Death: Vehicular assault
Acting Chief Isaac Benjamin Martinez,"San Ildefonso Pueblo Tribal Police, TR","EOW: Sunday, April 10, 1994",Cause of Death: Gunfire
Officer Beth Haynes,"Boulder Police Department, CO","EOW: Saturday, April 16, 1994",Cause of Death: Gunfire
"Deputy Sheriff Melvin P. Brown, Jr.","Leflore County Sheriff's Department, MS","EOW: Monday, April 18, 1994",Cause of Death: Gunfire
Officer Michael Tarone Hester,"Lilburn Police Department, GA","EOW: Tuesday, April 19, 1994",Cause of Death: Gunfire
Trooper Randall Lamar Hester,"South Carolina Highway Patrol, SC","EOW: Wednesday, April 20, 1994",Cause of Death: Vehicle pursuit
Police Officer Jose Perez,"New York City Police Department, NY","EOW: Wednesday, April 27, 1994",Cause of Death: Automobile accident
Captain James Lutz,"Waukesha Police Department, WI","EOW: Thursday, April 28, 1994",Cause of Death: Gunfire
Police Officer Fred G. Lampe,"Jacksonville Sheriff's Office, FL","EOW: Monday, May 2, 1994",Cause of Death: Heart attack
Officer Johnny Williams,"Grambling Police Department, LA","EOW: Monday, May 2, 1994",Cause of Death: Automobile accident
Police Officer Larry Douglas Bland,"Newport News Police Department, VA","EOW: Friday, May 13, 1994",Cause of Death: Gunfire
ALE Agent I Troy Douglas Carr,"North Carolina Alcohol Law Enforcement Division, NC","EOW: Saturday, May 14, 1994",Cause of Death: Gunfire
Reserve Officer Theodore Herman Brassinga,"Palo Alto Police Department, CA","EOW: Sunday, May 15, 1994",Cause of Death: Gunfire (Accidental)
Trooper Charles D. Warren,"Utah Highway Patrol, UT","EOW: Monday, May 16, 1994",Cause of Death: Gunfire
Investigator Ricky J. Parisian,"New York State Police, NY","EOW: Friday, May 20, 1994",Cause of Death: Gunfire
Deputy Sheriff Jeffrey Neil Sheets,"Marathon County Sheriff's Department, WI","EOW: Saturday, May 21, 1994",Cause of Death: Gunfire
Patrol Officer Thomas Christian Wilson,"Clinton Police Department, MS","EOW: Sunday, May 22, 1994",Cause of Death: Automobile accident
Auxiliary Trooper Phillip A. Mingione,"Connecticut State Police, CT","EOW: Wednesday, May 25, 1994",Cause of Death: Struck by vehicle
Police Officer Terry Jay Emerick,"Illinois Commerce Commission Police, IL","EOW: Wednesday, May 25, 1994",Cause of Death: Automobile accident
"Sergeant William Maldonado, III","San Antonio Independent School District Police Department, TX","EOW: Thursday, May 26, 1994",Cause of Death: Fall
Lieutenant William Sibrava,"Bernalillo County Sheriff's Department, NM","EOW: Friday, May 27, 1994",Cause of Death: Gunfire
Police Officer Daniel Duyst,"Grand Rapids Police Department, MI","EOW: Monday, May 30, 1994",Cause of Death: Electrocuted
Detective Antonio Martinez Terry,"Seattle Police Department, WA","EOW: Saturday, June 4, 1994",Cause of Death: Gunfire
Chief of Police Harold G. Locke,"Dothan Police Department, AL","EOW: Thursday, June 9, 1994",Cause of Death: Automobile accident
"Patrolman Daniel John Calabrese, Jr.","Winslow Township Police Department, NJ","EOW: Sunday, June 12, 1994",Cause of Death: Gunfire
Officer Gary Wayne Heath,"Greenville Police Department, AL","EOW: Tuesday, June 14, 1994",Cause of Death: Gunfire
Officer Kenneth E. Woodmore,"Inkster Police Department, MI","EOW: Friday, June 17, 1994",Cause of Death: Gunfire
Officer William E. Lehn,"Fresno Police Department, CA","EOW: Tuesday, June 21, 1994",Cause of Death: Vehicle pursuit
Officer Miguel T. Soto,"Oakland Police Department, CA","EOW: Wednesday, June 22, 1994",Cause of Death: Gunfire
Lieutenant Coy N. Smith,"Alabama Public Service Commission, AL","EOW: Tuesday, June 28, 1994",Cause of Death: Gunfire
Deputy Sheriff Len J. Rowell,"Pearl River County Sheriff's Department, MS","EOW: Tuesday, June 28, 1994",Cause of Death: Gunfire
Detective Sergeant Phillip D. Hochstetler,"Kosciusko County Sheriff's Department, IN","EOW: Wednesday, June 29, 1994",Cause of Death: Gunfire
Special Agent Richard E. Fass,"United States Department of Justice - Drug Enforcement Administration, US","EOW: Thursday, June 30, 1994",Cause of Death: Gunfire
Park Ranger Ryan Francis Weltman,"United States Department of the Interior - National Park Service, US","EOW: Sunday, July 3, 1994",Cause of Death: Drowned
Correction Officer Dennis Lee Stemen,"Ohio Department of Rehabilitation and Correction, OH","EOW: Tuesday, July 5, 1994",Cause of Death: Automobile accident
Officer Richard Alan Maxwell,"California Highway Patrol, CA","EOW: Monday, July 11, 1994",Cause of Death: Gunfire
Trooper Bryon S. Egelski,"Michigan State Police, MI","EOW: Monday, July 11, 1994",Cause of Death: Automobile accident
Lieutenant Michael J. Lutz,"Muskingum County Sheriff's Department, OH","EOW: Tuesday, July 12, 1994",Cause of Death: Gunfire
"Patrolman William Lee Overton, Jr.","Charleston Police Department, WV","EOW: Wednesday, July 13, 1994",Cause of Death: Automobile accident
Officer Bruce J. Van Popering,"East Grand Rapids Department of Public Safety, MI","EOW: Sunday, July 17, 1994",Cause of Death: Struck by vehicle
Sergeant Richard Lewis Willson,"Mineral County Sheriff's Office, NV","EOW: Monday, July 25, 1994",Cause of Death: Heart attack
Officer Jackie Lamont Daniel,"North Carolina Division of Motor Vehicles Enforcement Section, NC","EOW: Thursday, July 28, 1994",Cause of Death: Automobile accident
Sergeant Doyle Reed Thorne,"Utah Highway Patrol, UT","EOW: Saturday, July 30, 1994",Cause of Death: Aircraft accident
Patrolman Paul Matthews Pytel,"San Antonio Park Police Department, TX","EOW: Sunday, July 31, 1994",Cause of Death: Drowned
Officer Craig Michael Hanking,"Arlington Police Department, TX","EOW: Wednesday, August 3, 1994",Cause of Death: Automobile accident
Police Officer Frankie Maldonado-Delgado,"Puerto Rico Police Department, PR","EOW: Sunday, August 7, 1994",Cause of Death: Gunfire
Sergeant Dennis N. Glivar,"Garfield Heights Police Department, OH","EOW: Sunday, August 14, 1994",Cause of Death: Gunfire
Sergeant Marc A. Perse,"Colorado Department of Corrections, CO","EOW: Monday, August 15, 1994",Cause of Death: Training accident
Sergeant James Kenneth Kinard,"Snohomish County Sheriff's Office, WA","EOW: Monday, August 15, 1994",Cause of Death: Gunfire
Captain Thomas M. Beahm,"Wisconsin Department of Corrections, WI","EOW: Wednesday, August 17, 1994",Cause of Death: Automobile accident
Trooper Davidson Gould Whiting,"Massachusetts State Police, MA","EOW: Thursday, August 18, 1994",Cause of Death: Automobile accident
Patrolman Willis John Cole,"New Cumberland Borough Police Department, PA","EOW: Friday, August 19, 1994",Cause of Death: Gunfire
Officer John Patrick Harris,"Henrico County Police Department, VA","EOW: Friday, August 19, 1994",Cause of Death: Automobile accident
Officer Thomas J. Giunta,"Fall River Police Department, MA","EOW: Wednesday, August 24, 1994",Cause of Death: Gunfire
Police Officer Timothy James Jones,"St. Paul Police Department, MN","EOW: Friday, August 26, 1994",Cause of Death: Gunfire
"Police Officer Ronald Michael Ryan, Jr.","St. Paul Police Department, MN","EOW: Friday, August 26, 1994",Cause of Death: Gunfire
Trooper Manuel H. Fields,"Michigan State Police, MI","EOW: Saturday, August 27, 1994",Cause of Death: Struck by vehicle
Special Agent Juan C. Vars,"United States Department of Justice - Drug Enforcement Administration, US","EOW: Saturday, August 27, 1994",Cause of Death: Aircraft accident
"Special Agent Frank S. Wallace, Jr.","United States Department of Justice - Drug Enforcement Administration, US","EOW: Saturday, August 27, 1994",Cause of Death: Aircraft accident
Special Agent Meredith Thompson,"United States Department of Justice - Drug Enforcement Administration, US","EOW: Saturday, August 27, 1994",Cause of Death: Aircraft accident
Special Agent Jay W. Seale,"United States Department of Justice - Drug Enforcement Administration, US","EOW: Saturday, August 27, 1994",Cause of Death: Aircraft accident
"Special Agent Frank Fernandez, Jr.","United States Department of Justice - Drug Enforcement Administration, US","EOW: Saturday, August 27, 1994",Cause of Death: Aircraft accident
Sergeant Patrick Devon Thompson,"Santa Cruz County Sheriff's Office, AZ","EOW: Friday, September 2, 1994",Cause of Death: Automobile accident
Trooper Mark S. Charbonnier,"Massachusetts State Police, MA","EOW: Friday, September 2, 1994",Cause of Death: Gunfire
Deputy Sheriff Gregory Lee Hawks,"Guilford County Sheriff's Office, NC","EOW: Friday, September 2, 1994",Cause of Death: Automobile accident
Senior Officer Shane Russell Chadwick,"Great Falls Police Department, MT","EOW: Wednesday, September 7, 1994",Cause of Death: Gunfire
Police Officer Julio Andino-Rivera,"Puerto Rico Police Department, PR","EOW: Wednesday, September 7, 1994",Cause of Death: Gunfire
Police Officer William Arthur Robertson,"Milwaukee Police Department, WI","EOW: Wednesday, September 7, 1994",Cause of Death: Gunfire
Sergeant Timothy F. O'Brien,"Paterson Police Department, NJ","EOW: Saturday, September 10, 1994",Cause of Death: Training accident
Special Investigator John Preston Madison,"California Department of Motor Vehicles - Office of Investigations, CA","EOW: Sunday, September 11, 1994",Cause of Death: Automobile accident
"Patrolman Charles Edward Osborne, Jr.","Columbus Police Department, GA","EOW: Sunday, September 11, 1994",Cause of Death: Gunfire
Police Officer Todd Stanton Meriwether,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, September 11, 1994",Cause of Death: Gunfire
Police Officer Samuel Hidalgo-Cardona,"Puerto Rico Police Department, PR","EOW: Monday, September 12, 1994",Cause of Death: Gunfire
Police Officer Roberto Martinez-Orozco,"Puerto Rico Police Department, PR","EOW: Friday, September 16, 1994",Cause of Death: Gunfire
Officer John Reid Sandifer,"Jackson Police Department, MS","EOW: Sunday, September 18, 1994",Cause of Death: Motorcycle accident
Officer Terry Lynn Griffith,"Christiansburg Police Department, VA","EOW: Sunday, September 18, 1994",Cause of Death: Gunfire
Sheriff Roy Luke Bassett,"Maries County Sheriff's Department, MO","EOW: Friday, September 23, 1994",Cause of Death: Gunfire
Sergeant Ronald L. Yeazel,"Hope Mills Police Department, NC","EOW: Monday, September 26, 1994",Cause of Death: Gunfire
Sergeant Timothy Alan Simenson,"Crest Hill Police Department, IL","EOW: Wednesday, September 28, 1994",Cause of Death: Gunfire
"Detective George Clifford Cavill, Jr.","Wayne Police Department, NJ","EOW: Thursday, September 29, 1994",Cause of Death: Heart attack
Sergeant James Russell Ward,"Montgomery Police Department, AL","EOW: Monday, October 3, 1994",Cause of Death: Gunfire
Sergeant James Stanwood Noyes,"New Hampshire State Police, NH","EOW: Monday, October 3, 1994",Cause of Death: Gunfire
Trooper Randy K. Ingram,"Utah Highway Patrol, UT","EOW: Wednesday, October 5, 1994",Cause of Death: Automobile accident
Sheriff Melvin Roof,"Putnam County Sheriff's Department, MO","EOW: Tuesday, October 11, 1994",Cause of Death: Heart attack
Deputy Sheriff Robert Scott Miller,"Cocke County Sheriff's Department, TN","EOW: Tuesday, October 11, 1994",Cause of Death: Gunfire
Deputy Commissioner Claude Everett Swackhammer,"Alaska Department of Public Safety, AK","EOW: Tuesday, October 11, 1994",Cause of Death: Aircraft accident
Sergeant Robert Lee Bittick,"Alaska State Troopers, AK","EOW: Tuesday, October 11, 1994",Cause of Death: Aircraft accident
Police Officer Charles Dean Heim,"Los Angeles Police Department, CA","EOW: Saturday, October 22, 1994",Cause of Death: Gunfire
"Warden Charles Andrew Farquhar, Jr.","Alabama Department of Corrections, AL","EOW: Sunday, October 23, 1994",Cause of Death: Assault
Agent Lori Dean Thomas,"Oklahoma Alcoholic Beverage Laws Enforcement Commission, OK","EOW: Sunday, October 23, 1994",Cause of Death: Vehicular assault
Sergeant Martin Joseph Hudson,"United States Department of Defense - Philadelphia Naval Base Police, US","EOW: Friday, October 28, 1994",Cause of Death: Drowned
Police Officer Ronald Ennis Hedbany,"Glendale Police Department, WI","EOW: Friday, October 28, 1994",Cause of Death: Gunfire
Officer Michael A. Osornio,"La Habra Police Department, CA","EOW: Monday, October 31, 1994",Cause of Death: Vehicular assault
Deputy Sheriff Thomas Robert Lewis,"Madison County Sheriff's Office, AL","EOW: Tuesday, November 1, 1994",Cause of Death: Gunfire
Patrolman Lawrence Karl King,"Indianola Police Department, MS","EOW: Tuesday, November 1, 1994",Cause of Death: Gunfire
Police Officer Ivan Mejias Hernandez,"Puerto Rico Police Department, PR","EOW: Tuesday, November 1, 1994",Cause of Death: Gunfire
Deputy Edward Monroe Evans,"Jackson County Sheriff's Office, GA","EOW: Friday, November 4, 1994",Cause of Death: Struck by vehicle
Patrolman George R. Knaff,"Akron Police Department, OH","EOW: Saturday, November 5, 1994",Cause of Death: Vehicular assault
Major Rufus Gates,"Memphis Police Department, TN","EOW: Monday, November 7, 1994",Cause of Death: Gunfire (Accidental)
Deputy Sheriff Mark Steven Kemp,"Riverside County Sheriff's Department, CA","EOW: Wednesday, November 9, 1994",Cause of Death: Exposure to toxins
Deputy Troy M. Babin,"Osceola County Sheriff's Office, FL","EOW: Saturday, November 12, 1994",Cause of Death: Aircraft accident
Correctional Officer William Diaz-Pagan,"Puerto Rico Department of Corrections and Rehabilitation, PR","EOW: Saturday, November 12, 1994",Cause of Death: Gunfire
Police Officer David Michael Healy,"Houston Police Department, TX","EOW: Saturday, November 12, 1994",Cause of Death: Automobile accident
Trooper Jeffrey Parola,"Maine State Police, ME","EOW: Sunday, November 13, 1994",Cause of Death: Automobile accident
Officer James Louis Guelff,"San Francisco Police Department, CA","EOW: Monday, November 14, 1994",Cause of Death: Gunfire
Correctional Officer Louis Steven Perrine,"Oregon Department of Corrections, OR","EOW: Thursday, November 17, 1994",Cause of Death: Accidental
Sheriff Roger David Coursey,"Hinsdale County Sheriff's Office, CO","EOW: Friday, November 18, 1994",Cause of Death: Gunfire
"Patrolman Jerry Von Wingo, Jr.","Portageville Police Department, MO","EOW: Friday, November 18, 1994",Cause of Death: Automobile accident
Police Officer John J. Venus,"Suffolk County Police Department, NY","EOW: Sunday, November 20, 1994",Cause of Death: Automobile accident
"Sergeant Henry Joseph ""Hank"" Daly","Metropolitan Police Department, DC","EOW: Tuesday, November 22, 1994",Cause of Death: Gunfire
Special Agent Michael John Miller,"United States Department of Justice - Federal Bureau of Investigation, US","EOW: Tuesday, November 22, 1994",Cause of Death: Gunfire
Special Agent Martha Dixon Martinez,"United States Department of Justice - Federal Bureau of Investigation, US","EOW: Tuesday, November 22, 1994",Cause of Death: Gunfire
Police Officer Carlos J. Diaz-Martinez,"Puerto Rico Police Department, PR","EOW: Saturday, November 26, 1994",Cause of Death: Gunfire
Officer Steven Paul Pollard,"Mesa Police Department, AZ","EOW: Sunday, November 27, 1994",Cause of Death: Struck by vehicle
Police Officer Michael A. Niehoff,"Milwaukee Police Department, WI","EOW: Wednesday, November 30, 1994",Cause of Death: Automobile accident
Deputy Sheriff Robert Ray Anderson,"Multnomah County Sheriff's Office, OR","EOW: Thursday, December 1, 1994",Cause of Death: Gunfire
"Police Officer Raymond R. Cannon, Jr.","New York City Police Department, NY","EOW: Friday, December 2, 1994",Cause of Death: Gunfire
Police Officer Joseph Friel,"Philadelphia Police Department, PA","EOW: Sunday, December 4, 1994",Cause of Death: Vehicular assault
Deputy Clifford Ernest Dicker,"Wythe County Sheriff's Office, VA","EOW: Tuesday, December 6, 1994",Cause of Death: Gunfire
Chief Deputy William M. Lark,"Holt County Sheriff's Department, MO","EOW: Wednesday, December 7, 1994",Cause of Death: Automobile accident
"Reserve Deputy Fred Feuser, Jr.","Camden County Sheriff's Department, MO","EOW: Wednesday, December 7, 1994",Cause of Death: Gunfire
Patrolman Robert A. Stefanov,"Garfield Heights Police Department, OH","EOW: Thursday, December 8, 1994",Cause of Death: Vehicle pursuit
Patrolman Michael W. Brown,"Garfield Heights Police Department, OH","EOW: Thursday, December 8, 1994",Cause of Death: Vehicle pursuit
Correctional Officer Phillip K. Curry,"Indiana Department of Correction, IN","EOW: Tuesday, December 13, 1994",Cause of Death: Stabbed
Officer Scott Anthony Flahive,"Grand Haven Department of Public Safety, MI","EOW: Tuesday, December 13, 1994",Cause of Death: Gunfire
Senior Corporal Thomas Dale Bond,"Dallas Police Department, TX","EOW: Tuesday, December 13, 1994",Cause of Death: Gunfire
Sergeant Gregory Phillip Howard,"Floyd County Police Department, GA","EOW: Friday, December 16, 1994",Cause of Death: Struck by vehicle
Officer Thomas Benton Worley,"Los Angeles County Safety Police, CA","EOW: Wednesday, December 21, 1994",Cause of Death: Gunfire
Police Officer Luis A. Ortiz-Perez,"Puerto Rico Police Department, PR","EOW: Wednesday, December 21, 1994",Cause of Death: Motorcycle accident
Correctional Officer D'Antonio Andrew Washington,"United States Department of Justice - Federal Bureau of Prisons, US","EOW: Thursday, December 22, 1994",Cause of Death: Assault
Patrol Officer David L. Brower,"Fort Lauderdale Police Department, FL","EOW: Thursday, December 29, 1994",Cause of Death: Motorcycle accident
Sergeant Bruce Owens,"Rhea County Sheriff's Department, TN","EOW: Thursday, December 29, 1994",Cause of Death: Gunfire
Police Officer Octoniel Torres-Melendez,"Puerto Rico Police Department, PR","EOW: Friday, December 30, 1994",Cause of Death: Gunfire
Trooper Troy Merle Hogue,"Texas Department of Public Safety - Texas Highway Patrol, TX","EOW: Friday, December 30, 1994",Cause of Death: Gunfire
K9 Kai,"Bannock County Sheriff's Department, ID","EOW: Saturday, March 5, 1994",Cause of Death: Gunfire
K9 Laser,"St. Paul Police Department, MN","EOW: Friday, August 26, 1994",Cause of Death: Gunfire
K9 Dax,"Phoenix Police Department, AZ","EOW: Thursday, October 20, 1994",Cause of Death: Gunfire
K9 Bruno,"Bullhead City Police Department, AZ","EOW: Thursday, November 17, 1994",Cause of Death: Struck by vehicle
Border Patrol Agent Jose Angel Nava,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Saturday, January 7, 1995",Cause of Death: Automobile accident
Lieutenant Robert Boud,"Essex County Department of Corrections, NJ","EOW: Sunday, January 8, 1995",Cause of Death: Assault
Coast Guardsman Jonathan D. Scotchmer,"United States Coast Guard Office of Law Enforcement, US","EOW: Monday, January 9, 1995",Cause of Death: Fall
Sergeant Norman Kim Nisson,"Provo Police Department, UT","EOW: Wednesday, January 11, 1995",Cause of Death: Automobile accident
Lieutenant John Paul Gisclon,"Ashland County Sheriff's Department, OH","EOW: Saturday, January 14, 1995",Cause of Death: Gunfire
Police Officer Fabian Dale Dominguez,"San Antonio Police Department, TX","EOW: Sunday, January 15, 1995",Cause of Death: Gunfire
Corrections Officer Leonard Louis Trudeau,"Miami-Dade County Department of Corrections and Rehabilitation, FL","EOW: Monday, January 16, 1995",Cause of Death: Struck by vehicle
Officer Norris B. Epps,"Tampa Police Department, FL","EOW: Wednesday, January 18, 1995",Cause of Death: Aircraft accident
Juvenile Detention Officer Robert J. Heavey,"Morris County Juvenile Detention Center, NJ","EOW: Thursday, January 19, 1995",Cause of Death: Assault
Detective Alfred T. Boesch,"New York City Housing Authority Police Department, NY","EOW: Saturday, January 21, 1995",Cause of Death: Heart attack
Officer Willie Henry Pryor,"Montgomery Police Department, AL","EOW: Sunday, January 22, 1995",Cause of Death: Motorcycle accident
Sergeant G. J. Jordon,"Shelbyville Police Department, TN","EOW: Sunday, January 22, 1995",Cause of Death: Automobile accident
Detective Ernest Andrew Whitten,"Albertville Police Department, AL","EOW: Wednesday, January 25, 1995",Cause of Death: Gunfire
Officer Raul Paul Elizondo,"North Las Vegas Police Department, NV","EOW: Monday, January 30, 1995",Cause of Death: Gunfire
Corrections Officer Judith Ann Henkel,"California Department of Corrections and Rehabilitation, CA","EOW: Friday, February 3, 1995",Cause of Death: Heart attack
Officer Christopher Charles Hays,"Shreveport Police Department, LA","EOW: Sunday, February 5, 1995",Cause of Death: Duty related illness
Detective Joseph Tucker Fisher,"Little Rock Police Department, AR","EOW: Tuesday, February 7, 1995",Cause of Death: Gunfire
"Officer James Madison McGee, Jr.","Metropolitan Police Department, DC","EOW: Tuesday, February 7, 1995",Cause of Death: Gunfire (Accidental)
Trooper Henry Noel Harmon,"Virginia State Police, VA","EOW: Tuesday, February 7, 1995",Cause of Death: Gunfire
Special Deputy Michael Ray Jackson,"Johnston County Sheriff's Office, NC","EOW: Thursday, February 9, 1995",Cause of Death: Struck by vehicle
Officer Mark Andrew White,"Roseville Police Department, CA","EOW: Friday, February 10, 1995",Cause of Death: Gunfire (Accidental)
Lieutenant Irvin M. Brown,"Nueces County Sheriff's Office, TX","EOW: Monday, February 13, 1995",Cause of Death: Heart attack
Officer Franklin Dale Perritte,"North Carolina Division of Motor Vehicles Enforcement Section, NC","EOW: Tuesday, February 14, 1995",Cause of Death: Vehicle pursuit
Deputy Ernest W. Heikkila,"Muskegon County Sheriff's Office, MI","EOW: Wednesday, February 15, 1995",Cause of Death: Automobile accident
Trooper Paul Andrew Perry,"Massachusetts State Police, MA","EOW: Wednesday, February 22, 1995",Cause of Death: Aircraft accident
Trooper James Mattaliano,"Massachusetts State Police, MA","EOW: Wednesday, February 22, 1995",Cause of Death: Aircraft accident
Officer Shawn Leinen,"Denver Police Department, CO","EOW: Saturday, February 25, 1995",Cause of Death: Gunfire
"Police Officer Stephen Levi Amos, II","Winston-Salem Police Department, NC","EOW: Tuesday, February 28, 1995",Cause of Death: Gunfire
Deputy Larry David Griffith,"Lassen County Sheriff's Department, CA","EOW: Thursday, March 2, 1995",Cause of Death: Gunfire
"Police Officer Ronald A. Williams, II","New Orleans Police Department, LA","EOW: Saturday, March 4, 1995",Cause of Death: Gunfire
Corporal Catherine M. Crawford,"Monroe County Sheriff's Office, NY","EOW: Sunday, March 5, 1995",Cause of Death: Assault
Police Officer Daniel J. Doffyn,"Chicago Police Department, IL","EOW: Wednesday, March 8, 1995",Cause of Death: Gunfire
Corrections Officer Andre Motley,"Essex County Department of Corrections, NJ","EOW: Saturday, March 11, 1995",Cause of Death: Gunfire
"Police Officer Stewart E. Savage, III","Wellesley Police Department, MA","EOW: Saturday, March 18, 1995",Cause of Death: Vehicle pursuit
Deputy Irvin Ellis Powell,"Haskell County Sheriff's Office, KS","EOW: Sunday, March 19, 1995",Cause of Death: Gunfire
Correctional Officer Ernest R. Grossguth,"Rhode Island Department of Corrections, RI","EOW: Sunday, March 26, 1995",Cause of Death: Heart attack
Border Patrol Agent Luis A. Santiago,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Tuesday, March 28, 1995",Cause of Death: Fall
Deputy Frank V. Trejo,"Sonoma County Sheriff's Office, CA","EOW: Wednesday, March 29, 1995",Cause of Death: Gunfire
Sergeant Marc Muncy,"Columbus Division of Police, OH","EOW: Wednesday, April 5, 1995",Cause of Death: Automobile accident
Patrol Deputy Wilburn Junior Agy,"Liberty County Sheriff's Department, TX","EOW: Wednesday, April 5, 1995",Cause of Death: Gunfire
Chief of Police Johnny Lee Teter,"Oxford Police Department, KS","EOW: Sunday, April 9, 1995",Cause of Death: Vehicle pursuit
"Officer Stewart L. Beasley, Jr.","Jasper Police Department, AL","EOW: Monday, April 10, 1995",Cause of Death: Motorcycle accident
Narcotic Agent II Charles Matthew Holmes,"Pennsylvania Office of Attorney General, PA","EOW: Tuesday, April 11, 1995",Cause of Death: Automobile accident
Police Officer Luis M. Hernandez-Vega,"Puerto Rico Police Department, PR","EOW: Tuesday, April 11, 1995",Cause of Death: Gunfire
Police Officer Alvin Clayton Palmer,"Philadelphia Housing Authority Police Department, PA","EOW: Wednesday, April 12, 1995",Cause of Death: Gunfire
Officer Robert Joseph Henry,"Newport Beach Police Department, CA","EOW: Thursday, April 13, 1995",Cause of Death: Gunfire
Deputy Roy Eugene Ashe,"Jackson County Sheriff's Office, NC","EOW: Thursday, April 13, 1995",Cause of Death: Heart attack
