Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Jill Schiller,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-17.360001,54.200001,Yes,,No,No,No,No,No,Yes
William Smith,OH,U.S. House Ohio District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-17.360001,11.4,No,,No,No,No,No,No,No
Cody James Slatzer-Rose,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Lost,None,None,Male,-31.23,16.15,No,,No,No,No,No,Yes,No
Janet Garrett,OH,U.S. House Ohio District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-31.23,83.849998,Yes,,No,No,No,No,No,No
James Neu Jr.,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Lost,None,None,Male,-23.809999,26.700001,No,,No,No,No,No,No,No
John Michael Galbraith,OH,U.S. House Ohio District 5,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-23.809999,73.199997,Yes,,No,No,No,No,No,No
Shawna Roberts,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-37.610001,74.5,Yes,,No,No,No,No,No,No
Werner Lange,OH,U.S. House Ohio District 6,Representative,Regular,5/8/18,Lost,None,None,Male,-37.610001,25.5,No,,No,No,No,No,No,No
Ken Harbaugh,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-27.18,80.199997,Yes,,Yes,No,No,No,No,No
Patrick Pikus,OH,U.S. House Ohio District 7,Representative,Regular,5/8/18,Lost,None,None,Male,-27.18,19.799999,No,,No,No,No,No,No,No
Bill Ebben,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,Male,-34.779999,12.18,No,,Yes,No,No,No,No,No
Matthew Guyette,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,Male,-34.779999,13.63,No,,No,Yes,No,No,No,No
Ted Jones,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Lost,None,None,Male,-34.779999,16.280001,No,,No,No,No,No,No,No
Vanessa Enoch,OH,U.S. House Ohio District 8,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-34.779999,57.91,Yes,Nonwhite,No,No,No,No,No,No
Constance Johnson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Lost,None,None,Female,-38.209999,38.619999,No,Nonwhite,No,No,Yes,No,No,No
Drew Edmondson,OK,Governor of Oklahoma,Governor,Regular,6/26/18,Advanced,None,On the Ballot,Male,-38.209999,61.380001,Yes,White,Yes,No,Yes,No,No,No
Amanda Douglas,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Female,-31.959999,32.41,,,No,No,No,No,No,No
David Matthew Hullum,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-31.959999,5.02,,,No,No,No,No,No,No
Gwendolyn Fields,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,Female,-31.959999,19.620001,,,No,No,No,No,No,No
Mark Keeter,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-31.959999,8.46,,,No,No,No,No,No,No
Tim Gilpin,OK,U.S. House Oklahoma District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Male,-31.959999,34.48,,,No,No,No,No,No,No
Clay Padgett,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Male,-49.009998,24.23,,,Yes,No,No,No,No,No
Elijah McIntosh,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,None,Male,-49.009998,19.02,,Nonwhite,Yes,No,No,No,No,No
Jason Nichols,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Male,-49.009998,37.880001,,Nonwhite,No,No,Yes,No,Yes,No
Virginia Jenner,OK,U.S. House Oklahoma District 2,Representative,Regular,6/26/18,Lost,None,None,Female,-49.009998,18.860001,,,No,No,No,No,No,No
Frankie Robbins,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-54.009998,64.839996,Yes,,No,No,No,No,Yes,No
Murray Thibodeaux,OK,U.S. House Oklahoma District 3,Representative,Regular,6/26/18,Lost,None,None,Male,-54.009998,35.16,No,,No,No,No,No,Yes,No
Fred Gipson,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Male,-39.130001,30.360001,,,Yes,No,Yes,No,No,No
Mallory Varner,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,None,Female,-39.130001,18.610001,,,No,No,No,No,No,No
Mary Brannon,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Female,-39.130001,34.360001,,,No,No,No,No,No,No
Roxann Klutts,OK,U.S. House Oklahoma District 4,Representative,Regular,6/26/18,Lost,None,None,Female,-39.130001,16.67,,,No,No,No,No,No,No
Eddie Porter,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,None,Male,-17.18,10.63,,,No,No,No,No,No,No
Elysabeth Britt,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,None,Female,-17.18,13.51,,,Yes,Yes,No,No,No,No
Kendra Horn,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Female,-17.18,43.84,,,No,No,No,No,No,No
Leona Kelley-Leonard,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,None,Female,-17.18,8.4200001,,,No,No,No,No,No,No
Tom Guild,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Advanced,On the Ballot,None,Male,-17.18,17.91,,,No,No,No,No,No,No
Tyson Todd Meade,OK,U.S. House Oklahoma District 5,Representative,Regular,6/26/18,Lost,None,None,Male,-17.18,5.6900001,,,No,Yes,No,No,No,No
Eric Burnette,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-21.68,4.6199999,No,,No,No,No,No,No,No
Jamie McLeod-Skinner,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-21.68,42.82,Yes,White,No,Yes,Yes,No,Yes,No
Jennifer Neahring,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Female,-21.68,23.68,No,Nonwhite,No,No,No,No,No,No
Jim Crary,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-21.68,11.44,No,,Yes,No,No,No,No,No
Michael Byrne,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-21.68,4.3000002,No,,No,No,No,No,No,No
Raz Mason,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Female,-21.68,5.3000002,No,,Yes,No,No,No,Yes,No
Timothy White,OR,U.S. House Oregon District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-21.68,5.8600001,No,,No,No,No,No,No,No
Rachel Reddick,PA,U.S. House Pennsylvania District 1,Representative,Regular,5/15/18,Lost,None,None,Female,-0.63,35.330002,No,White,Yes,No,No,No,No,No
Scott Wallace,PA,U.S. House Pennsylvania District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-0.63,56.48,Yes,White,No,No,No,Yes,No,No
Steve Bacher,PA,U.S. House Pennsylvania District 1,Representative,Regular,5/15/18,Lost,None,None,Male,-0.63,8.1899996,No,White,No,No,No,No,No,No
Alan Howe,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Lost,None,None,Male,-10.86,10.81,No,White,Yes,No,No,No,No,No
Eric Ding,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Lost,None,None,Male,-10.86,17.99,No,Nonwhite,No,No,No,No,Yes,No
George Scott,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-10.86,36.330002,Yes,White,Yes,No,No,No,No,No
Shavonnia Corbin-Johnson,PA,U.S. House Pennsylvania District 10,Representative,Regular,5/15/18,Lost,None,None,Female,-10.86,34.869999,No,Nonwhite,No,No,No,No,No,Yes
Jessica King,PA,U.S. House Pennsylvania District 11,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-27.51,100,Yes,White,No,No,No,No,No,No
Judy Herschel,PA,U.S. House Pennsylvania District 12,Representative,Regular,5/15/18,Lost,None,None,Female,-36.009998,49.610001,No,White,No,No,No,No,No,No
Marc Friedenberg,PA,U.S. House Pennsylvania District 12,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-36.009998,50.389999,Yes,White,No,No,No,No,Yes,No
Brent Ottaway,PA,U.S. House Pennsylvania District 13,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-45.43,100,Yes,White,No,No,No,No,No,No
Adam Sedlock,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,Male,-28.709999,23.879999,No,White,No,No,No,No,Yes,No
Bibiana Boerio,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-28.709999,43.200001,Yes,White,No,No,No,No,Yes,No
Robert Solomon,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,Male,-28.709999,19.040001,No,White,No,No,No,No,Yes,No
Tom Prigg,PA,U.S. House Pennsylvania District 14,Representative,Regular,5/15/18,Lost,None,None,Male,-28.709999,13.89,No,White,Yes,No,No,No,Yes,No
Susan Boser,PA,U.S. House Pennsylvania District 15,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-41.73,74.559998,Yes,White,No,No,No,No,No,No
Wade Jodun,PA,U.S. House Pennsylvania District 15,Representative,Regular,5/15/18,Lost,None,None,Male,-41.73,25.440001,No,White,No,No,No,No,Yes,No
Chris Rieger,PA,U.S. House Pennsylvania District 16,Representative,Regular,5/15/18,Lost,None,None,Male,-18.73,24.92,No,White,No,No,No,No,No,No
Robert Multari,PA,U.S. House Pennsylvania District 16,Representative,Regular,5/15/18,Lost,None,None,Male,-18.73,15.11,No,,No,No,No,No,Yes,No
Ronald DiNicola,PA,U.S. House Pennsylvania District 16,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-18.73,59.970001,Yes,,Yes,No,No,No,No,No
Joe Hoeffel,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Lost,None,None,Male,15.27,10.96,No,White,No,No,Yes,No,No,No
Madeleine Dean,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,15.27,72.559998,Yes,White,No,No,Yes,No,No,No
Shira Goodman,PA,U.S. House Pennsylvania District 4,Representative,Regular,5/15/18,Lost,None,None,Female,15.27,16.49,No,White,No,No,No,No,No,No
Ashley Lunkenheimer,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Female,25.540001,15.31,No,White,No,Yes,No,No,No,No
Gregory Vitali,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Male,25.540001,9.4300003,No,White,No,No,Yes,No,No,No
Larry Arata,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Male,25.540001,1.52,No,White,No,No,No,No,No,No
Lindy Li,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Female,25.540001,6.98,No,Nonwhite,No,No,No,No,No,No
Margo Davidson,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Female,25.540001,3.98,No,Nonwhite,No,No,Yes,No,No,No
Mary Gay Scanlon,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,25.540001,28.370001,Yes,White,No,No,Yes,No,No,No
Molly Sheehan,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Female,25.540001,10.24,No,White,No,No,No,No,Yes,No
Richard Lazer,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Male,25.540001,14.99,No,,,,,No,,No
Thaddeus Kirkland,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Male,25.540001,3.99,No,Nonwhite,No,No,Yes,No,No,No
Theresa Wright,PA,U.S. House Pennsylvania District 5,Representative,Regular,5/15/18,Lost,None,None,Female,25.540001,5.1900001,No,Nonwhite,No,No,No,No,No,No
Chrissy Houlahan,PA,U.S. House Pennsylvania District 6,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,5.2399998,100,Yes,White,Yes,No,No,No,Yes,No
David Clark,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,Male,0.07,1.7,No,White,No,No,No,No,No,No
Greg Edwards,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,Male,0.07,25.43,No,Nonwhite,No,No,No,No,No,No
John Morganelli,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,Male,0.07,30.15,No,White,No,No,Yes,No,No,No
Rick Daugherty,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,Male,0.07,3.8599999,No,White,No,No,No,No,No,No
Roger Ruggles,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Lost,None,None,Male,0.07,5.4099998,No,White,Yes,No,No,No,Yes,No
Susan Wild,PA,U.S. House Pennsylvania District 7,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,0.07,33.450001,Yes,White,No,No,No,No,No,No
Denny Wolff,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-32.029999,40.549999,Yes,White,No,No,No,No,No,No
Gary Wegman,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,Male,-32.029999,31.290001,No,White,No,No,No,No,Yes,No
Laura Quick,PA,U.S. House Pennsylvania District 9,Representative,Regular,5/15/18,Lost,None,None,Female,-32.029999,28.16,No,White,No,No,No,No,No,No
James Smith Jr.,SC,Governor of South Carolina,Governor,Regular,6/12/18,Advanced,None,On the Ballot,Male,-15.85,61.810001,Yes,White,Yes,No,No,No,No,No
Marguerite Willis,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,None,Female,-15.85,27.549999,No,White,No,No,No,Yes,No,No
Phil Noble,SC,Governor of South Carolina,Governor,Regular,6/12/18,Lost,None,None,Male,-15.85,10.64,No,White,No,No,No,No,Yes,Yes
Joe Cunningham,SC,U.S. House South Carolina District 1,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-16.879999,71.5,Yes,White,No,No,No,No,Yes,No
Toby Smith,SC,U.S. House South Carolina District 1,Representative,Regular,6/12/18,Lost,None,None,Male,-16.879999,28.5,No,Nonwhite,No,No,No,No,No,No
Annabelle Robertson,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,Lost,None,Female,-20.73,41.810001,No,White,No,No,No,No,No,No
Phil Black,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Lost,None,None,Male,-20.73,18.370001,No,White,No,No,No,No,No,No
Sean Carrigan,SC,U.S. House South Carolina District 2,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,Male,-20.73,39.82,Yes,White,Yes,No,No,No,No,No
Hosea Cleveland,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Lost,None,None,Male,-38.68,30.27,No,Nonwhite,Yes,No,No,No,Yes,No
Mary Geren,SC,U.S. House South Carolina District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-38.68,69.730003,Yes,White,No,No,No,No,No,No
Brandon Brown,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,Male,-28.309999,28.469999,Yes,Nonwhite,No,No,No,No,No,No
Doris Lee Turner,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Advanced,Lost,None,Female,-28.309999,29.459999,No,White,No,No,No,No,No,No
Eric Graben,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,Male,-28.309999,25.719999,No,White,No,No,No,No,No,No
J.T. Davis,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,Male,-28.309999,7.2199998,No,White,No,No,No,No,Yes,No
Will Morin III,SC,U.S. House South Carolina District 4,Representative,Regular,6/12/18,Lost,None,None,Male,-28.309999,9.1300001,No,White,No,No,No,No,No,No
Archie Parnell,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-19.280001,59.959999,Yes,White,No,No,No,No,No,No
Mark Ali,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,Male,-19.280001,13.41,No,Nonwhite,No,No,No,No,No,No
Sidney Moore,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,Male,-19.280001,17.17,No,Nonwhite,No,No,No,No,No,No
Steve Lough,SC,U.S. House South Carolina District 5,Representative,Regular,6/12/18,Lost,None,None,Male,-19.280001,9.46,No,White,No,No,No,No,No,No
Bill Hopkins,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Lost,None,None,Male,-19.23,17.780001,No,White,No,No,No,No,No,No
Bruce Fischer,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Lost,None,None,Male,-19.23,11.22,No,White,Yes,No,No,No,Yes,No
Mal Hyman,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,Lost,None,Male,-19.23,29.700001,No,White,No,No,No,No,No,No
Robert Williams,SC,U.S. House South Carolina District 7,Representative,Regular,6/12/18,Advanced,Advanced,On the Ballot,Male,-19.23,41.299999,Yes,Nonwhite,Yes,No,Yes,No,No,No
Billie Sutton,SD,Governor of South Dakota,Governor,Regular,6/5/18,Advanced,None,On the Ballot,Male,-29.379999,100,Yes,White,No,No,No,No,No,No
Timothy Bjorkman,SD,U.S. House South Dakota At-large District,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-29.379999,100,Yes,White,No,No,Yes,No,No,No
Craig Fitzhugh,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,Male,-27.139999,19.42,No,White,Yes,No,Yes,Yes,No,No
Karl Dean,TN,Governor of Tennessee,Governor,Regular,8/2/18,Advanced,None,On the Ballot,Male,-27.139999,75.139999,Yes,White,No,No,Yes,Yes,No,No
Mezianne Vale Payne,TN,Governor of Tennessee,Governor,Regular,8/2/18,Lost,None,None,Female,-27.139999,5.4400001,No,White,No,No,No,No,No,No
Martin Olsen,TN,U.S. House Tennessee District 1,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Male,-57.029999,100,Yes,White,No,No,No,No,Yes,No
Joseph Schenkenfelder,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,Male,-38.18,4.5100002,No,,,,,No,,No
Joshua Williams,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Lost,None,None,Male,-38.18,23.08,No,White,No,No,No,No,Yes,No
Renee Hoyos,TN,U.S. House Tennessee District 2,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Female,-38.18,72.410004,Yes,White,No,No,No,No,No,No
Danielle Mitchell,TN,U.S. House Tennessee District 3,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Female,-35.98,100,Yes,White,No,No,No,No,Yes,No
Christopher Hale,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,None,Male,-41.48,34.720001,No,White,No,No,No,No,No,Yes
Mariah Phillips,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Female,-41.48,47.509998,Yes,White,No,No,No,No,No,No
Steven Reynolds,TN,U.S. House Tennessee District 4,Representative,Regular,8/2/18,Lost,None,None,Male,-41.48,17.77,No,White,No,No,No,No,No,No
Christopher Finley,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,Male,-49.110001,15.06,No,,,,,No,,No
Dawn Barlow,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Female,-49.110001,54.509998,Yes,White,No,No,No,No,Yes,No
Merrilee Wineinger,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,Female,-49.110001,22.059999,No,White,No,No,No,No,No,No
Peter Heffernan,TN,U.S. House Tennessee District 6,Representative,Regular,8/2/18,Lost,None,None,Male,-49.110001,8.3699999,No,,,,,No,,No
Justin Kanew,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Male,-40.209999,62.110001,Yes,White,No,No,No,No,No,No
Matt Reel,TN,U.S. House Tennessee District 7,Representative,Regular,8/2/18,Lost,None,None,Male,-40.209999,37.889999,No,White,Yes,No,No,No,No,No
Erika Stotts Pearson,TN,U.S. House Tennessee District 8,Representative,Regular,8/2/18,Advanced,None,On the Ballot,Female,-37.560001,50.419998,Yes,Nonwhite,No,No,No,No,No,No
John Boatner Jr.,TN,U.S. House Tennessee District 8,Representative,Regular,8/2/18,Lost,None,None,Male,-37.560001,49.580002,No,White,No,No,No,No,No,No
Gary Davis,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,Male,-27.139999,5.2800002,No,,,,,No,,No
John Wolfe,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Lost,None,None,Male,-27.139999,3.21,No,White,No,No,No,No,No,No
Phil Bredesen,TN,U.S. Senate Tennessee,Senator,Regular,8/2/18,Advanced,None,On the Ballot,Male,-27.139999,91.510002,Yes,White,No,No,Yes,Yes,No,No
Adrian Ocegueda,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,4.4000001,No,Nonwhite,No,No,No,No,No,No
Andrew White,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Lost,None,Male,-13.23,27.4,No,White,No,No,No,Yes,No,No
Cedric Davis,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,8.2399998,No,Nonwhite,No,No,Yes,No,No,No
Grady Yarbrough,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,5.3699999,No,Nonwhite,No,No,No,No,No,No
James Clark,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,2.1500001,No,White,No,No,No,No,No,No
Jeffrey Payne,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,4.75,No,White,No,Yes,No,No,No,No
Joe Mumbach,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,1.36,No,White,No,No,No,No,No,No
Lupe Valdez,TX,Governor of Texas,Governor,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-13.23,42.91,Yes,Nonwhite,Yes,Yes,Yes,No,No,No
Thomas Wakely,TX,Governor of Texas,Governor,Regular,3/6/18,Lost,None,None,Male,-13.23,3.4100001,No,White,Yes,No,No,No,No,No
Brent Beal,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Lost,None,None,Male,-48.73,38.959999,No,White,No,No,No,No,No,No
Shirley McKellar,TX,U.S. House Texas District 1,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-48.73,61.040001,Yes,Nonwhite,Yes,No,No,No,No,No
Kevin Nelson,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,Male,-14.43,4.1199999,No,White,No,No,No,No,No,No
Madeline Eden,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,Female,-14.43,14.27,No,White,No,Yes,No,No,Yes,No
Matt Harris,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,Male,-14.43,7.3200002,No,White,No,No,No,No,Yes,No
Mike Siegel,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Male,-14.43,40,Yes,White,No,No,No,No,No,No
Tami Walker,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Lost,None,None,Female,-14.43,15.56,No,White,No,No,No,No,No,No
Tawana Cadien,TX,U.S. House Texas District 10,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-14.43,17.959999,No,Nonwhite,No,No,No,No,No,No
Eric Pfalzgraf,TX,U.S. House Texas District 11,Representative,Regular,3/6/18,Lost,None,None,Male,-61.459999,17.09,No,White,No,No,No,No,No,No
Jennie Lou Leeder,TX,U.S. House Texas District 11,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-61.459999,82.910004,Yes,White,No,No,No,No,No,No
Vanessa Adia,TX,U.S. House Texas District 12,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-33.959999,100,Yes,Nonwhite,No,No,No,No,No,No
Greg Sagan,TX,U.S. House Texas District 13,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-65.209999,100,Yes,White,Yes,No,No,No,No,No
Adrienne Bell,TX,U.S. House Texas District 14,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-22.33,79.830002,Yes,Nonwhite,No,No,No,No,No,Yes
Levy Barnes Jr.,TX,U.S. House Texas District 14,Representative,Regular,3/6/18,Lost,None,None,Male,-22.33,20.17,No,Nonwhite,No,No,No,No,No,No
Dori Fenenbock,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,Female,35.419998,21.969999,No,White,No,No,No,Yes,No,No
Enrique Garcia,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,Male,35.419998,5.3299999,No,Nonwhite,No,No,No,No,No,No
Jerome Tilghman,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,Male,35.419998,2.97,No,Nonwhite,Yes,No,No,No,No,No
John Carrillo,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,Male,35.419998,1.55,No,Nonwhite,No,No,No,No,No,No
Norma Chavez,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Lost,None,None,Male,35.419998,6.6599998,No,Nonwhite,No,No,Yes,No,No,No
Veronica Escobar,TX,U.S. House Texas District 16,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,35.419998,61.529999,Yes,Nonwhite,No,No,Yes,No,No,No
Dale Mantey,TX,U.S. House Texas District 17,Representative,Regular,3/6/18,Lost,None,None,Male,-21.33,36.599998,No,White,No,No,No,No,Yes,No
Rick Kennedy,TX,U.S. House Texas District 17,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-21.33,63.400002,Yes,White,No,No,No,No,No,No
Miguel Levario,TX,U.S. House Texas District 19,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-51.43,100,Yes,Nonwhite,No,No,No,No,No,No
Ali Khorasani,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,Male,-16.33,7.5,No,Nonwhite,No,Yes,No,No,Yes,No
H. P. Parvizian,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,Male,-16.33,7.9099998,No,Nonwhite,No,No,No,No,No,No
Jimmy Darnell Jones,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,Male,-16.33,22.08,No,Nonwhite,Yes,No,No,No,No,No
Silky Malik,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Lost,None,None,Female,-16.33,9.6999998,No,Nonwhite,No,No,No,No,No,No
Todd Litton,TX,U.S. House Texas District 2,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-16.33,52.810001,Yes,White,No,No,No,No,No,No
