title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Swoon,http://www.imdb.com/title/tt0105508/,US,1992,$340K,Tom Kalin,2,Nathan Leopold Jr.,Criminal,Known,White,0,Male,Craig Chester
Swoon,http://www.imdb.com/title/tt0105508/,US,1992,$340K,Tom Kalin,2,Richard Loeb,Criminal,Known,White,0,Male,Daniel Schlachet
Sylvia,http://www.imdb.com/title/tt0325055/,UK,2003,$1.3M,Christine Jeffs,2,Sylvia Plath,Author (poet),Known,White,0,Female,Gwyneth Paltrow
Sylvia,http://www.imdb.com/title/tt0325055/,UK,2003,$1.3M,Christine Jeffs,2,Ted Hughes,Author (poet),Known,White,0,Male,Daniel Craig
Talk to Me,http://www.imdb.com/title/tt0796368/,US,2007,$4.47M,Kasi Lemmons,1,"Ralph ""Petey"" Greene",Activist,Known,African American,1,Male,Don Cheadle
Ted Bundy,http://www.imdb.com/title/tt0284929/,US,2002,-,Matthew Bright,1,Ted Bundy,Criminal,Known,White,0,Male,Michael Reilly Burke
Telstar: The Joe Meek Story,http://www.imdb.com/title/tt1068669/,UK,2008,-,Nick Moran,1,Joe Meek,Musician,Known,White,0,Male,Con O'Neill
Testament of Youth,http://www.imdb.com/title/tt1441953/,UK,2014,$671K,James Kent,1,Vera Brittain,Other,Unknown,,0,Female,Alicia Vikander
The 5th Quarter,http://www.imdb.com/title/tt1130964/,US,2010,$400K,Rick Bieber,1,Jon Abbate,Athlete,Unknown,,0,Male,Ryan Merriman
The Actress,http://www.imdb.com/title/tt0045471/,US,1953,-,George Cukor,1,Ruth Gordon Jones,Actress,Unknown,,0,Female,Jean Simmons
The Adventures of Marco Polo,http://www.imdb.com/title/tt0029842/,US,1938,-,Archie Mayo,1,Marco Polo,Historical,Known,White,0,Male,Gary Cooper
The Adventures of Mark Twain,http://www.imdb.com/title/tt0036582/,US,1944,-,Irving Rapper,1,Samuel Clemens,Author,Known,White,0,Male,Frederic March
The Assassination of Jesse James by the Coward Robert Ford,http://www.imdb.com/title/tt0443680/,US/UK/Canada,2007,$3.9M,Andrew Dominik,2,Jesse James ,Criminal,Known,White,0,Male,Brad Pitt
The Assassination of Jesse James by the Coward Robert Ford,http://www.imdb.com/title/tt0443680/,US/UK/Canada,2007,$3.9M,Andrew Dominik,2,Robert Ford,Criminal,Unknown,,0,Male,Casey Affleck
The Assassination of Richard Nixon,http://www.imdb.com/title/tt0364961/,US,2004,$698K,Niels Mueller,1,Samuel Byck,Other,Unknown,,0,Male,Sean Penn
The Assassination of Trotsky,http://www.imdb.com/title/tt0068226/,UK,1972,-,Joseph Losey,1,Leon Trotsky,Activist,Known,White,0,Male,Richard Burton
The Aviator,http://www.imdb.com/title/tt0338751/,US,2004,$103M,Martin Scorsese,1,Howard Hughes,Other,Unknown,,0,Male,Leonardo DiCaprio
The Babe,http://www.imdb.com/title/tt0103747/,US,1992,$17.5M,Arthur Hiller,1,Babe Ruth,Athlete,Known,White,0,Male,John Goodman
The Babe Ruth Story,http://www.imdb.com/title/tt0040142/,US,1948,-,Roy Del Ruth,1,Babe Ruth,Athlete,Known,White,0,Male,William Bendix
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,-,Steven Silver,4,Greg Marinovich,Media,Unknown,,0,Male,
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,-,Steven Silver,4,JoÃ£o Silva,Media,Known,White,0,Male,
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,-,Steven Silver,4,Ken Oosterbroek,Media,Unknown,,0,Male,
The Bang Bang Club,http://www.imdb.com/title/tt1173687/,Canada,2010,-,Steven Silver,4,Kevin Carter,Media,Known,White,0,Male,Taylor Kitsch
The Barretts of Wimpole Street,http://www.imdb.com/title/tt0024865/,US,1934,-,Sidney Franklin,2,Elizabeth Barrett,Author (poet),Known,Multi racial,0,Female,Norma Shearer
The Barretts of Wimpole Street,http://www.imdb.com/title/tt0024865/,US,1934,-,Sidney Franklin,2,Robert Browning,Author (poet),Known,Multi racial,0,Male,Fredric March
The Basketball Diaries,http://www.imdb.com/title/tt0112461/,US,1995,$2.42M,Scott Kalvert,1,Jim Carroll,Author,Known,White,0,Male,Leonardo DiCaprio
The Benny Goodman Story,http://www.imdb.com/title/tt0047873/,US,1956,-,Valentine Davies,1,Benny Goodman,Musician,Known,White,0,Male,Steve Allen
The Best Intentions,http://www.imdb.com/title/tt0104350/,UK,1992,$1.3M,Bille August,2,Erik Bergman,Other,Unknown,,0,Male,"With: Samuel FrÃƒÂ¶ler, Pernilla August, Max von Sydow"
The Best Intentions,http://www.imdb.com/title/tt0104350/,UK,1992,$1.3M,Bille August,2,Karin Ã…kerblom,Other,Unknown,,0,Female,
The Better Angels,http://www.imdb.com/title/tt2316868/,US,2014,-,A.J. Edwards,1,Abraham Lincoln,World leader,Known,White,0,Male,Jason Clarke
The Blind Side,http://www.imdb.com/title/tt0878804/,US,2009,$256M,John Lee Hancock,1,Michael Oher,Athlete,Known,African American,1,Male,Quinton Aaron
The Boy in Blue,http://www.imdb.com/title/tt0090769/,Canada,1986,$275K,Charles Jarrott,1,Ned Hanlan,Athlete,Known,White,0,Male,Nicolas Cage
The Brittany Murphy Story,http://www.imdb.com/title/tt3957278/,US,2014,-,Joe Menendez,1,Brittany Murphy,Actress,Known,White,0,Female,Amanda Fuller
The Broken Tower,http://www.imdb.com/title/tt1756791/,US,2011,-,James Franco,1,Harold Hart Crane,Author (poet),Unknown,,0,Male,James Franco
The Buddy Holly Story,http://www.imdb.com/title/tt0077280/,US,1978,-,Steve Rash,1,Buddy Holly,Singer,Known,Multi racial,0,Male,Gary Busey
The Chameleon,http://www.imdb.com/title/tt1359553/,US,2010,-, Jean-Paul SalomÃ©,1,FrÃ©dÃ©ric Fortin,Criminal,Known,Multi racial,1,Male,Marc-AndrÃ© Grondin
The Color of Freedom,http://www.imdb.com/title/tt0438859/,UK,2007,-,Bille August,1,James Gregory,Other,Known,White,0,Male,Joseph Fiennes
The Color of Time,http://www.imdb.com/title/tt2133333/,US,2012,-,"Edna Luise Biesold, Sarah-Violet Bliss",1,CK Williams,Author,Unknown,,0,Male,James Franco
The Conqueror,http://www.imdb.com/title/tt0049092/,US,1956,$4.5M,Dick Powell,1,Temujin (Genghis Khan),Military,Known,Asian,1,Male,John Wayne
The Countess,http://www.imdb.com/title/tt0496634/,US,2009,-,Julie Delpy,1,ErzsÃ©bet BÃ¡thory,Historical,Known,White,0,Female,Julie Delpy
The Court-Martial of Billy Mitchell,http://www.imdb.com/title/tt0047956/,US,1955,-,Otto Preminger,1,Billy Mitchell,Military,Known,White,0,Male,Gary Cooper
The Cross and the Switchblade,http://www.imdb.com/title/tt0068428/,US,1970,-,Don Murray,1,David Wilkerson,Other,Unknown,,0,Male,Pat Boone
The Damned United,http://www.imdb.com/title/tt1226271/,UK,2009,$450K,Tom Hooper,1,Brian Clough,Athlete,Unknown,,0,Male,Michael Sheen
The Desert Fox: The Story of Rommel,http://www.imdb.com/title/tt0043461/,US,1951,-,Henry Hathaway,1,Erwin Rommel,Military,Known,White,0,Male,James Mason
The Diary of Anne Frank,http://www.imdb.com/title/tt0052738/,US,1959,-,George Stevens,1,Anne Frank,Other,Known,White,0,Female,Millie Perkins
The Diving Bell and the Butterfly,http://www.imdb.com/title/tt0401383/,US,2007,$5.99M,Julian Schnabel,1,Jean-Dominique Bauby,Media,Known,White,0,Male,Mathieu Amalric
The Doors,http://www.imdb.com/title/tt0101761/,US,1991,$35.2M,Oliver Stone,1,Jim Morrison,Singer,Known,White,0,Male,Vil Kilmer
The Duchess,http://www.imdb.com/title/tt0864761/,US/UK,2008,$13.8M,Saul Dibb,1,Georgiana Cavendish,Other,Known,White,0,Female,Keira Knightley
The Eddy Duchin Story,http://www.imdb.com/title/tt0049170/,US,1956,-,George Sidney,1,Eddy Duchin,Musician,Unknown,,0,Male,Tyrone Power
The Edge of Love,http://www.imdb.com/title/tt0819714/,UK,2008,$28.6K,John Maybury,1,Dylan Thomas,Author (poet),Known,White,0,Male,Matthew Rhys
The Elephant Man,http://www.imdb.com/title/tt0080678/,US,1980,-,David Lynch,1,Joseph Merrick ,Other,Known,White,0,Male,John Hurt
The Entity,http://www.imdb.com/title/tt0082334/,US,1982,-,Sidney J. Furie,1,Doris Bither,Other,Unknown,,0,Female,Barbara Hershey
The Express,http://www.imdb.com/title/tt0469903/,US,2008,$9.59M,Gary Fleder,1,Ernie Davis,Athlete,Known,African American,1,Male,Rob Brown
The Falcon and the Snowman,http://www.imdb.com/title/tt0087231/,US/UK,1985,$17.1M,John Schlesinger,1,Christopher Boyce,Criminal,Unknown,,0,Male,Timothy Hutton
The Fifth Estate,http://www.imdb.com/title/tt1837703/,US,2013,$3.25M,Bill Condon,1,Julian Assange,Other,Known,White,0,Male,Benedict Cumberbatch
The Fighter,http://www.imdb.com/title/tt0964517/,US,2010,$93.6M,David O. Russell,1,Micky Ward,Athlete,Known,White,0,Male,Mark Wahlberg
The First Grader,http://www.imdb.com/title/tt0790663/,US,2010,$331K,Justin Chadwick,1,Kimani Ngâ€™angâ€™a Maruge,Other,Known,African,1,Male,Oliver Litondo
The Five Pennies,http://www.imdb.com/title/tt0052809/,US,1959,-,Melville Shavelson,1,"Loring ""Red"" Nichols",Musician,Unknown,,0,Male,Danny Kaye
The Frozen Ground,http://www.imdb.com/title/tt2005374/,US,2013,-,Scott Walker,2,Jack Halcombe,Other,Unknown,,0,Male,Nicolas Cage
The Frozen Ground,http://www.imdb.com/title/tt2005374/,US,2013,-,Scott Walker,2,Robert Hansen,Criminal,Known,White,0,Male,John Cusack
The Gallant Hours,http://www.imdb.com/title/tt0053849/,US,1960,-,Robert Montgomery,1,"William F. ""Bull"" Halsey, Jr.",Military,Known,White,0,Male,James Cagney
The Gaul,http://www.imdb.com/title/tt0199481/,Canada,2001,-,Jacques Dorfmann,1,Vercingetorix,Historical,Known,White,0,Male,Christopher Lambert
The General,http://www.imdb.com/title/tt0120706/,UK,1998,$1.21M,John Boorman,1,Martin Cahill,Criminal,Known,White,0,Male,Brendan Gleeson
The Girl in the Red Velvet Swing,http://www.imdb.com/title/tt0048119/,US,1955,-,Richard Fleischer,1,Evelyn Nesbit (Thaw),Actress,Known,White,0,Female,Joan Collins
The Glenn Miller Story,http://www.imdb.com/title/tt0047030/,US,1954,-,Anthony Mann,1,Glenn Miller,Musician,Known,White,0,Male,James Stewart
The Great Caruso,http://www.imdb.com/title/tt0043599/,US,1951,-,Richard Thorpe,1,Enrico Caruso,Musician,Known,White,0,Male,Mario Lanza
The Great Debaters,http://www.imdb.com/title/tt0427309/,US,2007,$30.2M,Denzel Washington,1,Melvin Tolson,Academic,Known,African American,1,Male,Denzel Washington
The Great Moment,http://www.imdb.com/title/tt0036880/,US,1944,-,Preston Sturges,1,W.T. Morton,Medicine,Unknown,,0,Male,Joel McCrea
The Great Waltz,http://www.imdb.com/title/tt0030202/,US,1938,-,Julien Duvivier,1,Johann Strauss II,Musician,Known,White,0,Male,Fernand Gravey
The Great Ziegfeld,http://www.imdb.com/title/tt0027698/,US,1936,-,Robert Z. Leonard,1,Florenz Ziegfeld,Musician,Known,White,0,Male,William Powell
The Greatest,http://www.imdb.com/title/tt0076111/,US/UK,1977,-,Tom Gries,1,Muhammad Ali,Athlete,Known,African American,1,Male,Muhammad Ali
The Greatest Story Ever Told,http://www.imdb.com/title/tt0059245/,US,1965,$8M,George Stevens,1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Max von Sydow
The Grey Fox,http://www.imdb.com/title/tt0085622/,Canada,1982,-,Phillip Borsos,1,Bill Miner,Other,Unknown,,0,Male,Richard Farnsworth
The Hammer,http://www.imdb.com/title/tt1094666/,US,2010,-,Oren Kaplan,1,Matt Hamill,Athlete,Unknown,,0,Male,Russell Harvard
The Happy Hooker,http://www.imdb.com/title/tt0073091/,US,1975,-,Nicholas Sgarro,1,Xaviera Hollander,Other,Known,White,0,Female,Lynn Redgrave
The House of Rothschild,http://www.imdb.com/title/tt0025272/,US,1934,-,Alfred L. Werker,1,Mayer Rothschild,Other,Known,White,0,Male,George Arliss
The Hunter,http://www.imdb.com/title/tt0080907/,US,1980,-,Buzz Kulik,1,"Ralph ""Papa"" Thorson",Other,Unknown,,0,Male,Steve McQueen
The Hurricane,http://www.imdb.com/title/tt0174856/,US,1999,$50.7M,Norman Jewison,1,"Rubin ""Hurricane"" Carter",Athlete,Known,African American,1,Male,Denzel Washington
The Iceman,http://www.imdb.com/title/tt1491044/,US,2012,$1.94M,Ariel Vromen,1,Richard Kuklinski,Criminal,Known,White,0,Male,Michael Shannon
The Idolmaker,http://www.imdb.com/title/tt0080913/,US,1980,-,Taylor Hackford,1,Bob Marcucci,Other,Unknown,,0,Male,Ray Sharkey
The Imitation Game,http://www.imdb.com/title/tt2084970/,US/UK,2014,$91.1M,Morten Tyldum,1,Alan Turing,Academic,Known,White,0,Male,Benedict Cumberbatch
The Inn of the Sixth Happiness,http://www.imdb.com/title/tt0051776/,US,1958,-,Mark Robson,1,Gladys Aylward,Other,Known,White,0,Female,Ingrid Bergman
The Insider,http://www.imdb.com/title/tt0140352/,US,1999,$29M,Michael Mann,1,Jeffrey Wigand,Activist,Unknown,,0,Male,Russell Crowe
The Invisible Woman,http://www.imdb.com/title/tt1700845/,UK,2013,$1.23M,Ralph Fiennes,1,Charles Dickens,Author,Known,White,0,Male,Ralph Fiennes
The Iron Lady,http://www.imdb.com/title/tt1007029/,UK,2011,$30M,Phyllida Lloyd,1,Margaret Thatcher,World leader,Known,White,0,Female,Meryl Streep
The Jackie Robinson Story,http://www.imdb.com/title/tt0042609/,US,1950,-,Alfred E. Green,1,Jackie Robinson,Athlete,Known,African American,1,Male,Jackie Robinson
The Jesus Film,http://www.imdb.com/title/tt0079368/,US,1979,-,"John Krish, Peter Sykes",1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Brian Deacon
The Jolson Story,http://www.imdb.com/title/tt0038661/,US,1946,-,Alfred E. Green,1,Al Jolson,Musician,Known,White,0,Male,Larry Parks
The King and I,http://www.imdb.com/title/tt0049408/,US,1956,-,Walter Lang,1,Anna Leonowens,Other,Known,Multi racial,0,Female,Deborah Kerr
The King of Kings,http://www.imdb.com/title/tt0018054/,US,1927,-,Cecil B. DeMille,1,Jesus,Historical,Known,Middle Eastern (White),0,Male,H.B. Warner
The King's Speech,http://www.imdb.com/title/tt1504320/,US/UK,2010,$139M,Tom Hooper,1,King George VI,Historical,Known,White,0,Male,Colin Firth
The Krays,http://www.imdb.com/title/tt0099951/,UK,1990,$2.06M,Peter Medak,2,Reginald Kray,Criminal,Known,Multi racial,0,Male,
The Krays,http://www.imdb.com/title/tt0099951/,UK,1990,$2.06M,Peter Medak,2,Ronald Kray,Criminal,Known,Multi racial,0,Male,"With: Gary Kemp, Martin Kemp, Billie Whitelaw"
The Lady,http://www.imdb.com/title/tt1802197/,UK,2011,-,Luc Besson,1,Aung San Suu Kyi,Activist,Known,Asian,1,Female,Michelle Yeoh
The Last Emperor,http://www.imdb.com/title/tt0093389/,UK,1987,$109K,Bernardo Bertolucci,1,Henry Pu Yi,World leader,Known,Asian,1,Male,John Lone
The Last King of Scotland,http://www.imdb.com/title/tt0455590/,UK,2006,$17.6M,Kevin Macdonald,1,Idi Amin,Other,Known,African,1,Male,Forest Whitaker
The Last of Robin Hood,http://www.imdb.com/title/tt2450440/,US,2013,$270K,"Richard Glatzer, Wash Westmoreland",1,Errol Flynn,Actor,Known,White,0,Male,Kevin Kline
The Last Ride,http://www.imdb.com/title/tt1605803/,US,2012,-,Harry Thomason,1,Hank Williams,Musician,Unknown,,0,Male,Henry Thomas
The Last Station,http://www.imdb.com/title/tt0824758/,UK,2009,$6.62M,Michael Hoffman,1,Leo Tolstoy,Author,Known,White,0,Male,Christopher Plummer
The Last Time I Committed Suicide,http://www.imdb.com/title/tt0119502/,US,1997,$12.8K,Stephen Kay,1,Neal Cassady,Author,Unknown,,0,Male,Thomas Jane
The Lawless Breed,http://www.imdb.com/title/tt0045992/,US,1953,-,Raoul Walsh,1,John Wesley Hardin,Criminal,Unknown,,0,Male,Rock Hudson
The Left Handed Gun,http://www.imdb.com/title/tt0051849/,US,1958,-,Arthur Penn,1,Henry McCarty (Billy the Kid),Criminal,Known,White,0,Male,Paul Newman
The Life and Death of Peter Sellers,http://www.imdb.com/title/tt0352520/,US,2004,-,Stephen Hopkins,1,Peter Sellers,Actor,Known,White,0,Male,Geoffrey Rush
The Life of Emile Zola,http://www.imdb.com/title/tt0029146/,US,1937,-,William Dieterle,1,Emile Zola,Author,Known,White,0,Male,Paul Muni
The Long Day Closes,http://www.imdb.com/title/tt0104753/,UK,1992,$22.8K,Terence Davies,1,Terence Davies,Other,Known,White,0,Male,Leigh McCormack
The Long Gray Line,http://www.imdb.com/title/tt0048312/,US,1955,-,John Ford,1,Marty Maher,Military,Known,White,0,Male,Tyrone Power
The Longshots,http://www.imdb.com/title/tt1091751/,US,2008,$11.5M,Fred Durst,1,Jasmine Plummer,Athlete,Known,African American,1,Female,Keke Palmer
The Look of Love,http://www.imdb.com/title/tt1951216/,US/UK,2013,$10.4K,Michael Winterbottom,1,Paul Raymond,Other,Unknown,,0,Male,Steve Coogan
The Lover,http://www.imdb.com/title/tt0101316/,UK,1992,$4.9M,Jean-Jacques Annaud,1,Marguerite Duras,Other,Known,White,0,Female,Jane March 
The Madness of King George,http://www.imdb.com/title/tt0110428/,UK,1994,$15.2M,Nicholas Hytner,1,George III of UK,Historical,Known,White,0,Male,Nigel Hawthorne
The Magic Box,http://www.imdb.com/title/tt0043769/,UK,1951,-,John Boulting,1,William Friese-Greene,Other,Unknown,,0,Male,Robert Donat
The Man Who Saw Tomorrow,http://www.imdb.com/title/tt0081109/,US,1981,-,Robert Guenette,1,Michel de Nostredame,Academic,Known,White,0,Male,Richard Butler
The Message,http://www.imdb.com/title/tt0074896/,UK,1977,-,Moustapha Akkad,1,Muhammad,Historical,Known,Middle Eastern,1,Male,Anthony Quinn
The Miracle Maker,http://www.imdb.com/title/tt0208298/,UK,2000,-,"Derek W. Hayes, Stanislav Sokolov",1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Ralph Fiennes
The Miracle Worker,http://www.imdb.com/title/tt0056241/,US,1962,-,Arthur Penn,2,Helen Keller,Other,Known,White,0,Female,Patty Duke
The Miracle Worker,http://www.imdb.com/title/tt0056241/,US,1962,-,Arthur Penn,2,Annie Sullivan,Other,Known,White,0,Female,Anne Bancroft
The Motorcycle Diaries,http://www.imdb.com/title/tt0318462/,US/UK,2004,$16.8M,Walter Salles,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Gael GarcÃ_a Bernal
The Music Lovers,http://www.imdb.com/title/tt0066109/,UK,1970,-,Ken Russell,1,Peter Ilych Tchaikovsky,Musician,Known,White,0,Male,Richard Chamberlain
The New World,http://www.imdb.com/title/tt0402399/,US/UK,2005,$12.7M,Terrence Malick,1,Pocahontas,Historical,Known,Native American,1,Female,Q'orianka Kilcher
The Night We Called It a Day,http://www.imdb.com/title/tt0320159/,US,2003,-,Paul Goldman,1,Frank Sinatra,Singer,Known,White,0,Male,Dennis Hopper
The Notorious Bettie Page,http://www.imdb.com/title/tt0404802/,US,2005,$1.41M,Mary Harron,1,Bettie Page,Other,Known,Multi racial,0,Female,Gretchen Mol
The Other Boleyn Girl,http://www.imdb.com/title/tt0467200/,US/UK,2008,$26.8M,Justin Chadwick,2,Anne Boleyn,Historical,Known,White,0,Female,Natalie Portman
The Other Boleyn Girl,http://www.imdb.com/title/tt0467200/,US/UK,2008,$26.8M,Justin Chadwick,2,Mary Boleyn,Historical,Known,White,0,Female,Scarlett Johansson
The Other Side of Heaven,http://www.imdb.com/title/tt0250371/,US,2001,$4.72M,Mitch Davis,1,John Groberg,Other,Unknown,,0,Male,Christopher Gorham
The Other Side of the Mountain,http://www.imdb.com/title/tt0073496/,US,1975,-,Larry Peerce,1,Jill Kinmont,Athlete,Unknown,,0,Female,Marilyn Hassett
The People vs. Larry Flynt,http://www.imdb.com/title/tt0117318/,US,1996,$20.2M,Milos Forman,1,Larry Flynt,Activist,Known,White,0,Male,Woody Harrelson
The Perils of Pauline,http://www.imdb.com/title/tt0039698/,US,1947,-,George Marshall,1,Pearl White,Actress,Unknown,,0,Female,Betty Hutton
The Pianist,http://www.imdb.com/title/tt0253474/,UK,2002,$32.5M,Roman Polanski,1,WÅ‚adysÅ‚aw Szpilman,Musician,Known,White,0,Male,Adrien Brody
The Pistol: The Birth of a Legend,http://www.imdb.com/title/tt0102674/,US,1991,-,Frank C. SchrÃ¶der,1,Pete Maravich,Athlete,Known,White,0,Male,Adam Guier
The Plainsman,http://www.imdb.com/title/tt0028108/,US,1936,-,Cecil B. DeMille,1,Wild Bill Hickok,Historical,Known,White,0,Male,"With: Gary Cooper, Jean Arthur, James Ellison"
The Pride of the Yankees,http://www.imdb.com/title/tt0035211/,US,1942,-,Sam Wood,1,Lou Gehrig,Athlete,Known,White,0,Male,Gary Cooper
The Prince of Egypt,http://www.imdb.com/title/tt0120794/,US,1998,$101M,"Brenda Chapman, Steve Hickner",2,Moses,Historical,Known,Middle Eastern (White),0,Male,Val Kilmer
The Prince of Egypt,http://www.imdb.com/title/tt0120794/,US,1998,$101M,"Brenda Chapman, Steve Hickner",2,Ramses,Historical,Known,Middle Eastern (White),0,Male,Ralph Fiennes
The Prisoner of Shark Island,http://www.imdb.com/title/tt0028141/,US,1936,-,John Ford,1,Samuel Mudd,Medicine,Known,White,0,Male,Warner Baxter
The Private Life of Henry VIII.,http://www.imdb.com/title/tt0024473/,UK,1933,-,Alexander Korda,1,Henry VIII,Historical,Known,White,0,Male,Charles Laughton
The Private Lives of Elizabeth and Essex,http://www.imdb.com/title/tt0031826/,US,1939,-,Michael Curtiz,2,Elizabeth I of England,Historical,Known,White,0,Female,Bette Davis
The Private Lives of Elizabeth and Essex,http://www.imdb.com/title/tt0031826/,US,1939,-,Michael Curtiz,2,"Robert Devereux, 2nd Earl of Essex",Historical,Known,White,0,Male,Errol Flynn
"The Prize Winner of Defiance, Ohio",http://www.imdb.com/title/tt0406158/,US,2005,$626K,Jane Anderson,1,Evelyn Ryan,Other,Unknown,,0,Female,Julianne Moore
The Pursuit of Happyness,http://www.imdb.com/title/tt0454921/,US,2006,$163M,Gabriele Muccino,1,Christopher Gardner,Other,Known,African American,1,Male,Will Smith
The Queen,http://www.imdb.com/title/tt0436697/,US/UK,2006,$56.4M,Stephen Frears,1,Queen Elizabeth II,Historical,Known,White,0,Female,Helen Mirren
The Railway Man,http://www.imdb.com/title/tt2058107/,UK,2013,$4.44M,Jonathan Teplitzky,1,Eric Lomax ,Military,Unknown,,0,Male,Colin Firth
The Red Baron,http://www.imdb.com/title/tt0365675/,UK,2008,$36.6K,Nikolai MÃƒÂ_llerschÃƒÂ¶n,1,Baron Manfred von Richthofen,Military,Known,White,0,Male,Matthias SchweighÃ¶fer
The Rocket: The Legend of Rocket Richard,http://www.imdb.com/title/tt0460505/,Canada,2005,-,Charles BinamÃƒÂ©,1,"Maurice ""The Rocket"" Richard",Athlete,Known,White,0,Male,Roy Dupuis
The Runaways,http://www.imdb.com/title/tt1017451/,US,2010,$3.57M,Floria Sigismondi,2,Joan Jett,Musician,Known,White,0,Female,Kristen Stewart
The Runaways,http://www.imdb.com/title/tt1017451/,US,2010,$3.57M,Floria Sigismondi,2,Cherie Currie,Musician,Unknown,,0,Female,Dakota Fanning
The Sessions,http://www.imdb.com/title/tt1866249/,US,2012,$6M,Ben Lewin,1,Mark O'Brien,Medicine,Unknown,,0,Male,John Hawkes
The Seven Little Foys,http://www.imdb.com/title/tt0048604/,US,1955,-,Melville Shavelson,1,"Eddie Foy, Sr.",Actor,Known,White,0,Male,Bob Hope
The Singing Nun,http://www.imdb.com/title/tt0060983/,US,1966,-,Henry Koster,1,Jeanne Deckers ,Musician,Known,White,0,Female,Debbie Reynolds
The Social Network,http://www.imdb.com/title/tt1285016/,US,2010,$96.9M,David Fincher,1,Mark Zuckerberg,Other,Unknown,,0,Male,Jesse Eisenberg
The Soloist,http://www.imdb.com/title/tt0821642/,US/UK,2009,$31.7M,Joe Wright,2,Nathaniel Ayers,Musician,Known,African American,1,Male,Jamie Foxx
The Soloist,http://www.imdb.com/title/tt0821642/,US/UK,2009,$31.7M,Joe Wright,2,Steve Lopez,Media,Unknown,,0,Male,"Robert Downey, Jr."
The Song of Bernadette,http://www.imdb.com/title/tt0036377/,US,1943,-,Henry King,1,Saint Bernadette Soubirous,Other,Known,White,0,Female,Jennifer Jones
The Soul Keeper,http://www.imdb.com/title/tt0349995/,UK,2002,-,Roberto Faenza,2,Carl Gustav Jung,Academic,Known,White,0,Male,Iain Glen
The Soul Keeper,http://www.imdb.com/title/tt0349995/,UK,2002,-,Roberto Faenza,2,Sabina Spielrein,Academic,Known,White,0,Female,Emilia Fox
The Sound of Music,http://www.imdb.com/title/tt0059742/,US,1965,$163M,Robert Wise,1,Maria von Trapp,Singer,Known,White,0,Female,Julie Andrews
The Spirit of St. Louis,http://www.imdb.com/title/tt0051003/,US,1957,-,Billy Wilder,1,Charles 'Slim' Lindbergh,Other,Known,White,0,Male,James Stewart
The Story of Alexander Graham Bell,http://www.imdb.com/title/tt0031981/,US,1939,-,Irving Cummings,1,Alexander Graham Bell,Academic,Known,White,0,Male,Don Ameche
The Story of Louis Pasteur,http://www.imdb.com/title/tt0028313/,US,1936,-,William Dieterle,1,Louis Pasteur,Academic,Known,White,0,Male,Paul Muni
The Story of Vernon and Irene Castle,http://www.imdb.com/title/tt0031983/,US,1939,$1.12M,H.C. Potter,2,Irene Castle,Artist,Unknown,,0,Female,Ginger Rogers
The Story of Vernon and Irene Castle,http://www.imdb.com/title/tt0031983/,US,1939,$1.12M,H.C. Potter,2,Vernon Castle,Artist,Unknown,,0,Male,Fred Astaire
The Straight Story,http://www.imdb.com/title/tt0166896/,US/UK,1999,$6.2M,David Lynch,1,Alvin Straight,Other,Unknown,,0,Male,Richard Farnsworth
The Stratton Story,http://www.imdb.com/title/tt0041928/,US,1949,-,Sam Wood,1,Monty Stratton,Athlete,Unknown,,0,Male,James Stewart
The Ten Commandments,http://www.imdb.com/title/tt0049833/,US,1956,$80M,Cecil B. DeMille,1,Moses,Historical,Known,Middle Eastern (White),0,Male,Charlton Heston
The Theory of Everything,http://www.imdb.com/title/tt2980516/,UK,2014,$35.9M,James Marsh,1,Steven Hawking,Academic,Known,White,0,Male,Eddie Redmayne
The Toast of New York,http://www.imdb.com/title/tt0029675/,US,1937,-,Rowland V. Lee,1,James Fisk,Criminal,Known,White,0,Male,Edward Arnold
The Trials of Oscar Wilde,http://www.imdb.com/title/tt0054403/,UK,1960,-,Ken Hughes,1,Oscar Wilde,Author,Known,White,0,Male,Peter Finch
The True Story of Jesse James,http://www.imdb.com/title/tt0051114/,US,1957,-,Nicholas Ray,1,Jesse James,Criminal,Known,White,0,Male,Robert Wagner
The Unsinkable Molly Brown,http://www.imdb.com/title/tt0058708/,US,1964,-,Charles Walters,1,Molly Brown,Other,Known,White,0,Female,Debbie Reynolds
The Visual Bible: The Gospel of John,http://www.imdb.com/title/tt0377992/,Canada/UK,2003,$4.07M,Philip Saville,1,Jesus,Historical,Known,Middle Eastern (White),0,Male,Henry Ian Cusick
The Whistleblower,http://www.imdb.com/title/tt0896872/,US/Canada,2010,$1.12M,Larysa Kondracki,1,Kathryn Bolkovac,Other,Known,White,0,Female,Rachel Weisz
The Whole Wide World,http://www.imdb.com/title/tt0118163/,US,1996,$137K,Dan Ireland,2,Robert Howard,Author,Known,White,0,Male,Vincent D'Onofrio
