"food","characteristic","p_values"
"D_YOGURT","heart_disease",0.78779
"COLDCEREALQUAN","cancer",0.787843
"LIGHTHOUSETIME","diabetes",0.787862
"ORANGEJUICEQUAN","atheist",0.787894
"MILKTYPE","cat",0.787914
"GROUP_ICE_TEA_BOTTLE_SUGAR_TOTAL_GRAMS","favCable",0.787927
"GROUP_ICE_TEA_BOTTLE_SUGAR_TOTAL_GRAMS","quit_smoking",0.787927
"MEATBALLSFREQ","mathReading",0.78804
"PEANUTBUTTERQUAN","mathReading",0.78804
"F22D1C","mathReading",0.78812
"AVOCADOQUAN","smoke_rarely",0.788134
"GROUP_HOT_TEA_DECAF_TOTAL_GRAMS","Jewish",0.788144
"GROUP_HOT_TEA_DECAF_TOTAL_GRAMS","smoke_often",0.788144
"WATERFREQ","diabetes",0.788329
"FRIEDORBREADEDCHICKENFREQ","heart_disease",0.788443
"BIKESWIMTIME","readingMath",0.788443
"SODAFREQ","heart_disease",0.788451
"COCOAFREQ","rash",0.788526
"PIZZAQUAN","yesCrash",0.788552
"GROUP_CANDY_NOT_CHOCOLATE_TOTAL_GRAMS","noCrash",0.788573
"DT_MOIS","quit_smoking",0.788632
"DT_MFAT","smoke_often",0.788649
"LOWMINS","never_smoked",0.788649
"LOWMINS","ever_smoked",0.788649
"GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS","right_hand",0.788809
"ICEDTEATYPE","right_hand",0.788815
"GL","cancer",0.788829
"WINEFREQ","right_hand",0.788899
"BERRIESQUAN","favCable",0.7889
"GROUP_COOK_FAT_CORN_VEGETABLE_OIL_BLENDS_TOTAL_GRAMS","smoke_rarely",0.788941
"COTTAGECHEESEFREQ","unfavCable",0.788992
"GROUP_BREAD_MULTI_GRAIN_TOTAL_GRAMS","readingMath",0.789091
"GROUP_GRAVY_RICH_SAUCE_PEANUT_SAUCE_MOLE_TOTAL_GRAMS","smoke_rarely",0.789194
"SALMONQUAN","favCable",0.789225
"GROUP_BROCCOLI_BRUSSEL_SPROUTS_CHINESE_BROCCOLI_TOTAL_GRAMS","currently_smoke",0.789284
"GROUP_COOKIES_REGULAR_TOTAL_GRAMS","cancer",0.789292
"AV_TOT_S","smoke_rarely",0.789318
"SITSTR","cancer",0.789345
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","favCable",0.789354
"GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS","heart_disease",0.789371
"WHITERICEFREQ","heart_disease",0.789406
"PASTRIESQUAN","heart_disease",0.789406
"PASTRIESQUAN","cat",0.789406
"MALS","atheist",0.78941
"SLOWWALKFREQ","never_smoked",0.789445
"SLOWWALKFREQ","ever_smoked",0.789445
"ENERGYDRINKSQUAN","readingMath",0.789551
"CHOCOLATECANDYFREQ","mathReading",0.78959
"GROUP_CHICKEN_OR_TURKEY_MIXED_DISH_TOTAL_GRAMS","cancer",0.789591
"ORANGESFREQ","noCrash",0.789619
"GROUP_NON_FAT_SKIM_MILK_TOTAL_GRAMS","smoke_rarely",0.789625
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","rash",0.789702
"PF_SEAFD_LOW","belly",0.78972
"COCKTAILSQUAN","left_hand",0.789746
"COCKTAILSQUAN","yesCrash",0.789746
"HEAVYWORKFREQ","neutralCable",0.789761
"HEAVYWORKFREQ","uhCrash",0.789761
"D_TOTAL","diabetes",0.789784
"PSDAIRY","diabetes",0.789784
"GROUP_SHREDDED_WHEAT_TOTAL_GRAMS","smoke_often",0.789846
"GROUP_SHREDDED_WHEAT_TOTAL_GRAMS","Jewish",0.789846
"PIZZAQUAN","smoke_rarely",0.789922
"BEERFREQ","smoke_rarely",0.789957
"DT_P184","right_hand",0.790004
"GROUP_MAYO_LIGHT_LOW_FAT_TOTAL_GRAMS","Dems",0.790019
"SALMONFREQ","Dems",0.790083
"DT_P184","cat",0.790115
"DT_MOIS","smoke_rarely",0.790118
"GROUP_OTHER_NOODLES_WHOLE_GRAIN_TOTAL_GRAMS","dog",0.790202
"ILE_G","atheist",0.790211
"GROUP_SANDWICH_BUNS_WHOLEGRAIN_TOTAL_GRAMS","smoke_rarely",0.790396
"GROUP_COOKIES_LOW_FAT_TOTAL_GRAMS","smoke_rarely",0.790547
"DT_NITROGEN","readingMath",0.790569
"FRIESFREQ","unfavCable",0.79067
"GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS","readingMath",0.790713
"GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS","noCrash",0.790753
"SUP_B6","Jewish",0.79078
"SUP_B6","smoke_often",0.79078
"GROUP_SWEETS_TOTAL_FREQUENCY","favCable",0.790808
"VIGMINS","mathReading",0.790926
"GROUP_SAUSAGE_BACON_TOTAL_GRAMS","rash",0.790936
"GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS","Dems",0.790977
"TUNAFREQ","heart_disease",0.791018
"PEANUTBUTTERFREQ","Jewish",0.791094
"OTHERNUTSQUAN","Jewish",0.791094
"GROUP_BAGELS_WHOLEGRAIN_TOTAL_GRAMS","atheist",0.79113
"BEEFPORKDISHFREQ","smoke_rarely",0.791198
"F16D1T","currently_smoke",0.791219
"QUERCE","diabetes",0.79122
"T_FLAVONES","dog",0.791261
"COOKINGFATCANOLA","noCrash",0.791302
"COOKINGFATCANOLA","atheist",0.791302
"PSVEGNBP","smoke_rarely",0.791321
"YOGURTKIND","mathReading",0.791341
"WINETYPE","mathReading",0.791381
"BUNSFREQ","mathReading",0.791404
"GROUP_POPCORN_LOW_FAT_LIGHT_TOTAL_GRAMS","smoke_rarely",0.791411
"GROUP_FROSTED_MINI_WHEATS_TOTAL_GRAMS","noCrash",0.791461
"GROUP_GRANOLA_TOTAL_GRAMS","Dems",0.79148
"F18D2CN6","yesCrash",0.791495
"DT_ATOC","noCrash",0.791511
"COFFEEQUAN","atheist",0.791579
"POPSICLESQUAN","heart_disease",0.791639
"BETN_C","cancer",0.791671
"DT_VITB6","Jewish",0.791687
"SODATYPE","neutralCable",0.791826
"OILS","smoke_rarely",0.791857
"WALNUTSQUAN","atheist",0.791923
"MET_G","quit_smoking",0.79193
"CANNEDFRUITFREQ","uhCrash",0.79207
"LUTEOL","smoke_often",0.792092
"GROUP_FEET_NECK_TAIL_TONGUE_CHITLINS_TOTAL_GRAMS","belly",0.792128
"COOKIESFREQ","right_hand",0.792163
"SUP_VITA","dog",0.792173
"DT_PROT_ANIMAL","rash",0.79225
"LUNCHMEATQUAN","ever_smoked",0.792296
"LUNCHMEATQUAN","never_smoked",0.792296
"GROUP_PORK_FAT_OFF_TOTAL_GRAMS","atheist",0.792319
"LUNCHMEATFREQ","yesCrash",0.792338
"GLYCTEIN","diabetes",0.792442
"TOCPHB","rash",0.79246
"DT_VITB6","cat",0.792484
"GROUP_BAGELS_WHOLEGRAIN_TOTAL_GRAMS","smoke_often",0.792558
"GROUP_BAGELS_WHOLEGRAIN_TOTAL_GRAMS","Jewish",0.792558
"HOTDOGQUAN","heart_disease",0.792658
"PSOILS","smoke_rarely",0.792675
"BOTHKINDSHOTTEATYPE","Dems",0.792702
"OTHERSOUPFREQ","mathReading",0.792766
"CORNQUAN","right_hand",0.792793
"COUMESTROL","right_hand",0.792851
"THEAFLAVIN","atheist",0.792905
"GROUP_TORTILLA_OR_CORN_CHIPS_CORN_NUTS_TOTAL_GRAMS","currently_smoke",0.792996
"POPCORNTYPE","readingMath",0.79304
"MILKFREQ","noCrash",0.793095
"DONUTSFREQ","cancer",0.793234
"TOMATOJUICEQUAN","quit_smoking",0.793287
"HICQUAN","rash",0.793363
"GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS","noCrash",0.79341
"GROUP_MILKY_COFFEE_DRINK_ANY_KIND_TOTAL_GRAMS","smoke_often",0.793447
"GROUP_MILKY_COFFEE_DRINK_ANY_KIND_TOTAL_GRAMS","Jewish",0.793447
"VITK1D","cat",0.79349
"GROUP_BEER_LIGHT_LOW_CARB_TOTAL_GRAMS","right_hand",0.793526
"GROUP_DRINKS_WITH_SOME_JUICE_TOTAL_GRAMS","cancer",0.793558
"GROUP_OTHER_EGGS_OR_OMELETS_TOTAL_GRAMS","unfavCable",0.793562
"COCKTAILSQUAN","Jewish",0.79359
"ASP_G","cat",0.793725
"GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS","Jewish",0.793753
"THEAFLV33D","atheist",0.793776
"GROUP_CHEESE_LOW_FAT_TOTAL_GRAMS","mathReading",0.793845
"GROUP_SHREDDED_WHEAT_TOTAL_GRAMS","neutralCable",0.793869
"PIZZAFREQ","neutralCable",0.793946
"OTHERBREADSFREQ","left_hand",0.793978
"COOKIESQUAN","yesCrash",0.794005
"GROUP_TURKEY_BURGER_THE_MEAT_TOTAL_GRAMS","smoke_often",0.794013
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","unfavCable",0.794125
"SUCS","yesCrash",0.794177
"G_REFINED","unfavCable",0.794181
"EPICATECG3","smoke_often",0.794194
"GROUP_HOT_DOG_BEEF_OR_PORK_TOTAL_GRAMS","cancer",0.794224
"TOFUQUAN","mathReading",0.794228
"DT_LYCO","cat",0.794286
"BCOMPLEXTYPEVITSAMOUNT","Jewish",0.794336
"BCOMPLEXTYPEVITSAMOUNT","smoke_often",0.794336
"TOCTRB","unfavCable",0.794365
"GROUP_A_SUGBEV_TOTAL_KCAL","cat",0.794367
"F13D0","yesCrash",0.79443
"F18D1TN7","atheist",0.794522
"GROUP_A_SUGBEV_TOTAL_KCAL","left_hand",0.794539
"PUDDINGQUAN","readingMath",0.794551
"SUGARINTEA","readingMath",0.794551
"DONTEATORDONTKNOWCEREALTYPE","readingMath",0.794551
"SNACKS","smoke_often",0.794583
"FATRNP","atheist",0.794592
"CEREALBARSFREQ","heart_disease",0.794615
"F18D2T","dog",0.794734
"DT_B12AD","neutralCable",0.794767
"GROUP_YOGURT_PLAIN_NON_FAT_TOTAL_GRAMS","dog",0.794837
"ICECREAMFREQ","left_hand",0.795045
"GROUP_OTHER_CRACKERS_FILLED_PRETZELS_REGULAR_TOTAL_GRAMS","cat",0.795063
"WHITERICEQUAN","left_hand",0.795124
"GROUP_BEER_REGULAR_TOTAL_GRAMS","yesCrash",0.795184
"F20D3N3","Jewish",0.795228
"DT_M201","mathReading",0.7953
"G_WHOLE","Jewish",0.795389
"PSGWHL","Jewish",0.795389
"OTHERFRUITJUICESQUAN","left_hand",0.795489
"CAKESFREQ","left_hand",0.795557
"GLY_G","cat",0.795679
"HICFREQ","quit_smoking",0.795682
"GROUP_FRENCH_FRIES_FRIED_POTATOES_TOTAL_GRAMS","heart_disease",0.795702
"OTHERFRUITJUICESQUAN","neutralCable",0.79572
"OTHERFRESHFRUITFREQ","diabetes",0.795809
"FIBERSUPPAMOUNT","diabetes",0.795834
"PF_POULT","mathReading",0.795851
"GROUP_TABLE_SALT_TOTAL_GRAMS","unfavCable",0.79588
"GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS","cancer",0.795881
"OTHERSOUPFREQ","ever_smoked",0.795915
"OTHERSOUPFREQ","never_smoked",0.795915
"OTHERSOUPFREQ","readingMath",0.795915
"THEAFLV3PG","atheist",0.79596
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","cat",0.795986
"GROUP_OTHER_CRACKERS_FILLED_PRETZELS_REGULAR_TOTAL_GRAMS","heart_disease",0.796014
"GLU_G","smoke_often",0.796042
"GROUP_PICKLES_SAUERKRAUT_KIMCHI_TOTAL_GRAMS","currently_smoke",0.796094
"BERRIESFREQ","quit_smoking",0.796147
"ILE_G","Jewish",0.796219
"SPAGHETTIFREQ","unfavCable",0.796267
"GREENBEANSFREQ","noCrash",0.796313
"MEATSUBSTITUTESFREQ","belly",0.796613
"GROUP_WINE_RED_TOTAL_GRAMS","left_hand",0.796615
"APIGEN","uhCrash",0.796644
"CALCIUMAMOUNT","diabetes",0.796668
"COLDCEREALQUAN","readingMath",0.796671
"SLOWWALKTIME","yesCrash",0.796691
"SLOWWALKTIME","left_hand",0.796691
"RAWTOMATOESQUAN","yesCrash",0.796691
"PICKLESQUAN","left_hand",0.796691
"OTHERPIESFREQ","atheist",0.796699
"JOBLIFTFREQ","atheist",0.796699
"SNACKS","smoke_rarely",0.796723
"MAYOQUAN","rash",0.796747
"GROUP_FEET_NECK_TAIL_TONGUE_CHITLINS_TOTAL_GRAMS","dog",0.796758
"GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS","quit_smoking",0.796776
"GROUP_HI_C_CRANBERRY_JUICE_TANG_TOTAL_GRAMS","readingMath",0.796841
"DT_PHOS","mathReading",0.796954
"MARGARINEQUAN","rash",0.79703
"GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS","smoke_rarely",0.797052
"VEALLAMBGAMEQUAN","right_hand",0.797093
"GROUP_TURKEY_BURGER_THE_MEAT_TOTAL_GRAMS","readingMath",0.797204
"REFRIEDBEANSFREQ","Dems",0.797205
"GROUP_LATTE_CAPPUCCINO_WHOLE_MILK_TOTAL_GRAMS","smoke_often",0.797276
"GROUP_HOT_TEA_BOTH_KINDS_TOTAL_GRAMS","right_hand",0.797294
"SUP_OM_6","Jewish",0.797387
"GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS","diabetes",0.797406
"GROUP_POPCORN_TOTAL_GRAMS","smoke_rarely",0.797407
"GROUP_CHICKEN_OR_TURKEY_MIXED_DISH_TOTAL_GRAMS","never_smoked",0.797552
"GROUP_CHICKEN_OR_TURKEY_MIXED_DISH_TOTAL_GRAMS","ever_smoked",0.797552
"CANNEDFRUITQUAN","currently_smoke",0.797653
"BUTTERQUAN","atheist",0.797653
"CREAMINCOFFEE","Jewish",0.797653
"CANNEDFRUITQUAN","belly",0.797653
"PASTRIESFREQ","readingMath",0.797821
"WEEDYARDFREQ","uhCrash",0.797831
"GROUP_CHEX_WHEAT_TOTAL_GRAMS","smoke_often",0.797833
"GROUP_CHEX_WHEAT_TOTAL_GRAMS","Jewish",0.797833
"DT_MFAT","currently_smoke",0.797957
"GROUP_SOLID_TOTAL_GRAMS","cat",0.797985
"BETN_C","atheist",0.798065
"D_MILK","noCrash",0.798071
"BIKESWIMFREQ","cancer",0.798177
"GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS","smoke_often",0.798189
"GROUP_BEER_NON_ALCOHOLIC_TOTAL_GRAMS","Jewish",0.798189
"GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS","currently_smoke",0.79827
"ALA_G","smoke_often",0.79851
"GROUP_MEAT_LOAF_MEAT_BALLS_TOTAL_GRAMS","cat",0.798606
"WALNUTSFREQ","cat",0.798672
"LOWMINS","yesCrash",0.798678
"MEALS","cat",0.798684
"COCOAFREQ","heart_disease",0.798738
"FLD","Dems",0.798892
"SLICEDCHEESEFREQ","smoke_often",0.798917
"GROUP_ICE_CREAM_REGULAR_TOTAL_GRAMS","dog",0.798948
"DT_PROT","Jewish",0.798972
"DT_TFOL","yesCrash",0.799011
"MAYOFREQ","smoke_rarely",0.799018
"CALCIUMQUAN","cancer",0.799039
"CAKESQUAN","dog",0.799051
"GROUP_TACOS_BURRITOS_ENCHILADAS_WITH_MEAT_TOTAL_GRAMS","Jewish",0.799109
"GROUP_BEER_LIGHT_LOW_CARB_TOTAL_GRAMS","Jewish",0.799113
"GROUP_BEER_LIGHT_LOW_CARB_TOTAL_GRAMS","smoke_often",0.799113
"GROUP_OTHER_EGGS_OR_OMELETS_TOTAL_GRAMS","dog",0.79919
"JAMQUAN","cancer",0.799222
"OTHERFRUITJUICESQUAN","Jewish",0.799233
"DT_LYCO","smoke_rarely",0.799243
"COOKINGFATOLIVE","neutralCable",0.799337
"SUP_ZINC","Dems",0.799353
"OTHERNOODLESTYPE","smoke_often",0.799378
"BARBECUESAUCEFREQ","Dems",0.799397
"ASP_G","noCrash",0.799712
"COFFEEDRINKSFREQ","neutralCable",0.799734
"PELARGDIN","never_smoked",0.799818
"PELARGDIN","ever_smoked",0.799818
"VITAMINDAMOUNT","ever_smoked",0.799874
"VITAMINDAMOUNT","never_smoked",0.799874
"KCAL_EXPENDITURE_ALL","left_hand",0.799933
"D_YOGURT","right_hand",0.800133
"DT_P184","left_hand",0.800315
"DT_ATOC","readingMath",0.800322
"OTHERCANDIESQUAN","currently_smoke",0.80036
"OTHERCANDIESQUAN","belly",0.80036
"DT_S100","diabetes",0.800384
"GROUP_SWEETS_TOTAL_GRAMS","currently_smoke",0.800446
"COLDCEREALFREQ","favCable",0.800458
"GROUP_BREAD_MULTI_GRAIN_TOTAL_GRAMS","neutralCable",0.80051
"PANCAKEFREQ","right_hand",0.800514
"GROUP_OATMEAL_SQUARES_OAT_BRAN_TOTAL_GRAMS","dog",0.800575
"ICECREAMFREQ","never_smoked",0.800654
"ICECREAMFREQ","ever_smoked",0.800654
"SUP_CA","mathReading",0.800672
"WHOLEGRAINCRACKERSQUAN","diabetes",0.800675
"OTHERPIESFREQ","mathReading",0.800718
"MEALS","belly",0.800818
"OTHERBREADSQUAN","belly",0.800818
"OTHERBREADSQUAN","currently_smoke",0.800818
"GROUP_FEET_NECK_TAIL_TONGUE_CHITLINS_TOTAL_GRAMS","quit_smoking",0.800838
"ICEDTEAFREQ","readingMath",0.800844
"DT_P226","Dems",0.80091
"GROUP_HOT_DOG_BEEF_OR_PORK_TOTAL_GRAMS","readingMath",0.801014
"GROUP_CANNED_FRUIT_APPLESAUCE_WITH_CANNED_CITRUS_TOTAL_GRAMS","favCable",0.80108
"PF_CUREDMEAT","currently_smoke",0.801134
"COOKEDGREENSQUAN","diabetes",0.80116
"SPAGHETTITYPE","Jewish",0.80116
"QUERCE","smoke_often",0.801168
"GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS","favCable",0.801217
"GROUP_YOGURT_PLAIN_FULL_FAT_TOTAL_GRAMS","dog",0.801264
"BRISKWALKTIME","favCable",0.801271
"PRENATALVITSAMOUNT","cat",0.801357
"TOCTRD","yesCrash",0.801426
"OXALIC_ACID","neutralCable",0.801433
"PF_TOTAL","Dems",0.801459
"SUP_NIAC","Dems",0.801527
"GROUP_FRIED_OR_COATED_CHIX_ATE_SKIN_TOTAL_GRAMS","heart_disease",0.801572
"DT_CRYPT","smoke_rarely",0.801628
"FLD","noCrash",0.801729
"DONUTSQUAN","heart_disease",0.801831
"VEGETABLESOUPQUAN","cat",0.801831
"DONUTSQUAN","cat",0.801831
"VITAMINCAMOUNT","readingMath",0.801915
"F22D0","diabetes",0.801935
"CHOLNPTC","mathReading",0.801994
"COCOAFREQ","smoke_often",0.801996
"GROUP_ORANGE_TANGERINE_GRAPEFRUIT_FRESH_TOTAL_GRAMS","rash",0.802041
"F20D2CN6","yesCrash",0.802099
"OTHERCRACKERSFREQ","neutralCable",0.802109
"OTHERCRACKERSFREQ","uhCrash",0.802109
"COUMESTROL","Jewish",0.802359
"MAYOQUAN","cancer",0.802364
"GNSTEIN","smoke_rarely",0.802414
"GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS","rash",0.802414
"FRUS","mathReading",0.802431
"POTATOESQUAN","favCable",0.80245
"GROUP_PICKLES_SAUERKRAUT_KIMCHI_TOTAL_GRAMS","cat",0.802485
"HOTTEAFREQ","dog",0.802498
"OILS_M","smoke_rarely",0.802544
"DT_S040","rash",0.802558
"DT_P182","belly",0.802566
"GROUP_YOGURT_SWEET_FULL_FAT_TOTAL_GRAMS","dog",0.802574
"DT_VITK","dog",0.802653
"ANTIOXIDANTCOMBOAMOUNT","never_smoked",0.802713
"ANTIOXIDANTCOMBOAMOUNT","ever_smoked",0.802713
"PRENATALVITSYEARS","dog",0.802716
"ICECREAMTYPE","currently_smoke",0.802728
"RIBSQUAN","atheist",0.802758
"SUP_CA","noCrash",0.802862
"GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS","mathReading",0.802885
"GROUP_CHEESE_LOW_FAT_TOTAL_GRAMS","cat",0.802909
"F18D2T","Jewish",0.803044
"DT_CARB","dog",0.803079
"GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS","left_hand",0.803114
"GROUP_HAMBURGER_PATTY_TOTAL_GRAMS","left_hand",0.803239
"DT_KCAL","unfavCable",0.803319
"GROUP_FRIED_OR_COATED_CHIX_ATE_SKIN_TOTAL_GRAMS","right_hand",0.803345
"CANNEDFRUITQUAN","dog",0.80337
"PUMPKINPIEQUAN","noCrash",0.803457
"DT_VARAE","readingMath",0.803617
"PF_POULT","dog",0.803633
"RAWTOMATOESFREQ","diabetes",0.803677
"FATONMEATTYPE","smoke_rarely",0.803695
"GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS","uhCrash",0.803729
"DT_KCAL","never_smoked",0.803746
"DT_KCAL","ever_smoked",0.803746
"SER_G","Jewish",0.803799
"OTHERNOODLESTYPE","diabetes",0.803815
"BAGELTYPE","neutralCable",0.803856
"GROUP_COFFEE_DECAF_TOTAL_GRAMS","smoke_rarely",0.803933
"MAYOTYPE","never_smoked",0.803962
"MAYOTYPE","ever_smoked",0.803962
"VITE_IU","rash",0.803963
"OTHERCRACKERSQUAN","unfavCable",0.804025
"GROUP_CHICKEN_OR_TURKEY_MIXED_DISH_TOTAL_GRAMS","neutralCable",0.804084
"DONUTSQUAN","Dems",0.804099
"MODMINS","favCable",0.804163
"KCAL_EXPENDITURE_RECR","neutralCable",0.804358
"ALA_G","Jewish",0.804502
"LUNCHMEATQUAN","Dems",0.80453
"SALSAQUAN","currently_smoke",0.80455
"SALSAQUAN","belly",0.80455
"GROUP_GRAVY_RICH_SAUCE_PEANUT_SAUCE_MOLE_TOTAL_GRAMS","noCrash",0.80463
"SITSTR","diabetes",0.804635
"GROUP_LIVER_LIVERWURST_TOTAL_GRAMS","yesCrash",0.804691
"GROUP_ANY_OTHER_VEGETABLE_TOTAL_GRAMS","atheist",0.8047
"GROUP_PIZZA_PIZZA_POCKETS_TOTAL_GRAMS","smoke_rarely",0.804771
"F20D0","uhCrash",0.804808
"APIGEN","belly",0.804821
"PAC_1","ever_smoked",0.804881
"PAC_1","never_smoked",0.804881
"CHOLNPC","unfavCable",0.804884
"ROASTCHICKENQUAN","diabetes",0.804945
"MEATBALLSQUAN","diabetes",0.804945
"CHOLNPC","heart_disease",0.804975
"TYR_G","Jewish",0.805059
"F_CITMLB","yesCrash",0.80512
"BISCUITQUAN","currently_smoke",0.805128
"BISCUITQUAN","belly",0.805128
"GROUP_PANCAKES_WAFFLES_FRENCH_TOAST_CREPES_WITH_SYRUP_TOTAL_GRAMS","noCrash",0.805161
"OTHERPIESQUAN","Dems",0.805326
"BANANASQUAN","Dems",0.805326
"POPSICLESFREQ","noCrash",0.805339
"POPSICLESFREQ","atheist",0.805339
"GROUP_PORK_FAT_OFF_TOTAL_GRAMS","quit_smoking",0.805359
"GROUP_PORK_FAT_ON_TOTAL_GRAMS","Dems",0.805464
"FRIEDORBREADEDFISHQUAN","heart_disease",0.805508
"PUDDINGQUAN","heart_disease",0.805508
"SUGARINTEA","cat",0.805508
"SODATYPE","smoke_rarely",0.805508
"DT_ATAD","dog",0.805582
"GROUP_CHEESE_FULL_FAT_TOTAL_GRAMS","cat",0.805656
"ORANGESQUAN","Jewish",0.805676
"ORANGESQUAN","smoke_often",0.805676
"GROUP_POPCORN_REGULAR_TOTAL_GRAMS","right_hand",0.805718
"GROUP_DONUTS_TOTAL_GRAMS","left_hand",0.805857
"F22D1C","rash",0.805886
"HAMBURGERFREQ","never_smoked",0.805975
"HAMBURGERFREQ","readingMath",0.805975
"HAMBURGERFREQ","ever_smoked",0.805975
"GLUS","Jewish",0.805998
"FRIEDORBREADEDFISHFREQ","rash",0.806024
"DT_S100","unfavCable",0.806206
"PICKLESFREQ","cat",0.806341
"SALTQUAN","Dems",0.806379
"V_STARCHY_POTATO","smoke_rarely",0.806451
"PSVEGPOT","smoke_rarely",0.806451
"D_MILK","favCable",0.806514
"GLYCTEIN","unfavCable",0.80655
"GROUP_COOK_FAT_BUTTER_OR_GHEE_TOTAL_GRAMS","cat",0.806568
"DT_S180","uhCrash",0.8066
"GROUP_CHICKEN_OR_TURKEY_MIXED_DISH_TOTAL_GRAMS","mathReading",0.806628
"GROUP_SODA_SUGAR_CAFFEINE_TOTAL_GRAMS","unfavCable",0.80663
"THEAFLV3PG","left_hand",0.806795
"KAEMF","heart_disease",0.806895
"GROUP_CHOCOLATE_CANDY_TOTAL_GRAMS","heart_disease",0.806926
"GROUP_WATER_BOTTLED_OR_TAP_TOTAL_GRAMS","Jewish",0.806944
"CORNCHIPSQUAN","diabetes",0.806972
"GROUP_BAGELS_MIX_TOTAL_GRAMS","atheist",0.807018
"CREAMINCOFFEE","belly",0.807128
"METMINRECR","unfavCable",0.807135
"ISORHMNTN","unfavCable",0.807167
"ICEDTEAQUAN","belly",0.807169
"PORKCHOPSQUAN","yesCrash",0.807199
"WEEDYARDFREQ","right_hand",0.807351
"GROUP_VEGETABLE_SOUP_TOTAL_GRAMS","currently_smoke",0.807394
"GROUP_CHOCOLATE_MILK_COCOA_HOT_CHOCOLATE_TOTAL_GRAMS","noCrash",0.807448
"ADSUG_NA","right_hand",0.807472
"DT_TRFAT","atheist",0.807518
"GROUP_MEAT_SUBSTITUTES_VEGETABLE_MEATS_TOTAL_GRAMS","noCrash",0.807571
"SALADDRESSINGSTYPE","neutralCable",0.807649
"G_TOTAL","atheist",0.807805
"PSGTOT","atheist",0.807805
"VITAMINDYEARS","mathReading",0.807811
"PANCAKEFREQ","Dems",0.807831
"DT_VARAE","dog",0.807861
"COFFEEDRINKSTYPE","uhCrash",0.808024
"HICQUAN","atheist",0.808146
"TRP_G","mathReading",0.808168
"DT_MOIS","rash",0.808273
"GROUP_HOT_DOG_BEEF_OR_PORK_TOTAL_GRAMS","smoke_rarely",0.808353
"TOCTRD","quit_smoking",0.808375
"TORTILLASTYPE","currently_smoke",0.808386
"SUP_VITC","uhCrash",0.808386
"SUP_CU","yesCrash",0.808391
"GREENSALADQUAN","smoke_rarely",0.808416
"OMEGASUPPYEARS","smoke_rarely",0.808416
"CHOLNPC","smoke_often",0.808418
"GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS","cat",0.80842
"RIBSQUAN","smoke_often",0.808422
"RIBSQUAN","Jewish",0.808422
"SLICEDCHEESETYPE","rash",0.808497
"GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS","Jewish",0.808506
"GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS","rash",0.808603
"F16D1T","Jewish",0.808682
"OTHERCHIPSFREQ","unfavCable",0.808713
"GREENSALADFREQ","currently_smoke",0.80874
"COOKINGFATOLIVE","atheist",0.808788
"GROUP_BUTTER_AT_TABLE_TOTAL_GRAMS","neutralCable",0.808872
"T_FLAVONES","smoke_often",0.80898
"GLYCTEIN","noCrash",0.80912
"F24D0","smoke_rarely",0.809176
"CAKESTYPE","unfavCable",0.809184
"F_OTHER","unfavCable",0.809341
"TACOQUAN","diabetes",0.809407
"GROUP_FRIED_OR_COATED_CHICKEN_TURKEY_TOTAL_GRAMS","yesCrash",0.809534
"ENERGYDRINKSFREQ","quit_smoking",0.809554
"GROUP_HOT_TEA_CAFFEINE_TOTAL_GRAMS","uhCrash",0.809585
"VITK1D","uhCrash",0.809638
"GROUP_CABBAGE_SLAW_CHINESE_CABBAGES_TOTAL_GRAMS","unfavCable",0.809648
"GALCATEGC","heart_disease",0.80979
"MILKONCEREALFREQ","Dems",0.809823
"MN","belly",0.809836
"POPCORNQUAN","smoke_often",0.809898
"F20D3N6","dog",0.809899
"YOGURTFREQ","cat",0.809929
